"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,115.55,115.55,112.52,113.02,1278800,0
01/04/2000,16:00,111.80,112.49,109.33,109.40,1531400,0
01/05/2000,16:00,109.52,111.90,108.55,110.77,2002000,0
01/06/2000,16:00,110.93,112.69,110.71,111.27,2639500,0
01/07/2000,16:00,112.83,115.08,112.74,115.02,3792400,0
01/10/2000,16:00,116.33,116.33,114.96,115.52,762900,0
01/11/2000,16:00,114.68,116.27,114.54,114.66,1658700,0
01/12/2000,16:00,115.02,115.71,114.68,114.96,813300,0
01/13/2000,16:00,115.54,116.15,114.74,115.40,1192200,0
01/14/2000,16:00,116.99,117.02,115.65,117.02,1935500,0
01/18/2000,16:00,115.96,116.40,115.02,115.24,656500,0
01/19/2000,16:00,115.15,115.32,114.11,115.08,1003400,0
01/20/2000,16:00,115.46,115.49,112.18,113.25,887000,0
01/21/2000,16:00,113.71,113.71,111.83,112.33,783200,0
01/24/2000,16:00,112.77,113.15,108.58,109.52,2066100,0
01/25/2000,16:00,110.11,110.40,108.27,109.86,1728200,0
01/26/2000,16:00,109.74,110.90,109.65,109.99,1001400,0
01/27/2000,16:00,110.65,111.13,108.71,109.99,853900,0
01/28/2000,16:00,109.36,109.58,106.66,106.93,1253300,0
01/31/2000,16:00,106.66,109.15,106.52,109.02,996600,0
02/01/2000,16:00,109.08,110.24,108.55,109.80,786500,0
02/02/2000,16:00,109.90,110.71,109.18,109.21,618100,0
02/03/2000,16:00,110.15,110.18,107.74,110.02,863300,0
02/04/2000,16:00,109.96,110.49,108.86,109.27,474000,0
02/07/2000,16:00,108.68,108.99,107.90,108.27,718900,0
02/08/2000,16:00,109.43,109.86,108.65,108.83,993100,0
02/09/2000,16:00,108.71,108.90,106.30,106.43,819900,0
02/10/2000,16:00,106.79,107.11,105.54,106.52,1263500,0
02/11/2000,16:00,106.08,106.08,103.15,104.02,2148400,0
02/14/2000,16:00,104.52,105.11,104.08,105.02,1300800,0
02/15/2000,16:00,105.11,107.40,104.54,106.96,1360000,0
02/16/2000,16:00,106.40,107.21,105.27,105.33,725800,0
02/17/2000,16:00,106.30,106.38,104.18,104.30,1164100,0
02/18/2000,16:00,104.52,104.52,101.52,101.77,1526700,0
02/22/2000,16:00,102.40,102.99,100.52,102.33,1520800,0
02/23/2000,16:00,102.49,103.02,101.15,101.77,1558900,0
02/24/2000,16:00,102.08,102.21,99.08,101.52,4521200,0
02/25/2000,16:00,100.11,100.99,97.71,98.08,3317000,0
02/28/2000,16:00,98.71,101.15,97.77,99.66,3068300,0
02/29/2000,16:00,100.71,101.65,99.96,101.08,1205000,0
03/01/2000,16:00,101.30,102.30,100.21,101.15,1136200,0
03/02/2000,16:00,100.99,101.77,100.52,101.21,576000,0
03/03/2000,16:00,102.86,104.07,102.52,103.40,1678200,0
03/06/2000,16:00,103.33,103.50,100.66,101.24,1220500,0
03/07/2000,16:00,100.99,101.05,97.05,97.52,3745300,0
03/08/2000,16:00,98.27,98.90,96.68,97.99,2618900,0
03/09/2000,16:00,98.36,99.96,96.83,99.85,1715100,0
03/10/2000,16:00,99.43,100.58,98.49,99.08,1352600,0
03/13/2000,16:00,96.36,99.71,96.36,99.15,1506500,0
03/14/2000,16:00,99.83,100.21,97.52,97.99,854300,0
03/15/2000,16:00,98.15,101.50,97.18,101.15,2040200,0
03/16/2000,16:00,102.08,106.02,101.93,105.96,4202000,0
03/17/2000,16:00,105.52,107.24,105.19,105.65,3710500,0
03/20/2000,16:00,105.80,106.86,105.41,106.33,1812000,0
03/21/2000,16:00,106.08,108.71,105.46,108.65,2307800,0
03/22/2000,16:00,108.68,108.77,107.33,108.10,2434800,0
03/23/2000,16:00,107.90,111.02,107.77,110.65,1875300,0
03/24/2000,16:00,110.05,111.99,109.80,110.65,1903400,0
03/27/2000,16:00,110.86,111.43,109.21,109.33,1431300,0
03/28/2000,16:00,108.65,110.50,108.65,108.90,1575100,0
03/29/2000,16:00,109.36,110.74,108.46,110.27,1426600,0
03/30/2000,16:00,109.40,111.02,108.40,109.58,3573300,0
03/31/2000,16:00,110.32,110.77,108.58,108.96,1103400,0
04/03/2000,16:00,108.83,112.21,108.65,112.21,1411100,0
04/04/2000,16:00,112.08,113.86,105.86,111.21,6635600,0
04/05/2000,16:00,109.83,111.83,109.41,109.68,3297200,0
04/06/2000,16:00,110.90,111.74,109.90,110.94,2279700,0
04/07/2000,16:00,111.49,111.50,110.08,110.43,1027100,0
04/10/2000,16:00,110.74,112.50,110.43,111.58,1833500,0
04/11/2000,16:00,111.77,113.25,110.36,112.77,3624800,0
04/12/2000,16:00,113.40,114.05,110.02,110.04,3620700,0
04/13/2000,16:00,110.88,111.08,108.27,108.55,4333100,0
04/14/2000,16:00,106.96,107.77,101.04,102.04,4518600,0
04/17/2000,16:00,102.40,105.55,101.77,105.52,5978400,0
04/18/2000,16:00,105.99,107.19,105.41,107.13,1403200,0
04/19/2000,16:00,106.96,107.58,105.85,106.33,1536500,0
04/20/2000,16:00,106.58,108.30,106.36,108.30,1886300,0
04/24/2000,16:00,106.52,108.77,106.27,108.40,1714200,0
04/25/2000,16:00,109.24,111.15,108.30,111.05,2798700,0
04/26/2000,16:00,111.08,111.08,108.46,108.52,2051700,0
04/27/2000,16:00,106.61,109.02,106.61,107.90,1656700,0
04/28/2000,16:00,108.90,109.02,106.52,107.08,1166000,0
05/01/2000,16:00,107.49,108.86,106.68,107.65,1385800,0
05/02/2000,16:00,107.02,107.75,106.33,106.58,705000,0
05/03/2000,16:00,106.04,106.24,103.27,104.33,2333500,0
05/04/2000,16:00,104.80,104.80,103.30,103.83,1154900,0
05/05/2000,16:00,102.83,105.41,102.83,105.36,1352100,0
05/08/2000,16:00,104.79,105.90,104.52,105.46,665500,0
05/09/2000,16:00,105.58,106.46,104.52,104.90,1194600,0
05/10/2000,16:00,104.05,104.61,102.15,102.83,1832600,0
05/11/2000,16:00,103.52,105.43,103.40,105.27,1342700,0
05/12/2000,16:00,105.52,106.30,105.27,105.77,999400,0
05/15/2000,16:00,105.99,107.77,105.58,107.72,721400,0
05/16/2000,16:00,108.40,109.30,107.71,108.83,1155300,0
05/17/2000,16:00,107.83,108.21,107.08,107.27,896000,0
05/18/2000,16:00,107.54,108.33,106.93,106.96,931300,0
05/19/2000,16:00,106.08,106.55,105.04,106.08,1394200,0
05/22/2000,16:00,105.65,105.86,103.15,105.05,1233400,0
05/23/2000,16:00,105.11,105.21,103.54,103.96,715700,0
05/24/2000,16:00,104.25,105.21,102.99,104.96,1256700,0
05/25/2000,16:00,105.24,105.33,102.08,103.02,1199600,0
05/26/2000,16:00,102.99,103.50,102.05,102.65,918800,0
05/30/2000,16:00,103.65,105.02,103.05,104.96,822500,0
05/31/2000,16:00,104.55,105.61,104.52,104.83,476100,0
06/01/2000,16:00,105.50,106.52,104.86,106.02,791900,0
06/02/2000,16:00,108.27,108.49,107.04,107.04,751000,0
06/05/2000,16:00,106.90,108.25,106.90,107.77,750600,0
06/06/2000,16:00,107.02,107.50,106.58,107.16,392700,0
06/07/2000,16:00,106.90,108.21,106.55,107.86,895300,0
06/08/2000,16:00,107.24,107.24,105.90,106.30,847900,0
06/09/2000,16:00,107.24,107.24,105.41,105.79,818500,0
06/12/2000,16:00,106.16,106.21,105.18,105.24,429700,0
06/13/2000,16:00,104.71,106.22,104.40,106.02,950900,0
06/14/2000,16:00,106.44,107.00,105.93,106.77,614900,0
06/15/2000,16:00,106.65,107.27,106.16,106.36,647700,0
06/16/2000,16:00,106.57,106.68,104.04,104.04,3110700,0
06/19/2000,16:00,104.29,105.58,103.85,105.11,930300,0
06/20/2000,16:00,104.93,104.96,103.58,104.27,1360800,0
06/21/2000,16:00,103.83,104.77,103.66,104.46,599800,0
06/22/2000,16:00,104.11,104.55,102.90,103.52,888200,0
06/23/2000,16:00,103.74,104.50,103.30,103.96,726800,0
06/26/2000,16:00,104.46,105.49,104.24,105.49,1014800,0
06/27/2000,16:00,105.18,105.77,104.61,104.90,415600,0
06/28/2000,16:00,105.27,105.97,104.60,104.90,516900,0
06/29/2000,16:00,104.13,104.83,103.15,103.77,444300,0
06/30/2000,16:00,103.07,104.02,102.86,103.90,655200,0
07/03/2000,16:00,104.27,105.49,103.86,105.49,267700,0
07/05/2000,16:00,104.88,105.40,104.16,104.52,785200,0
07/06/2000,16:00,104.86,104.97,103.58,104.61,330700,0
07/07/2000,16:00,105.08,106.27,104.68,105.85,634500,0
07/10/2000,16:00,105.58,106.74,105.58,106.21,359200,0
07/11/2000,16:00,105.99,107.75,105.80,106.77,998300,0
07/12/2000,16:00,107.68,108.11,107.07,107.33,977100,0
07/13/2000,16:00,108.05,108.21,107.15,107.52,1176200,0
07/14/2000,16:00,107.71,107.96,107.15,107.77,551300,0
07/17/2000,16:00,107.40,108.21,107.08,107.52,690600,0
07/18/2000,16:00,107.08,107.52,106.55,107.15,347600,0
07/19/2000,16:00,107.08,107.68,106.46,106.71,764300,0
07/20/2000,16:00,107.33,108.61,107.33,108.61,657900,0
07/21/2000,16:00,107.54,107.86,106.52,106.52,471000,0
07/24/2000,16:00,106.90,107.27,106.21,106.33,342600,0
07/25/2000,16:00,106.86,107.02,106.21,106.50,247800,0
07/26/2000,16:00,106.05,106.27,104.91,105.15,356800,0
07/27/2000,16:00,105.10,106.00,104.68,105.58,788000,0
07/28/2000,16:00,105.79,106.02,104.05,104.63,504500,0
07/31/2000,16:00,104.96,105.52,104.40,104.57,351800,0
08/01/2000,16:00,105.05,105.83,104.57,105.40,384200,0
08/02/2000,16:00,105.43,106.77,105.40,106.52,724600,0
08/03/2000,16:00,105.65,107.00,105.57,106.52,423500,0
08/04/2000,16:00,106.65,107.25,106.16,107.02,880100,0
08/07/2000,16:00,107.30,108.55,106.88,108.15,1176900,0
08/08/2000,16:00,108.08,109.49,107.86,109.18,807200,0
08/09/2000,16:00,108.93,109.32,108.43,108.65,1020000,0
08/10/2000,16:00,108.54,109.11,108.36,108.86,321600,0
08/11/2000,16:00,108.74,110.30,108.68,109.74,612300,0
08/14/2000,16:00,109.80,111.49,109.61,111.46,1161000,0
08/15/2000,16:00,111.00,111.02,110.15,110.46,1258400,0
08/16/2000,16:00,110.55,110.83,109.29,110.58,1050000,0
08/17/2000,16:00,109.54,110.63,109.54,110.36,590600,0
08/18/2000,16:00,110.46,110.46,109.49,109.96,349000,0
08/21/2000,16:00,110.46,110.65,109.74,110.65,755100,0
08/22/2000,16:00,110.60,111.52,110.52,111.07,1054000,0
08/23/2000,16:00,110.71,111.40,110.18,111.07,602900,0
08/24/2000,16:00,110.93,111.65,110.68,111.55,408400,0
08/25/2000,16:00,111.40,111.77,111.05,111.75,134900,0
08/28/2000,16:00,111.75,112.85,111.60,112.21,531700,0
08/29/2000,16:00,111.96,112.15,111.52,111.79,272400,0
08/30/2000,16:00,111.21,111.77,110.46,110.68,357300,0
08/31/2000,16:00,111.02,112.75,110.96,111.99,889600,0
09/01/2000,16:00,112.46,112.77,111.85,112.05,302000,0
09/05/2000,16:00,111.46,112.65,111.33,112.38,375700,0
09/06/2000,16:00,112.55,113.61,112.55,112.71,715300,0
09/07/2000,16:00,112.30,112.77,111.79,112.30,650600,0
09/08/2000,16:00,111.79,112.30,111.41,111.61,419300,0
09/11/2000,16:00,111.49,112.52,110.93,111.58,419300,0
09/12/2000,16:00,111.46,112.58,110.68,112.43,617600,0
09/13/2000,16:00,111.71,112.02,111.10,111.58,353400,0
09/14/2000,16:00,111.71,111.99,110.24,110.54,663000,0
09/15/2000,16:00,110.30,110.52,108.49,108.52,460400,0
09/18/2000,16:00,108.96,108.99,107.38,107.77,1033800,0
09/19/2000,16:00,107.96,107.96,107.11,107.49,714100,0
09/20/2000,16:00,107.52,107.90,105.05,106.46,3727200,0
09/21/2000,16:00,106.08,107.52,105.77,105.77,1943500,0
09/22/2000,16:00,105.71,108.40,105.52,108.27,1539300,0
09/25/2000,16:00,108.15,108.49,107.30,107.61,552100,0
09/26/2000,16:00,107.27,107.43,105.68,105.68,711500,0
09/27/2000,16:00,106.40,106.43,105.30,106.04,612500,0
09/28/2000,16:00,105.91,108.15,105.85,107.86,1042400,0
09/29/2000,16:00,107.46,107.65,106.15,106.15,780400,0
10/02/2000,16:00,106.50,106.88,105.86,106.61,481400,0
10/03/2000,16:00,106.93,108.18,106.58,106.77,1407500,0
10/04/2000,16:00,107.08,108.15,106.68,107.41,1312100,0
10/05/2000,16:00,107.47,108.08,106.71,106.99,652100,0
10/06/2000,16:00,106.77,107.49,104.74,105.71,1306700,0
10/09/2000,16:00,105.55,106.05,105.10,105.32,555100,0
10/10/2000,16:00,105.52,105.91,104.40,104.43,565500,0
10/11/2000,16:00,104.30,105.33,103.08,103.93,1241600,0
10/12/2000,16:00,103.91,103.91,99.79,99.90,2638900,0
10/13/2000,16:00,99.60,101.77,99.60,101.40,1456700,0
10/16/2000,16:00,101.75,102.46,101.54,102.22,566400,0
10/17/2000,16:00,102.49,102.68,99.90,100.11,906200,0
10/18/2000,16:00,98.52,100.33,96.27,99.30,3011000,0
10/19/2000,16:00,100.77,101.40,100.04,101.36,1537900,0
10/20/2000,16:00,100.40,102.21,100.33,101.90,1682500,0
10/23/2000,16:00,102.15,103.13,101.80,102.66,866900,0
10/24/2000,16:00,102.77,103.88,102.36,102.96,1545400,0
10/25/2000,16:00,103.08,104.21,102.24,102.41,1586400,0
10/26/2000,16:00,102.61,104.24,102.04,103.21,2010900,0
10/27/2000,16:00,103.83,105.93,103.27,105.71,1576000,0
10/30/2000,16:00,105.33,108.21,105.33,107.71,4239800,0
