"Date","Time","Open","High","Low","Close","Vol","OI"
05/19/2000,16:00,75.41,75.41,74.31,74.31,8100,0
05/22/2000,16:00,74.61,74.61,72.08,74.09,751300,0
05/23/2000,16:00,74.13,74.13,72.84,72.84,271200,0
05/24/2000,16:00,72.89,73.47,72.00,73.47,17900,0
05/25/2000,16:00,74.27,74.36,72.92,72.92,2100,0
05/26/2000,16:00,73.13,73.13,72.48,72.48,1800,0
05/30/2000,16:00,73.58,73.95,73.58,73.95,600,0
05/31/2000,16:00,73.95,73.95,73.95,73.95,0,0
06/01/2000,16:00,75.66,76.69,75.66,76.27,400,0
06/02/2000,16:00,78.59,78.70,78.38,78.38,5700,0
06/05/2000,16:00,78.08,78.34,78.00,78.00,21000,0
06/06/2000,16:00,77.95,78.05,77.53,77.53,3200,0
06/07/2000,16:00,77.50,78.28,77.50,78.09,2700,0
06/08/2000,16:00,78.03,78.03,77.50,77.50,600,0
06/09/2000,16:00,78.08,78.08,77.75,77.77,1300,0
06/12/2000,16:00,77.83,77.84,77.45,77.45,1100,0
06/13/2000,16:00,76.58,77.91,76.58,77.91,1100,0
06/14/2000,16:00,78.70,78.70,78.02,78.02,1000,0
06/15/2000,16:00,78.02,78.02,78.02,78.02,0,0
06/16/2000,16:00,78.31,78.31,78.16,78.16,20200,0
06/19/2000,16:00,78.72,78.72,77.92,77.92,500,0
06/20/2000,16:00,78.61,78.89,78.44,78.44,500,0
06/21/2000,16:00,78.34,78.59,78.31,78.59,1900,0
06/22/2000,16:00,78.33,78.33,77.00,77.00,13600,0
06/23/2000,16:00,77.25,77.25,76.47,76.47,13500,0
06/26/2000,16:00,77.11,77.11,76.94,76.94,12400,0
06/27/2000,16:00,77.30,77.38,77.27,77.27,300,0
06/28/2000,16:00,77.09,77.75,77.09,77.47,18000,0
06/29/2000,16:00,76.39,76.39,76.39,76.39,5000,0
06/30/2000,16:00,76.69,76.69,76.69,76.69,100,0
07/03/2000,16:00,77.06,77.53,77.06,77.53,1500,0
07/05/2000,16:00,77.47,77.47,76.53,76.53,6200,0
07/06/2000,16:00,76.50,77.17,76.22,77.17,2100,0
07/07/2000,16:00,77.78,78.50,77.78,78.41,1200,0
07/10/2000,16:00,78.45,78.53,78.23,78.42,2100,0
07/11/2000,16:00,78.83,78.86,78.83,78.86,1400,0
07/12/2000,16:00,79.06,79.28,79.06,79.28,700,0
07/13/2000,16:00,79.56,79.69,79.56,79.67,29700,0
07/14/2000,16:00,79.92,80.11,79.55,80.11,3000,0
