"Date","Time","Open","High","Low","Close","Up","Down"
05/19/2000,10:30,75.41,75.41,74.67,74.67,6000,0
05/19/2000,11:30,74.59,74.59,74.59,74.59,100,0
05/19/2000,16:00,74.50,74.50,74.50,74.50,1000,0
05/22/2000,10:30,74.61,74.61,73.58,73.58,220100,0
05/22/2000,11:30,72.08,72.89,72.08,72.89,301000,0
05/22/2000,14:30,72.59,72.59,72.59,72.59,100,0
05/22/2000,16:00,74.09,74.09,74.09,74.09,100,0
05/23/2000,10:30,74.13,74.13,73.64,73.64,200300,0
05/23/2000,11:30,73.41,73.73,73.41,73.73,600,0
05/23/2000,14:30,73.70,73.70,73.70,73.70,100,0
05/23/2000,15:30,73.42,73.42,73.42,73.42,20000,0
05/23/2000,16:00,73.16,73.16,72.84,72.84,200,0
05/24/2000,10:30,72.89,72.89,72.44,72.44,16900,0
05/24/2000,11:30,72.92,72.92,72.80,72.80,200,0
05/24/2000,12:30,72.38,72.38,72.38,72.38,300,0
05/24/2000,14:30,72.00,72.75,72.00,72.75,200,0
05/24/2000,15:30,73.42,73.47,73.13,73.47,300,0
05/25/2000,11:30,74.27,74.27,74.27,74.27,1000,0
05/25/2000,13:30,74.36,74.36,74.36,74.36,500,0
05/25/2000,14:30,73.36,73.36,73.36,73.36,100,0
05/25/2000,15:30,73.92,73.92,72.92,72.92,500,0
05/26/2000,10:30,73.13,73.13,73.13,73.13,100,0
05/26/2000,14:30,72.64,72.64,72.64,72.64,100,0
05/26/2000,15:30,72.75,72.75,72.75,72.75,1500,0
05/26/2000,16:00,72.48,72.48,72.48,72.48,100,0
05/30/2000,10:30,73.58,73.58,73.58,73.58,600,0
06/01/2000,10:30,75.66,75.66,75.66,75.66,100,0
06/01/2000,12:30,76.69,76.69,76.69,76.69,100,0
06/01/2000,14:30,76.27,76.27,76.27,76.27,200,0
06/02/2000,12:30,78.59,78.70,78.59,78.70,1200,0
06/02/2000,13:30,78.70,78.70,78.38,78.38,1800,0
06/02/2000,14:30,78.42,78.42,78.42,78.42,100,0
06/02/2000,15:30,78.67,78.67,78.67,78.67,1300,0
06/05/2000,10:30,78.08,78.08,78.08,78.08,1300,0
06/05/2000,11:30,78.33,78.33,78.33,78.33,15100,0
06/05/2000,12:30,78.34,78.34,78.14,78.14,3000,0
06/05/2000,14:30,78.33,78.33,78.33,78.33,100,0
06/05/2000,15:30,78.09,78.09,78.09,78.09,200,0
06/05/2000,16:00,78.00,78.00,78.00,78.00,1300,0
06/06/2000,10:30,77.50,77.50,77.50,77.50,100,0
06/06/2000,12:30,78.05,78.05,78.05,78.05,2900,0
06/06/2000,15:30,77.53,77.53,77.53,77.53,200,0
06/07/2000,10:30,77.50,77.50,77.50,77.50,200,0
06/07/2000,14:30,78.03,78.08,78.03,78.08,1100,0
06/07/2000,15:30,78.28,78.28,78.28,78.28,1000,0
06/07/2000,16:00,78.09,78.09,78.09,78.09,400,0
06/08/2000,11:30,78.03,78.03,78.03,78.03,100,0
06/08/2000,12:30,77.92,77.92,77.92,77.92,200,0
06/08/2000,13:30,77.80,77.80,77.80,77.80,100,0
06/08/2000,16:00,77.50,77.50,77.50,77.50,200,0
06/09/2000,10:30,78.08,78.08,78.02,78.02,300,0
06/09/2000,11:30,78.06,78.06,78.06,78.06,200,0
06/09/2000,13:30,77.75,77.77,77.75,77.77,800,0
06/12/2000,10:30,77.83,77.84,77.48,77.48,900,0
06/12/2000,11:30,77.48,77.48,77.45,77.45,200,0
06/13/2000,11:30,76.58,76.58,76.58,76.58,600,0
06/13/2000,15:30,77.91,77.91,77.91,77.91,500,0
06/14/2000,11:30,78.70,78.70,78.70,78.70,500,0
06/14/2000,12:30,78.28,78.28,78.28,78.28,100,0
06/14/2000,15:30,78.27,78.27,78.27,78.27,300,0
06/14/2000,16:00,78.02,78.02,78.02,78.02,100,0
06/16/2000,10:30,78.31,78.31,78.27,78.27,20000,0
06/16/2000,14:30,78.16,78.16,78.16,78.16,200,0
06/19/2000,10:30,78.72,78.72,78.72,78.72,300,0
06/19/2000,12:30,77.92,77.92,77.92,77.92,200,0
06/20/2000,10:30,78.61,78.80,78.61,78.80,200,0
06/20/2000,11:30,78.89,78.89,78.89,78.89,200,0
06/20/2000,16:00,78.44,78.44,78.44,78.44,100,0
06/21/2000,12:30,78.34,78.34,78.34,78.34,600,0
06/21/2000,14:30,78.31,78.31,78.31,78.31,100,0
06/21/2000,15:30,78.48,78.59,78.48,78.59,1200,0
06/22/2000,10:30,78.33,78.33,78.00,78.00,700,0
06/22/2000,12:30,77.55,77.55,77.55,77.55,200,0
06/22/2000,16:00,77.02,77.02,77.00,77.00,12700,0
06/23/2000,10:30,77.25,77.25,77.25,77.25,500,0
06/23/2000,12:30,77.11,77.11,77.11,77.11,12200,0
06/23/2000,15:30,76.91,76.91,76.69,76.69,500,0
06/23/2000,16:00,76.47,76.47,76.47,76.47,300,0
06/26/2000,10:30,77.11,77.11,77.11,77.11,200,0
06/26/2000,12:30,76.94,76.94,76.94,76.94,12200,0
06/27/2000,10:30,77.30,77.38,77.30,77.38,200,0
06/27/2000,15:30,77.27,77.27,77.27,77.27,100,0
06/28/2000,11:30,77.09,77.09,77.09,77.09,1800,0
06/28/2000,14:30,77.45,77.45,77.20,77.20,1000,0
06/28/2000,15:30,77.70,77.75,77.70,77.75,14200,0
06/28/2000,16:00,77.47,77.47,77.47,77.47,1000,0
06/29/2000,10:30,76.39,76.39,76.39,76.39,5000,0
06/30/2000,16:00,76.69,76.69,76.69,76.69,100,0
07/03/2000,11:30,77.06,77.06,77.06,77.06,700,0
07/03/2000,12:30,77.53,77.53,77.53,77.53,800,0
07/05/2000,10:30,77.47,77.47,77.44,77.44,1300,0
07/05/2000,13:30,77.30,77.30,77.27,77.27,800,0
07/05/2000,15:30,76.64,76.64,76.53,76.53,4000,0
07/05/2000,16:00,76.53,76.53,76.53,76.53,100,0
07/06/2000,10:30,76.50,76.50,76.50,76.50,200,0
07/06/2000,11:30,76.28,76.28,76.22,76.22,700,0
07/06/2000,12:30,76.47,76.47,76.47,76.47,600,0
07/06/2000,15:30,77.17,77.17,77.17,77.17,600,0
07/07/2000,10:30,77.78,77.78,77.78,77.78,400,0
07/07/2000,12:30,78.47,78.47,78.47,78.47,200,0
07/07/2000,14:30,78.50,78.50,78.41,78.41,600,0
07/10/2000,10:30,78.45,78.53,78.45,78.53,600,0
07/10/2000,11:30,78.34,78.34,78.23,78.23,1300,0
07/10/2000,15:30,78.42,78.42,78.42,78.42,200,0
07/11/2000,12:30,78.83,78.86,78.83,78.86,1400,0
07/12/2000,10:30,79.06,79.06,79.06,79.06,600,0
07/12/2000,15:30,79.28,79.28,79.28,79.28,100,0
07/13/2000,14:30,79.56,79.56,79.56,79.56,5000,0
07/13/2000,15:30,79.69,79.69,79.67,79.67,24700,0
07/14/2000,10:30,79.92,79.92,79.55,79.55,1800,0
07/14/2000,12:30,79.89,79.91,79.89,79.91,900,0
07/14/2000,14:30,80.00,80.00,80.00,80.00,100,0
07/14/2000,15:30,80.06,80.11,80.06,80.11,200,0
07/17/2000,10:30,80.22,80.23,80.22,80.23,200,0
07/17/2000,12:30,80.44,80.44,80.44,80.44,100,0
07/17/2000,15:30,80.52,80.55,80.52,80.55,400,0
07/17/2000,16:00,80.56,80.56,80.56,80.56,500,0
07/18/2000,10:30,79.94,79.94,79.94,79.94,100,0
07/18/2000,11:30,79.41,79.41,79.41,79.41,100,0
07/18/2000,12:30,79.53,79.53,79.53,79.53,1600,0
07/18/2000,13:30,79.50,79.50,79.50,79.50,10000,0
07/18/2000,14:30,79.47,79.47,79.47,79.47,100,0
07/18/2000,15:30,79.55,79.55,79.55,79.55,200,0
07/19/2000,10:30,79.19,79.19,79.19,79.19,100,0
07/19/2000,11:30,79.34,79.34,79.19,79.19,500,0
07/19/2000,15:30,78.80,78.80,78.80,78.80,600,0
07/19/2000,16:00,78.59,78.59,78.59,78.59,1000,0
07/20/2000,10:30,78.97,78.97,78.97,78.97,100,0
07/21/2000,10:30,78.31,78.31,78.31,78.31,300,0
07/21/2000,11:30,78.94,78.94,78.94,78.94,500,0
07/21/2000,13:30,78.97,78.97,78.97,78.97,100,0
07/24/2000,12:30,78.73,78.73,78.73,78.73,100,0
07/24/2000,14:30,78.09,78.09,77.92,77.92,300,0
07/25/2000,10:30,78.50,78.50,78.50,78.50,100,0
07/25/2000,11:30,77.50,77.50,77.50,77.50,1000,0
07/25/2000,14:30,78.14,78.14,78.14,78.14,100,0
07/26/2000,10:30,77.50,77.50,77.44,77.44,700,0
07/26/2000,11:30,77.00,77.00,77.00,77.00,10000,0
07/26/2000,14:30,77.45,77.45,77.45,77.45,1200,0
07/26/2000,15:30,77.48,77.48,77.48,77.48,100,0
07/27/2000,12:30,76.67,76.69,76.67,76.69,10300,0
07/27/2000,15:30,76.72,76.72,76.72,76.72,11000,0
07/27/2000,16:00,77.02,77.02,77.02,77.02,400,0
07/28/2000,10:30,76.48,76.48,75.94,75.94,600,0
07/28/2000,11:30,75.88,75.88,75.88,75.88,200,0
07/28/2000,12:30,75.47,75.47,75.47,75.47,300,0
07/28/2000,14:30,75.52,75.52,75.52,75.52,100,0
07/31/2000,10:30,75.00,75.00,75.00,75.00,200,0
07/31/2000,15:30,75.70,75.70,75.70,75.70,1100,0
07/31/2000,16:00,75.75,75.75,75.75,75.75,700,0
08/01/2000,10:30,75.72,75.72,75.72,75.72,200,0
08/01/2000,11:30,75.91,75.91,75.91,75.91,5000,0
08/01/2000,14:30,76.19,76.19,76.19,76.19,900,0
08/02/2000,10:30,75.92,75.92,75.92,75.92,100,0
08/02/2000,12:30,76.69,76.69,76.69,76.69,1700,0
08/02/2000,14:30,76.59,76.64,76.59,76.64,1700,0
08/03/2000,10:30,75.39,75.39,75.39,75.39,200,0
08/03/2000,12:30,75.94,75.94,75.94,75.94,300,0
08/03/2000,13:30,76.25,76.25,76.25,76.25,100,0
08/03/2000,15:30,76.53,76.55,76.48,76.48,1100,0
08/04/2000,10:30,77.25,77.25,77.25,77.25,100,0
08/04/2000,12:30,77.28,77.28,77.23,77.23,400,0
08/04/2000,13:30,77.22,77.22,77.19,77.19,1000,0
08/07/2000,10:30,77.67,77.67,77.67,77.67,200,0
08/07/2000,11:30,78.09,78.09,78.09,78.09,300,0
08/07/2000,12:30,78.27,78.27,78.27,78.27,400,0
08/07/2000,13:30,78.23,78.23,78.23,78.23,200,0
08/07/2000,15:30,78.06,78.27,78.06,78.27,500,0
08/08/2000,12:30,78.41,78.44,78.41,78.44,900,0
08/08/2000,13:30,78.42,78.42,78.42,78.42,300,0
08/08/2000,15:30,78.50,78.50,78.50,78.50,100,0
08/09/2000,13:30,78.30,78.30,78.30,78.30,100,0
08/09/2000,15:30,78.59,78.59,78.59,78.59,200,0
08/10/2000,10:30,77.86,77.86,77.86,77.86,200,0
08/10/2000,11:30,77.97,77.97,77.91,77.91,5400,0
08/10/2000,13:30,77.66,77.66,77.66,77.66,200,0
08/11/2000,10:30,77.19,77.19,77.19,77.19,600,0
08/14/2000,11:30,78.13,78.22,78.13,78.22,200,0
08/14/2000,13:30,78.22,78.23,78.22,78.23,300,0
08/14/2000,15:30,78.75,78.75,78.75,78.75,200,0
08/14/2000,16:00,78.81,78.81,78.78,78.78,200,0
08/15/2000,10:30,78.75,78.75,78.75,78.75,100,0
08/15/2000,12:30,78.73,78.77,78.73,78.77,300,0
08/15/2000,13:30,78.91,78.91,78.91,78.91,100,0
08/15/2000,14:30,79.00,79.00,79.00,79.00,100,0
08/16/2000,10:30,79.00,79.00,79.00,79.00,1800,0
08/16/2000,11:30,79.00,79.00,79.00,79.00,100,0
08/16/2000,15:30,78.36,78.36,78.36,78.36,100,0
08/17/2000,11:30,79.00,79.00,79.00,79.00,100,0
08/17/2000,12:30,79.27,79.27,79.27,79.27,800,0
08/18/2000,10:30,79.61,79.61,79.41,79.48,1400,0
08/18/2000,13:30,79.41,79.41,79.41,79.41,2000,0
08/18/2000,16:00,79.28,79.28,79.28,79.28,800,0
08/22/2000,10:30,79.84,80.00,79.84,80.00,200,0
08/22/2000,12:30,80.00,80.00,79.83,79.83,2000,0
08/22/2000,14:30,80.02,80.02,80.02,80.02,3100,0
08/22/2000,15:30,80.09,80.09,80.05,80.08,1500,0
08/22/2000,16:00,79.89,79.89,79.69,79.69,50000,0
08/23/2000,11:30,79.39,79.39,79.39,79.39,2400,0
08/23/2000,12:30,80.03,80.03,79.75,79.75,2600,0
08/24/2000,10:30,80.19,80.36,80.19,80.36,200,0
08/24/2000,11:30,80.20,80.20,80.20,80.20,300,0
08/24/2000,12:30,80.22,80.22,80.22,80.22,100,0
08/24/2000,13:30,80.33,80.33,80.33,80.33,400,0
08/24/2000,14:30,80.33,80.33,80.33,80.33,400,0
08/24/2000,16:00,80.42,80.42,80.42,80.42,600,0
08/25/2000,10:30,80.48,80.59,80.48,80.48,2700,0
08/25/2000,15:30,80.41,80.41,80.41,80.41,300,0
08/25/2000,16:00,80.42,80.42,80.42,80.42,3800,0
08/28/2000,12:30,81.22,81.22,81.22,81.22,200,0
08/28/2000,13:30,81.28,81.28,81.28,81.28,100,0
08/28/2000,15:30,80.00,80.00,80.00,80.00,1200,0
08/28/2000,16:00,80.88,80.88,80.88,80.88,25000,0
08/29/2000,10:30,80.67,80.67,80.67,80.67,100,0
08/29/2000,14:30,80.73,80.73,80.73,80.73,200,0
08/29/2000,15:30,80.63,80.78,80.63,80.78,700,0
08/30/2000,10:30,80.70,80.70,80.70,80.70,25000,0
08/30/2000,11:30,80.47,80.50,80.47,80.50,900,0
08/30/2000,14:30,80.41,80.41,80.41,80.41,1200,0
08/30/2000,15:30,80.44,80.50,80.44,80.50,400,0
08/30/2000,16:00,80.64,80.64,80.64,80.64,300,0
08/31/2000,13:30,81.45,81.45,81.45,81.45,100,0
08/31/2000,15:30,81.78,81.78,81.78,81.78,300,0
08/31/2000,16:00,81.50,81.50,81.50,81.50,900,0
09/01/2000,10:30,81.63,81.63,81.63,81.63,300,0
09/01/2000,11:30,81.39,81.39,81.25,81.25,400,0
09/01/2000,13:30,81.64,81.64,81.64,81.64,200,0
09/01/2000,16:00,81.55,81.55,81.55,81.55,100,0
09/05/2000,10:30,81.25,81.28,81.25,81.28,500,0
09/05/2000,13:30,80.84,80.94,80.83,80.94,11000,0
09/05/2000,14:30,81.03,81.09,81.03,81.09,6200,0
09/05/2000,15:30,80.75,80.75,80.75,80.75,300,0
09/06/2000,10:30,80.97,80.97,80.97,80.97,400,0
09/06/2000,11:30,80.48,80.48,80.45,80.45,800,0
09/06/2000,12:30,80.58,80.58,80.58,80.58,1000,0
09/06/2000,13:30,80.69,80.69,80.69,80.69,300,0
09/06/2000,16:00,80.09,80.09,80.09,80.09,300,0
09/07/2000,10:30,80.19,80.19,80.19,80.19,200,0
09/07/2000,12:30,80.45,80.45,80.45,80.45,100,0
09/07/2000,14:30,80.47,80.47,80.47,80.47,600,0
09/07/2000,15:30,80.55,80.69,80.55,80.69,2300,0
09/08/2000,11:30,80.00,80.00,80.00,80.00,100,0
09/08/2000,12:30,80.03,80.03,80.03,80.03,100,0
09/08/2000,15:30,80.06,80.06,80.06,80.06,300,0
09/08/2000,16:00,80.06,80.06,80.03,80.03,700,0
09/11/2000,10:30,80.00,80.00,79.00,79.00,1300,0
09/11/2000,11:30,80.55,80.55,80.55,80.55,300,0
09/11/2000,13:30,80.41,80.41,80.41,80.41,300,0
09/11/2000,14:30,80.14,80.14,80.14,80.14,400,0
09/11/2000,15:30,79.53,79.72,79.53,79.72,200,0
09/12/2000,11:30,80.00,80.00,80.00,80.00,400,0
09/12/2000,13:30,80.13,80.13,80.13,80.13,1500,0
09/12/2000,15:30,79.73,79.73,79.73,79.73,300,0
09/12/2000,16:00,79.38,79.38,79.38,79.38,300,0
09/13/2000,10:30,79.08,79.08,79.08,79.08,400,0
09/13/2000,12:30,79.11,79.11,79.11,79.11,6300,0
09/13/2000,13:30,79.06,79.06,79.06,79.06,900,0
09/13/2000,14:30,79.34,79.52,79.34,79.52,9700,0
09/13/2000,15:30,79.58,79.58,79.58,79.58,300,0
09/14/2000,11:30,79.84,79.84,79.84,79.84,200,0
09/14/2000,12:30,79.00,79.00,79.00,79.00,100,0
09/14/2000,14:30,79.59,79.59,79.56,79.56,300,0
09/14/2000,15:30,79.80,79.80,79.80,79.80,1000,0
09/14/2000,16:00,79.59,79.59,79.59,79.59,100,0
09/15/2000,10:30,79.31,79.31,79.31,79.31,300,0
09/15/2000,15:30,78.45,78.75,78.45,78.75,700,0
09/15/2000,16:00,78.41,78.41,78.41,78.41,300,0
09/18/2000,10:30,78.39,78.39,78.39,78.39,200,0
09/18/2000,11:30,78.36,78.36,78.36,78.36,300,0
09/18/2000,12:30,78.00,78.00,78.00,78.00,700,0
09/18/2000,13:30,77.92,77.92,77.70,77.70,200,0
09/18/2000,14:30,77.58,77.58,77.58,77.58,600,0
09/18/2000,15:30,77.86,77.86,77.86,77.86,600,0
09/19/2000,10:30,77.75,77.75,77.75,77.75,200,0
09/19/2000,13:30,77.78,77.78,77.78,77.78,800,0
09/19/2000,14:30,77.89,77.89,77.89,77.89,100,0
09/19/2000,15:30,78.20,78.20,78.20,78.20,100,0
09/20/2000,10:30,77.80,77.80,77.80,77.80,300,0
09/20/2000,12:30,77.39,77.41,77.39,77.41,1000,0
09/20/2000,16:00,77.83,77.83,77.83,77.83,2000,0
09/21/2000,11:30,77.53,77.53,77.53,77.53,1000,0
09/21/2000,15:30,77.31,77.31,77.31,77.31,13400,0
09/22/2000,10:30,76.41,76.67,76.41,76.67,200,0
09/22/2000,11:30,76.70,76.70,76.70,76.70,200,0
09/22/2000,13:30,76.61,76.72,76.61,76.72,300,0
09/22/2000,14:30,77.05,77.05,77.05,77.05,200,0
09/25/2000,10:30,78.25,78.25,78.12,78.12,2400,0
09/25/2000,12:30,78.02,78.02,78.02,78.02,10300,0
09/25/2000,14:30,77.72,77.72,77.72,77.72,600,0
09/25/2000,16:00,77.38,77.38,77.38,77.38,100,0
09/26/2000,10:30,77.51,77.75,77.51,77.75,800,0
09/26/2000,12:30,77.13,77.13,77.13,77.13,300,0
09/26/2000,14:30,77.20,77.20,77.20,77.20,15000,0
09/26/2000,15:30,76.75,76.80,76.75,76.80,1100,0
09/27/2000,10:30,76.90,76.90,76.90,76.90,200,0
09/28/2000,11:30,77.29,77.29,77.29,77.29,100,0
09/28/2000,12:30,77.89,78.03,77.89,78.03,300,0
09/28/2000,15:30,78.38,78.38,78.38,78.38,500,0
09/28/2000,16:00,78.46,78.46,78.46,78.46,400,0
09/29/2000,10:30,78.02,78.02,78.02,78.02,200,0
09/29/2000,12:30,78.00,78.00,78.00,78.00,500,0
09/29/2000,13:30,77.94,77.94,77.94,77.94,600,0
09/29/2000,14:30,78.08,78.08,78.08,78.08,500,0
09/29/2000,15:30,77.84,77.84,77.84,77.84,500,0
09/29/2000,16:00,77.56,77.56,77.56,77.56,900,0
10/02/2000,12:30,77.55,77.55,77.49,77.49,200,0
10/02/2000,13:30,77.28,77.28,77.28,77.28,300,0
10/02/2000,14:30,76.96,76.96,76.96,76.96,200,0
10/02/2000,15:30,76.90,76.90,76.90,76.90,1400,0
10/02/2000,16:00,77.00,77.00,77.00,77.00,5000,0
10/03/2000,11:30,77.08,77.08,77.08,77.08,200,0
10/03/2000,12:30,77.39,77.60,77.39,77.54,5800,0
10/03/2000,14:30,77.70,77.97,77.70,77.97,300,0
10/03/2000,15:30,77.08,77.08,77.08,77.08,100,0
10/03/2000,16:00,76.69,76.69,76.50,76.50,600,0
10/04/2000,10:30,76.19,76.19,76.19,76.19,100,0
10/04/2000,14:30,76.40,76.40,76.40,76.40,200,0
10/04/2000,15:30,76.28,76.67,76.28,76.67,1200,0
10/05/2000,10:30,76.84,77.17,76.84,76.98,1700,0
10/05/2000,11:30,76.87,76.87,76.85,76.85,200,0
10/05/2000,15:30,76.89,76.92,76.89,76.92,800,0
10/05/2000,16:00,77.01,77.01,77.01,77.01,100,0
10/06/2000,10:30,76.90,76.95,76.54,76.54,28400,0
10/06/2000,11:30,76.20,76.20,75.55,75.59,40800,0
10/06/2000,12:30,75.71,75.95,75.64,75.74,41100,0
10/06/2000,13:30,75.75,75.75,75.47,75.47,22000,0
10/06/2000,14:30,75.29,75.48,75.29,75.40,30000,0
10/06/2000,15:30,75.00,75.00,74.70,74.70,2100,0
10/06/2000,16:00,74.82,75.11,74.81,75.09,2400,0
10/09/2000,10:30,75.16,75.16,74.96,74.96,1200,0
10/09/2000,11:30,74.75,74.75,74.62,74.62,1000,0
10/09/2000,14:30,74.77,74.77,74.77,74.77,160000,0
10/09/2000,15:30,75.15,75.15,75.15,75.15,1100,0
10/10/2000,10:30,74.65,74.65,74.65,74.65,400,0
10/10/2000,11:30,74.74,74.74,74.74,74.74,100,0
10/10/2000,13:30,73.99,73.99,73.99,73.99,200,0
10/11/2000,10:30,73.11,73.52,73.11,73.52,2900,0
10/11/2000,12:30,72.69,72.69,72.69,72.69,100,0
10/11/2000,13:30,73.54,73.54,73.54,73.54,100,0
10/11/2000,15:30,72.64,72.64,72.64,72.64,100,0
10/11/2000,16:00,72.68,73.20,72.68,72.88,2600,0
10/12/2000,10:30,72.70,72.70,71.81,72.00,500,0
10/12/2000,11:30,71.77,71.77,71.77,71.77,400,0
10/12/2000,12:30,71.59,71.59,71.59,71.59,400,0
10/12/2000,13:30,71.25,71.55,71.25,71.55,900,0
10/12/2000,14:30,71.49,71.49,70.93,70.93,300,0
10/12/2000,15:30,71.33,71.33,71.19,71.19,2300,0
10/12/2000,16:00,70.79,70.79,70.79,70.79,1000,0
10/13/2000,10:30,70.77,70.77,70.77,70.77,1700,0
10/13/2000,11:30,71.88,72.01,71.88,72.01,900,0
10/13/2000,12:30,72.32,72.58,72.32,72.58,1700,0
10/13/2000,13:30,72.40,72.64,72.40,72.64,4400,0
10/13/2000,14:30,72.65,72.97,72.65,72.88,1100,0
10/13/2000,16:00,73.22,73.37,73.22,73.37,8700,0
10/16/2000,10:30,73.25,73.50,73.25,73.50,700,0
10/16/2000,11:30,73.34,73.34,73.34,73.34,1400,0
10/16/2000,12:30,73.42,73.42,73.42,73.42,400,0
10/16/2000,14:30,73.50,73.50,73.50,73.50,1200,0
10/16/2000,15:30,73.58,73.58,73.58,73.58,1300,0
10/16/2000,16:00,73.59,73.68,73.59,73.64,2200,0
10/17/2000,10:30,73.84,73.84,73.16,73.16,2800,0
10/17/2000,11:30,72.60,72.60,72.60,72.60,1000,0
10/17/2000,12:30,72.60,72.60,72.60,72.60,2000,0
10/17/2000,14:30,72.30,72.30,72.00,72.00,6100,0
10/18/2000,10:30,70.00,71.00,70.00,71.00,5700,0
10/18/2000,11:30,71.05,72.20,71.05,71.60,3100,0
10/18/2000,12:30,71.80,71.85,71.50,71.50,2700,0
10/18/2000,13:30,71.85,71.85,71.85,71.85,100,0
10/18/2000,14:30,71.70,71.70,71.70,71.70,100,0
10/18/2000,15:30,72.50,72.50,72.14,72.14,1600,0
10/19/2000,10:30,73.02,73.02,73.02,73.02,300,0
10/19/2000,11:30,73.08,73.30,73.08,73.24,1100,0
10/19/2000,12:30,73.56,73.56,73.56,73.56,100,0
10/19/2000,14:30,73.64,73.72,73.52,73.52,11600,0
10/19/2000,15:30,73.92,74.12,73.92,74.12,1400,0
10/19/2000,16:00,73.98,74.14,73.98,74.14,5000,0
10/20/2000,10:30,74.25,74.45,74.25,74.45,2800,0
10/20/2000,11:30,74.58,74.58,74.58,74.58,200,0
10/20/2000,12:30,74.82,74.92,74.82,74.90,2200,0
10/20/2000,14:30,75.16,75.44,75.16,75.44,1700,0
10/20/2000,15:30,75.12,75.12,74.86,74.86,700,0
10/20/2000,16:00,74.74,74.74,74.74,74.74,300,0
10/23/2000,10:30,74.52,75.02,74.52,75.02,2100,0
10/23/2000,11:30,75.28,75.34,75.28,75.34,600,0
10/23/2000,13:30,74.76,74.76,74.76,74.76,200,0
10/23/2000,14:30,74.81,74.81,74.81,74.81,100,0
10/23/2000,15:30,74.50,74.54,74.50,74.54,900,0
10/23/2000,16:00,74.85,74.85,74.85,74.85,1300,0
10/24/2000,10:30,75.48,75.58,75.48,75.58,600,0
10/24/2000,11:30,75.58,75.58,75.58,75.58,200,0
10/24/2000,12:30,75.76,75.76,75.76,75.76,600,0
10/24/2000,13:30,75.46,75.46,75.14,75.14,4000,0
10/24/2000,14:30,75.00,75.00,75.00,75.00,400,0
10/24/2000,15:30,74.50,74.52,74.50,74.52,1000,0
10/24/2000,16:00,74.40,74.40,74.40,74.40,100,0
10/25/2000,10:30,73.40,73.40,73.40,73.40,2000,0
10/25/2000,11:30,74.48,74.48,74.48,74.48,100,0
10/25/2000,13:30,73.96,73.96,73.50,73.50,1800,0
10/25/2000,14:30,73.52,73.74,73.52,73.74,1000,0
10/25/2000,16:00,73.00,73.00,73.00,73.00,1200,0
10/26/2000,10:30,73.25,73.25,73.04,73.18,1600,0
10/26/2000,12:30,72.20,72.44,72.20,72.44,1000,0
10/26/2000,13:30,71.98,72.12,71.61,71.61,3600,0
10/26/2000,14:30,71.70,71.70,71.60,71.60,3400,0
10/27/2000,10:30,73.08,73.08,73.08,73.08,700,0
10/27/2000,12:30,73.82,73.82,73.82,73.82,700,0
10/27/2000,13:30,73.70,73.72,73.70,73.72,800,0
10/27/2000,14:30,73.96,74.08,73.75,74.08,1900,0
10/27/2000,15:30,73.86,73.86,73.62,73.62,5900,0
10/30/2000,10:30,74.00,74.00,74.00,74.00,800,0
10/30/2000,13:30,73.66,73.66,73.66,73.66,600,0
10/30/2000,14:30,74.10,74.10,74.10,74.10,600,0
10/30/2000,15:30,74.46,74.90,74.46,74.90,500,0
10/31/2000,10:30,75.04,75.25,75.02,75.25,4700,0
10/31/2000,11:30,75.12,75.32,75.12,75.32,1600,0
10/31/2000,12:30,75.78,75.78,75.78,75.78,200,0
10/31/2000,13:30,75.70,75.70,75.70,75.70,400,0
10/31/2000,14:30,76.34,76.34,76.34,76.34,1000,0
10/31/2000,15:30,76.10,76.42,76.10,76.42,1300,0
10/31/2000,16:00,76.12,76.12,76.12,76.12,1200,0
11/01/2000,10:30,76.20,76.20,76.20,76.20,300,0
11/01/2000,13:30,76.12,76.12,76.00,76.00,1000,0
11/01/2000,14:30,75.68,75.79,75.68,75.79,400,0
11/01/2000,15:30,75.86,75.86,75.86,75.86,300,0
11/01/2000,16:00,75.84,75.92,75.84,75.92,500,0
11/02/2000,10:30,76.52,76.54,76.52,76.54,700,0
11/02/2000,11:30,76.58,76.62,76.50,76.50,66300,0
11/02/2000,12:30,76.42,76.52,76.40,76.40,1900,0
11/02/2000,13:30,76.64,76.64,76.58,76.58,600,0
11/02/2000,14:30,76.66,76.66,76.66,76.66,500,0
11/02/2000,15:30,76.70,76.70,76.70,76.70,700,0
11/03/2000,12:30,76.64,76.64,76.64,76.64,1300,0
11/03/2000,13:30,76.46,76.46,76.46,76.46,700,0
11/03/2000,14:30,76.46,76.46,76.46,76.46,1400,0
11/03/2000,15:30,76.52,76.52,76.52,76.52,100,0
11/06/2000,11:30,77.24,77.24,77.02,77.02,800,0
11/06/2000,12:30,77.04,77.18,77.04,77.06,2700,0
11/06/2000,13:30,77.10,77.16,77.10,77.16,1800,0
11/06/2000,14:30,77.08,77.08,77.08,77.08,300,0
11/06/2000,16:00,76.80,76.80,76.78,76.78,1900,0
11/07/2000,11:30,76.54,76.76,76.54,76.76,1200,0
