"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,95.81,95.81,89.63,94.38,36368600,0
01/04/2000,16:00,91.63,93.13,87.63,87.63,33778600,0
01/05/2000,16:00,87.13,89.66,83.88,85.50,42428600,0
01/06/2000,16:00,86.50,87.63,79.38,79.72,37135000,0
01/07/2000,16:00,82.56,89.63,82.13,89.63,28134000,0
01/10/2000,16:00,90.63,93.56,89.56,92.31,29675200,0
01/11/2000,16:00,91.38,92.50,86.63,87.50,32544000,0
01/12/2000,16:00,88.63,88.87,85.69,85.69,29050000,0
01/13/2000,16:00,88.13,91.13,86.70,90.88,25169000,0
01/14/2000,16:00,92.63,93.25,91.63,93.00,21898600,0
01/18/2000,16:00,91.69,94.06,91.06,93.50,16752400,0
01/19/2000,16:00,93.12,95.63,92.00,95.63,19005200,0
01/20/2000,16:00,95.13,96.50,93.63,95.13,25955600,0
01/21/2000,16:00,96.13,96.19,94.63,95.88,18696200,0
01/24/2000,16:00,97.06,97.25,90.60,91.63,28344200,0
01/25/2000,16:00,91.50,93.74,89.03,92.63,33276200,0
01/26/2000,16:00,92.88,92.94,88.63,89.13,23094800,0
01/27/2000,16:00,91.38,92.13,87.25,90.00,30741200,0
01/28/2000,16:00,89.63,90.10,84.38,85.63,35313800,0
01/31/2000,16:00,85.50,89.63,83.13,89.56,36013600,0
02/01/2000,16:00,89.16,92.13,88.06,92.13,26416600,0
02/02/2000,16:00,91.88,94.35,91.67,92.50,26194200,0
02/03/2000,16:00,93.94,96.22,91.91,96.13,30580000,0
02/04/2000,16:00,96.63,97.87,95.85,96.53,26639400,0
02/07/2000,16:00,96.88,98.25,95.88,98.25,17760600,0
02/08/2000,16:00,99.00,102.50,99.00,102.25,22000200,0
02/09/2000,16:00,101.69,101.82,98.25,98.63,27294400,0
02/10/2000,16:00,99.44,101.88,98.18,101.88,26346600,0
02/11/2000,16:00,101.69,101.69,97.63,98.81,24875800,0
02/14/2000,16:00,99.62,99.63,97.38,99.38,22814600,0
02/15/2000,16:00,98.56,100.25,95.50,100.10,30572800,0
02/16/2000,16:00,99.53,101.38,98.94,99.53,25310400,0
02/17/2000,16:00,100.81,102.88,99.25,101.75,30085200,0
02/18/2000,16:00,102.25,102.63,98.06,98.06,25301600,0
02/22/2000,16:00,98.63,99.56,95.88,98.38,37273000,0
02/23/2000,16:00,99.31,104.63,98.78,103.88,32171000,0
02/24/2000,16:00,104.50,106.43,101.63,106.13,48788400,0
02/25/2000,16:00,105.81,107.13,103.50,103.69,32733600,0
02/28/2000,16:00,102.88,105.31,100.13,103.63,38275800,0
02/29/2000,16:00,105.38,106.72,104.56,106.38,23998000,0
03/01/2000,16:00,106.88,108.19,106.13,107.25,24474600,0
03/02/2000,16:00,107.69,107.81,103.13,104.76,32836400,0
03/03/2000,16:00,107.63,110.75,106.63,110.75,32016600,0
03/06/2000,16:00,111.38,112.85,109.88,111.56,23269400,0
03/07/2000,16:00,113.44,113.50,108.38,109.63,39479200,0
03/08/2000,16:00,110.63,111.63,105.91,110.88,43512200,0
03/09/2000,16:00,110.85,115.13,108.72,115.13,30100800,0
03/10/2000,16:00,114.50,116.06,113.13,114.13,29747200,0
03/13/2000,16:00,109.63,113.75,109.16,111.13,37543600,0
03/14/2000,16:00,112.38,113.00,104.63,107.00,39106800,0
03/15/2000,16:00,106.13,106.63,101.50,102.50,51202600,0
03/16/2000,16:00,105.00,108.88,100.63,108.38,41941400,0
03/17/2000,16:00,107.63,110.69,107.56,110.44,31426200,0
03/20/2000,16:00,110.63,112.63,105.71,107.31,21166400,0
03/21/2000,16:00,105.75,111.56,103.19,110.75,33433400,0
03/22/2000,16:00,113.13,115.60,110.75,113.63,24370200,0
03/23/2000,16:00,114.11,117.38,113.19,115.63,18685000,0
03/24/2000,16:00,117.11,120.13,114.64,117.19,22066200,0
03/27/2000,16:00,117.63,119.13,116.75,117.38,11752600,0
03/28/2000,16:00,116.61,117.44,112.75,114.38,18335400,0
03/29/2000,16:00,115.00,115.06,109.63,109.63,27190900,0
03/30/2000,16:00,106.88,112.38,103.13,106.88,42328700,0
03/31/2000,16:00,107.77,110.25,103.63,109.13,31349900,0
04/03/2000,16:00,107.39,108.75,100.38,102.56,31558300,0
04/04/2000,16:00,103.25,103.61,87.94,101.56,66219000,0
04/05/2000,16:00,97.13,103.56,95.88,99.75,37009800,0
04/06/2000,16:00,102.00,103.50,99.38,102.13,30500900,0
04/07/2000,16:00,103.75,107.00,102.25,106.25,20644500,0
04/10/2000,16:00,107.25,107.31,98.88,99.13,26983600,0
