"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2000,10:30,95.81,95.81,92.75,93.63,10689400,0
01/03/2000,11:30,93.63,93.69,90.38,91.74,7568600,0
01/03/2000,12:30,91.97,92.78,91.75,92.20,4538000,0
01/03/2000,13:30,92.44,92.75,91.75,92.68,1460800,0
01/03/2000,14:30,92.72,93.38,92.38,92.55,3498200,0
01/03/2000,15:30,92.63,93.38,92.53,93.08,2602800,0
01/03/2000,16:00,93.00,94.38,92.92,94.13,2929200,0
01/04/2000,10:30,91.63,93.10,91.44,92.94,6502600,0
01/04/2000,11:30,92.99,93.11,91.88,92.28,3761400,0
01/04/2000,12:30,92.26,92.44,91.50,91.78,2840400,0
01/04/2000,13:30,91.75,92.10,89.56,90.38,5086200,0
01/04/2000,14:30,90.38,91.35,90.13,90.78,4066000,0
01/04/2000,15:30,90.41,90.95,89.03,89.94,4396000,0
01/04/2000,16:00,90.04,90.16,88.13,88.38,2812200,0
01/05/2000,10:30,86.63,87.00,83.88,85.38,10065000,0
01/05/2000,11:30,85.38,87.00,84.42,86.00,6712200,0
01/05/2000,12:30,85.92,86.44,85.38,85.50,2832200,0
01/05/2000,13:30,85.39,86.19,85.03,86.00,2116200,0
01/05/2000,14:30,86.03,88.13,85.97,88.06,4774000,0
01/05/2000,15:30,88.08,89.13,87.41,88.44,6841600,0
01/05/2000,16:00,88.49,88.56,86.88,87.13,2861400,0
01/06/2000,10:30,86.50,87.38,84.50,85.00,9522400,0
01/06/2000,11:30,85.00,85.88,84.94,85.13,3963000,0
01/06/2000,12:30,85.13,85.61,84.75,85.53,2154600,0
01/06/2000,13:30,85.63,86.25,85.28,85.63,3021200,0
01/06/2000,14:30,85.61,85.75,84.75,85.25,2611800,0
01/06/2000,15:30,85.30,85.35,82.75,83.85,6090000,0
01/06/2000,16:00,83.94,84.85,83.13,83.19,2732000,0
01/07/2000,10:30,82.56,85.63,82.38,85.25,6834600,0
01/07/2000,11:30,85.13,85.63,84.70,85.06,2924400,0
01/07/2000,12:30,84.97,85.13,84.25,84.94,2787800,0
01/07/2000,13:30,84.94,85.44,84.25,85.38,1881600,0
01/07/2000,14:30,85.25,85.81,84.91,85.63,3223400,0
01/07/2000,15:30,85.66,86.50,85.38,86.38,3820800,0
01/07/2000,16:00,86.44,88.06,85.97,87.50,2020800,0
01/10/2000,10:30,90.63,91.63,90.50,90.69,7664800,0
01/10/2000,11:30,90.88,91.10,89.56,90.28,3462200,0
01/10/2000,12:30,90.25,91.13,90.06,90.97,1440600,0
01/10/2000,13:30,91.03,91.56,90.88,91.13,2271200,0
01/10/2000,14:30,91.10,92.28,91.10,92.22,2329400,0
01/10/2000,15:30,92.16,93.38,91.88,93.38,4596400,0
01/10/2000,16:00,93.25,93.56,91.88,92.10,2116600,0
01/11/2000,10:30,91.38,92.50,91.19,91.50,5156000,0
01/11/2000,11:30,91.44,92.41,91.28,91.92,3139000,0
01/11/2000,12:30,92.00,92.13,91.00,91.56,3235400,0
01/11/2000,13:30,91.41,91.60,89.63,90.56,4977000,0
01/11/2000,14:30,90.56,91.38,90.29,90.83,3568400,0
01/11/2000,15:30,90.77,90.88,89.00,89.06,4080200,0
01/11/2000,16:00,88.88,89.13,87.25,87.88,2065600,0
01/12/2000,10:30,88.63,88.87,85.63,85.94,5514400,0
01/12/2000,11:30,85.75,87.97,85.72,87.38,3053600,0
01/12/2000,12:30,87.56,88.69,87.26,87.38,3217400,0
01/12/2000,13:30,87.31,88.22,87.17,87.94,1664600,0
01/12/2000,14:30,87.92,88.00,86.63,87.13,2935400,0
01/12/2000,15:30,87.06,87.44,86.06,86.13,2472400,0
01/12/2000,16:00,86.16,87.50,85.81,86.63,2469600,0
01/13/2000,10:30,88.13,88.88,86.70,87.63,6796800,0
01/13/2000,11:30,87.44,88.35,87.44,87.81,2421200,0
01/13/2000,12:30,87.85,87.85,87.19,87.44,1752600,0
01/13/2000,13:30,87.44,87.88,87.38,87.69,1855400,0
01/13/2000,14:30,87.63,88.63,87.50,88.63,2532800,0
01/13/2000,15:30,88.63,89.75,87.94,89.16,4350400,0
01/13/2000,16:00,89.24,89.94,88.88,89.80,1897800,0
01/14/2000,10:30,92.38,93.00,91.88,93.00,6588800,0
01/14/2000,11:30,93.00,93.25,92.50,92.69,2962400,0
01/14/2000,12:30,92.69,92.81,91.63,92.03,2643800,0
01/14/2000,13:30,92.06,93.00,92.00,92.75,1569600,0
01/14/2000,14:30,92.79,93.00,92.32,92.88,1322400,0
01/14/2000,15:30,92.79,93.10,91.88,92.44,3023400,0
01/14/2000,16:00,92.50,93.06,92.06,92.06,2132200,0
01/18/2000,10:30,91.69,92.67,91.06,92.53,4127800,0
01/18/2000,11:30,92.56,93.06,91.88,92.53,3749400,0
01/18/2000,12:30,92.39,92.85,92.06,92.73,919200,0
01/18/2000,13:30,92.73,93.13,92.56,92.95,1131400,0
01/18/2000,14:30,92.95,93.50,92.44,93.44,1508800,0
01/18/2000,15:30,93.45,94.06,93.13,93.69,2617800,0
01/18/2000,16:00,93.69,93.93,93.19,93.56,1452200,0
01/19/2000,10:30,92.91,93.50,92.06,93.50,6051200,0
01/19/2000,11:30,93.53,94.06,93.31,93.88,2608600,0
01/19/2000,12:30,93.81,94.10,93.15,94.00,1545000,0
01/19/2000,13:30,94.00,94.50,93.91,94.00,1738600,0
01/19/2000,14:30,94.06,94.60,94.00,94.31,1350800,0
01/19/2000,15:30,94.49,94.75,93.50,93.75,2956200,0
01/19/2000,16:00,93.63,94.41,93.56,94.38,1373400,0
01/20/2000,10:30,95.13,96.22,95.13,95.88,4938600,0
01/20/2000,11:30,96.06,96.50,95.66,96.04,2002000,0
01/20/2000,12:30,96.00,96.05,94.69,94.94,3803800,0
01/20/2000,13:30,94.89,95.13,93.88,95.03,3988400,0
01/20/2000,14:30,95.16,96.00,94.56,95.60,2325600,0
01/20/2000,15:30,95.57,96.16,94.95,95.78,4285800,0
01/20/2000,16:00,95.75,95.91,95.19,95.43,1471400,0
01/21/2000,10:30,96.13,96.19,94.69,95.03,4888400,0
01/21/2000,11:30,95.00,95.75,94.75,95.47,2450400,0
01/21/2000,12:30,95.50,95.78,94.88,95.75,2061800,0
01/21/2000,13:30,95.63,96.06,95.38,95.84,2774000,0
01/21/2000,14:30,95.88,96.18,95.44,95.47,1231200,0
01/21/2000,15:30,95.61,95.88,95.38,95.38,2380200,0
01/21/2000,16:00,95.38,95.88,95.38,95.81,1374000,0
01/24/2000,10:30,97.06,97.25,96.00,96.22,4784800,0
