"Date","Time","Open","High","Low","Close","Vol","OI"
07/26/2002,16:00,82.67,82.80,82.42,82.51,316300,0
07/29/2002,16:00,82.06,82.16,81.32,81.42,8400,0
07/30/2002,16:00,81.75,81.90,81.52,81.52,6100,0
07/31/2002,16:00,81.95,82.80,81.90,82.53,29400,0
08/01/2002,16:00,82.54,83.02,82.54,83.00,25000,0
08/02/2002,16:00,83.16,84.10,82.88,83.85,52800,0
08/05/2002,16:00,84.04,84.44,83.85,84.22,61100,0
08/06/2002,16:00,83.80,83.90,83.22,83.50,64900,0
08/07/2002,16:00,83.60,84.14,83.36,83.70,40300,0
08/08/2002,16:00,83.58,83.77,83.36,83.70,40900,0
08/09/2002,16:00,84.00,84.88,84.00,84.88,35900,0
08/12/2002,16:00,85.30,86.70,85.14,85.40,32100,0
08/13/2002,16:00,85.78,86.47,85.37,86.45,74300,0
08/14/2002,16:00,87.46,87.90,86.75,86.78,130000,0
08/15/2002,16:00,86.38,86.50,85.85,86.02,87100,0
08/16/2002,16:00,86.44,86.52,84.82,85.06,85000,0
08/19/2002,16:00,85.05,85.34,84.71,85.32,47300,0
08/20/2002,16:00,85.62,86.29,85.60,86.27,40800,0
08/21/2002,16:00,85.68,86.10,85.63,85.81,40000,0
08/22/2002,16:00,85.55,85.55,85.06,85.06,34400,0
08/23/2002,16:00,85.20,85.95,85.20,85.90,20100,0
08/26/2002,16:00,85.70,86.21,85.67,85.98,23900,0
08/27/2002,16:00,85.40,85.68,85.20,85.44,301800,0
08/28/2002,16:00,86.04,86.18,85.84,85.87,18100,0
08/29/2002,16:00,86.76,86.86,86.35,86.56,135700,0
08/30/2002,16:00,86.75,87.13,86.45,87.08,78100,0
09/03/2002,16:00,87.08,88.04,87.00,88.04,102100,0
09/04/2002,16:00,88.03,88.30,87.84,88.02,66300,0
09/05/2002,16:00,88.57,88.65,87.38,88.50,648400,0
09/06/2002,16:00,87.97,88.19,87.20,87.46,140000,0
09/09/2002,16:00,87.50,87.83,87.26,87.33,83800,0
09/10/2002,16:00,87.17,88.00,87.00,87.75,336000,0
09/11/2002,16:00,87.00,87.30,86.75,87.29,177700,0
09/12/2002,16:00,87.48,88.14,87.47,87.97,43400,0
09/13/2002,16:00,88.33,88.94,88.18,88.78,155100,0
09/16/2002,16:00,89.20,89.22,88.90,88.93,73000,0
09/17/2002,16:00,88.64,89.32,88.36,89.10,75400,0
09/18/2002,16:00,89.46,89.56,89.02,89.12,196600,0
09/19/2002,16:00,89.70,89.77,89.26,89.72,109900,0
09/20/2002,16:00,89.45,89.52,89.06,89.30,113500,0
09/23/2002,16:00,90.00,90.24,89.77,90.10,163200,0
09/24/2002,16:00,90.30,90.94,90.21,90.68,251900,0
09/25/2002,16:00,90.10,90.36,89.26,89.58,127200,0
09/26/2002,16:00,89.05,89.53,88.61,89.37,429000,0
09/27/2002,16:00,89.53,90.04,89.48,90.04,298200,0
09/30/2002,16:00,90.66,90.90,90.08,90.40,297800,0
10/01/2002,16:00,89.16,89.30,88.80,88.94,257500,0
