"Date","Time","Open","High","Low","Close","Up","Down"
09/29/2004,10:30,48.89,48.94,48.89,48.89,1730,103292
09/29/2004,11:30,48.89,48.90,48.89,48.90,203,509
09/29/2004,12:30,48.90,48.90,48.88,48.88,101,1222
09/29/2004,14:30,48.91,48.91,48.91,48.91,101,0
09/29/2004,15:30,48.91,48.91,48.89,48.89,305,50984
09/29/2004,16:00,48.91,48.91,48.89,48.89,203,50984
09/30/2004,10:30,49.03,49.03,49.02,49.02,815,20596
09/30/2004,12:30,49.11,49.11,49.08,49.08,4078,2039
09/30/2004,13:30,49.28,49.28,49.28,49.28,101,0
09/30/2004,15:30,49.36,49.36,49.36,49.36,509,0
09/30/2004,16:00,49.28,49.28,49.28,49.28,0,101
10/01/2004,10:30,49.38,49.60,49.28,49.57,51900,51493
10/01/2004,11:30,49.67,49.84,49.67,49.84,508,0
10/01/2004,12:30,50.02,50.12,50.02,50.12,20697,0
10/01/2004,13:30,50.26,50.26,50.26,50.26,101,0
10/01/2004,14:30,50.25,50.25,50.25,50.25,0,101
10/01/2004,15:30,50.17,50.18,50.17,50.18,509,611
10/01/2004,16:00,50.16,50.19,50.16,50.19,3364,3059
10/04/2004,10:30,50.40,50.40,50.40,50.40,101,0
10/04/2004,11:30,50.50,50.50,50.50,50.50,203,0
10/04/2004,12:30,50.43,50.44,50.41,50.41,2039,4689
10/04/2004,13:30,50.53,50.53,50.49,50.53,303,101
10/04/2004,14:30,50.55,50.55,50.55,50.55,101,0
10/04/2004,16:00,50.46,50.46,50.41,50.41,0,712
10/05/2004,10:30,50.41,50.41,50.41,50.41,0,4282
10/05/2004,11:30,50.36,50.36,50.36,50.36,0,509
10/05/2004,13:30,50.46,50.51,50.46,50.51,1018,0
10/05/2004,14:30,50.46,50.46,50.46,50.46,0,4383
10/05/2004,15:30,50.43,50.43,50.42,50.42,0,1834
10/05/2004,16:00,50.40,50.40,50.40,50.40,0,101
10/06/2004,10:30,50.51,50.62,50.51,50.62,1323,0
10/06/2004,11:30,50.61,50.61,50.50,50.50,0,3463
10/06/2004,12:30,50.55,50.55,50.55,50.55,101,0
10/06/2004,13:30,50.61,50.61,50.53,50.53,101,101
10/06/2004,14:30,50.54,50.54,50.54,50.54,304,0
10/06/2004,15:30,50.55,50.55,50.55,50.55,101,0
10/06/2004,16:00,50.60,50.63,50.60,50.63,3975,0
10/07/2004,10:30,50.65,50.65,50.33,50.33,1529,3770
10/07/2004,11:30,50.42,50.42,50.42,50.42,611,0
10/07/2004,12:30,50.23,50.23,50.22,50.22,0,203
10/07/2004,13:30,50.22,50.22,50.22,50.22,0,1019
10/07/2004,14:30,50.29,50.29,50.29,50.29,509,0
10/07/2004,16:00,50.11,50.11,50.11,50.11,0,407
