"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,21:00,27.94,28.94,27.22,27.45,176700,0
01/04/2000,21:00,27.47,27.47,26.63,26.63,93500,0
01/05/2000,21:00,27.22,27.42,26.86,27.30,273400,0
01/06/2000,21:00,27.25,27.25,26.94,27.25,34500,0
01/07/2000,21:00,27.30,27.48,27.17,27.48,46200,0
01/10/2000,21:00,27.47,27.66,27.42,27.58,15500,0
01/11/2000,21:00,27.45,27.45,27.08,27.28,25700,0
01/12/2000,21:00,26.86,27.22,26.86,27.00,36700,0
01/13/2000,21:00,27.25,27.25,26.73,26.75,139600,0
01/14/2000,21:00,26.78,26.97,26.66,26.97,45700,0
01/18/2000,21:00,26.94,27.28,26.86,26.86,46000,0
01/19/2000,21:00,26.78,27.05,26.78,26.88,26000,0
01/20/2000,21:00,26.92,27.16,26.86,27.00,112500,0
01/21/2000,21:00,27.56,27.91,27.38,27.88,201100,0
01/24/2000,21:00,27.94,27.94,27.50,27.50,64300,0
01/25/2000,21:00,27.16,27.47,26.63,26.86,56900,0
01/26/2000,21:00,26.80,26.95,26.66,26.73,31400,0
01/27/2000,21:00,26.81,26.94,26.56,26.56,18700,0
01/28/2000,21:00,26.53,26.63,26.23,26.42,28400,0
01/31/2000,21:00,26.27,27.64,26.23,27.64,414800,0
02/01/2000,21:00,27.59,27.59,27.31,27.44,23200,0
02/02/2000,21:00,27.50,27.55,27.30,27.30,14500,0
02/03/2000,21:00,27.33,27.61,27.19,27.25,96100,0
02/04/2000,21:00,27.50,27.50,27.11,27.11,19300,0
02/07/2000,21:00,26.98,27.13,26.91,27.03,23000,0
02/08/2000,21:00,27.36,27.50,27.09,27.09,32600,0
02/09/2000,21:00,27.16,27.25,26.97,27.09,16300,0
02/10/2000,21:00,26.78,27.05,26.69,26.70,83200,0
02/11/2000,21:00,26.72,26.72,26.11,26.23,92500,0
02/14/2000,21:00,26.23,26.42,26.13,26.27,11600,0
02/15/2000,21:00,26.22,26.31,26.09,26.20,26100,0
02/16/2000,21:00,26.14,26.27,25.95,26.09,154000,0
02/17/2000,21:00,26.08,26.08,25.88,25.94,10700,0
02/18/2000,21:00,25.69,25.69,24.97,24.98,14900,0
02/22/2000,21:00,25.06,25.08,24.77,24.89,32000,0
02/23/2000,21:00,24.94,24.94,24.27,24.38,51900,0
02/24/2000,21:00,24.55,25.50,23.38,23.56,104700,0
02/25/2000,21:00,23.64,23.94,23.44,23.44,7400,0
02/28/2000,21:00,23.52,24.33,23.38,24.11,195500,0
02/29/2000,21:00,24.14,24.31,24.03,24.28,9100,0
03/01/2000,21:00,25.16,25.42,25.14,25.34,46100,0
