"Date","Time","Open","High","Low","Close","Up","Down"
07/01/1998,10:30,114.06,114.34,113.83,114.00,1408200,0
07/01/1998,11:30,114.00,114.00,113.63,113.91,415100,0
07/01/1998,12:30,113.91,114.38,113.88,114.16,356800,0
07/01/1998,13:30,114.25,114.38,114.03,114.22,134300,0
07/01/1998,14:30,114.28,114.28,114.03,114.22,136400,0
07/01/1998,15:30,114.14,114.50,113.91,114.44,410800,0
07/01/1998,16:00,114.44,114.94,114.42,114.91,354600,0
07/02/1998,10:30,114.72,114.72,114.34,114.67,1122400,0
07/02/1998,11:30,114.66,114.80,114.48,114.63,845100,0
07/02/1998,12:30,114.63,114.72,114.44,114.56,355100,0
07/02/1998,13:30,114.56,114.63,114.25,114.38,473800,0
07/02/1998,14:30,114.44,114.69,114.41,114.69,199500,0
07/02/1998,15:30,114.67,114.75,114.44,114.61,175400,0
07/02/1998,16:00,114.66,114.88,114.50,114.63,260900,0
07/06/1998,10:30,114.78,115.03,114.56,114.94,404600,0
07/06/1998,11:30,114.91,115.53,114.91,115.41,381700,0
07/06/1998,12:30,115.47,115.56,115.28,115.31,435300,0
07/06/1998,13:30,115.41,115.44,115.00,115.13,195400,0
07/06/1998,14:30,115.06,115.63,115.02,115.56,636200,0
07/06/1998,15:30,115.56,115.73,115.38,115.66,446000,0
07/06/1998,16:00,115.69,115.84,115.63,115.84,532500,0
07/07/1998,10:30,115.50,115.97,115.50,115.86,1221100,0
07/07/1998,11:30,115.81,116.13,115.72,115.88,1398000,0
07/07/1998,12:30,115.88,116.03,115.78,115.94,305900,0
07/07/1998,13:30,115.94,115.94,115.66,115.91,349800,0
07/07/1998,14:30,115.91,116.11,115.44,115.50,875200,0
07/07/1998,15:30,115.53,115.81,115.44,115.75,398000,0
07/07/1998,16:00,115.77,115.77,115.28,115.50,218700,0
07/08/1998,10:30,115.88,116.03,115.75,116.00,847700,0
07/08/1998,11:30,115.00,116.25,115.00,116.19,459400,0
07/08/1998,12:30,116.13,116.28,116.09,116.19,532700,0
07/08/1998,13:30,116.22,116.38,116.06,116.13,1693500,0
07/08/1998,14:30,116.13,116.34,116.05,116.23,648200,0
07/08/1998,15:30,116.31,116.84,116.22,116.69,2210900,0
07/08/1998,16:00,116.75,116.94,116.66,116.75,288000,0
07/09/1998,10:30,116.28,116.59,116.14,116.38,1236400,0
07/09/1998,11:30,116.25,116.69,116.19,116.63,1653800,0
07/09/1998,12:30,116.63,116.72,116.50,116.56,125000,0
07/09/1998,13:30,116.50,116.59,116.25,116.34,1103600,0
07/09/1998,14:30,116.34,116.38,115.97,116.09,1111500,0
07/09/1998,15:30,116.19,116.25,115.63,116.00,875800,0
07/09/1998,16:00,116.00,116.13,115.75,116.00,573800,0
07/10/1998,10:30,116.03,116.19,115.56,115.63,2168500,0
07/10/1998,11:30,115.52,115.59,115.06,115.47,1906400,0
07/10/1998,12:30,115.44,115.61,115.16,115.50,250300,0
07/10/1998,13:30,115.50,116.25,115.47,116.19,357400,0
07/10/1998,14:30,116.19,116.38,116.00,116.22,984400,0
07/10/1998,15:30,116.16,116.91,116.13,116.56,1092600,0
07/10/1998,16:00,116.47,116.75,116.31,116.50,921200,0
07/13/1998,10:30,116.56,116.63,116.06,116.41,2804200,0
07/13/1998,11:30,116.38,116.78,116.25,116.78,1130600,0
07/13/1998,12:30,116.78,116.81,116.44,116.53,350100,0
07/13/1998,13:30,116.50,116.63,116.28,116.41,1145000,0
07/13/1998,14:30,116.47,116.69,116.16,116.69,450300,0
07/13/1998,15:30,116.75,116.84,116.53,116.69,122600,0
07/13/1998,16:00,116.69,116.75,116.55,116.75,72700,0
07/14/1998,10:30,116.94,117.53,116.94,117.38,894800,0
07/14/1998,11:30,117.41,117.75,117.34,117.59,882500,0
07/14/1998,12:30,117.66,117.88,117.53,117.88,1953700,0
07/14/1998,13:30,117.91,118.16,117.78,117.81,1019800,0
07/14/1998,14:30,117.91,118.16,117.84,117.94,542700,0
07/14/1998,15:30,117.88,118.06,117.73,117.97,833900,0
07/14/1998,16:00,117.97,117.97,117.66,117.81,377200,0
07/15/1998,10:30,118.06,118.28,117.06,117.97,1110900,0
07/15/1998,11:30,117.88,118.06,117.56,117.75,615900,0
07/15/1998,12:30,117.78,117.94,117.56,117.88,374000,0
07/15/1998,13:30,117.94,118.13,117.61,117.97,138000,0
07/15/1998,14:30,117.97,118.25,117.81,118.09,253900,0
07/15/1998,15:30,118.02,118.22,117.75,117.78,2033400,0
07/15/1998,16:00,117.75,117.88,117.56,117.56,230300,0
07/16/1998,10:30,117.69,117.81,117.06,117.16,1315500,0
07/16/1998,11:30,117.22,117.50,117.13,117.38,262900,0
07/16/1998,12:30,117.44,117.75,117.34,117.69,820600,0
07/16/1998,13:30,117.72,118.22,117.72,118.19,2150900,0
07/16/1998,14:30,118.19,118.25,117.97,118.13,489700,0
07/16/1998,15:30,118.00,118.44,117.88,118.31,925300,0
07/16/1998,16:00,118.28,118.59,118.22,118.47,203400,0
07/17/1998,10:30,118.63,118.69,118.31,118.41,546800,0
07/17/1998,11:30,118.41,118.81,118.34,118.69,986600,0
07/17/1998,12:30,118.75,118.88,118.38,118.47,364100,0
07/17/1998,13:30,118.44,118.73,118.44,118.56,577000,0
07/17/1998,14:30,118.56,118.81,118.47,118.81,109700,0
07/17/1998,15:30,118.81,118.94,118.66,118.94,410900,0
07/17/1998,16:00,118.88,119.00,118.59,118.72,481800,0
07/20/1998,10:30,118.75,118.94,118.53,118.88,582900,0
07/20/1998,11:30,118.94,119.22,118.84,119.13,306300,0
07/20/1998,12:30,119.19,119.23,118.38,118.50,163000,0
07/20/1998,13:30,118.50,118.63,118.31,118.53,82000,0
07/20/1998,14:30,118.58,118.58,117.94,118.16,531400,0
07/20/1998,15:30,118.16,118.66,118.00,118.31,423600,0
07/20/1998,16:00,118.31,118.55,118.28,118.50,139700,0
07/21/1998,10:30,119.00,119.00,118.00,118.13,1207900,0
