,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,1998-07-01,114.06,114.34,113.83,114.0,1408200,114.06,114.91,113.63,114.84,3348600,SPY,NONE
1,1998-07-02,114.72,114.72,114.34,114.67,1122400,114.72,114.88,114.25,114.72,3508600,SPY,NONE
2,1998-07-06,114.78,115.03,114.56,114.94,404600,114.78,115.88,114.56,115.88,3090600,SPY,LOWS
3,1998-07-07,115.5,115.97,115.5,115.86,1221100,115.98,116.13,115.28,115.66,4859500,SPY,NONE
4,1998-07-08,115.88,116.03,115.75,116.0,847700,115.88,116.94,115.75,116.75,6783300,SPY,LOWS
5,1998-07-09,116.28,116.59,116.14,116.38,1236400,116.28,116.72,115.63,115.81,6913300,SPY,NONE
6,1998-07-10,116.03,116.19,115.56,115.63,2168500,116.03,116.91,115.06,116.38,7792100,SPY,NONE
7,1998-07-13,116.56,116.63,116.06,116.41,2804200,116.56,116.84,116.06,116.5,6555100,SPY,LOWS
8,1998-07-14,116.94,117.53,116.94,117.38,894800,116.94,118.16,116.94,117.81,6931400,SPY,LOWS
9,1998-07-15,118.06,118.28,117.06,117.97,1110900,118.06,118.28,117.53,117.61,4926400,SPY,HIGH
10,1998-07-16,117.69,117.81,117.06,117.16,1315500,117.69,118.59,117.06,118.53,6279200,SPY,LOWS
11,1998-07-17,118.63,118.69,118.31,118.41,546800,118.63,119.0,118.31,118.69,3509600,SPY,LOWS
12,1998-07-20,118.75,118.94,118.53,118.88,582900,118.75,119.23,117.94,118.41,2266400,SPY,NONE
13,1998-07-21,119.0,119.0,118.0,118.13,1207900,119.0,119.0,116.28,116.63,5282400,SPY,HIGH
14,1998-07-22,116.34,116.78,115.91,116.47,3343600,116.34,116.97,115.53,116.56,10395900,SPY,NONE
15,1998-07-23,116.31,116.59,115.91,116.19,2795900,116.31,116.59,113.91,114.19,15110900,SPY,HIGH
16,1998-07-24,114.97,115.09,114.39,114.56,2518900,114.97,115.09,112.88,114.09,11539600,SPY,HIGH
17,1998-07-27,113.63,114.0,112.97,113.19,3113600,113.63,115.0,112.84,114.91,9600000,SPY,NONE
18,1998-07-28,114.44,114.66,114.09,114.31,1319000,114.44,114.66,111.88,112.97,13693000,SPY,HIGH
19,1998-07-29,113.72,114.13,113.31,113.63,2236100,113.72,114.13,112.25,112.53,7462400,SPY,HIGH
20,1998-07-30,113.63,114.0,113.41,113.84,2371100,113.63,114.59,113.41,114.22,6821600,SPY,LOWS
21,1998-07-31,114.34,114.5,113.0,113.88,907100,114.34,114.5,111.31,111.78,7680500,SPY,HIGH
22,1998-08-03,111.78,112.06,111.03,111.63,5108400,111.78,112.41,111.03,111.31,10486500,SPY,LOWS
23,1998-08-04,112.22,112.22,111.0,111.31,2180500,112.22,112.22,107.0,107.0,15090600,SPY,HIGH
24,1998-08-05,107.94,108.25,106.16,108.06,7363800,107.94,108.88,105.59,108.47,21718000,SPY,NONE
25,1998-08-06,108.13,108.81,107.56,108.09,4636600,108.13,109.5,107.56,108.94,13084400,SPY,LOWS
26,1998-08-07,109.69,109.81,109.13,109.44,1652500,109.69,110.59,108.47,109.13,12083800,SPY,NONE
27,1998-08-10,108.75,109.0,108.34,108.72,1878600,108.75,109.66,108.19,108.5,6272600,SPY,NONE
28,1998-08-11,106.78,107.0,105.59,106.0,4547900,106.78,107.44,105.5,106.88,14287100,SPY,NONE
29,1998-08-12,107.75,108.22,107.0,108.03,3158600,107.75,108.88,107.5,108.69,11158400,SPY,NONE
30,1998-08-13,108.81,109.66,108.13,108.92,1808300,108.81,109.66,107.38,107.38,9073900,SPY,HIGH
31,1998-08-14,108.34,108.72,108.0,108.19,1677500,108.34,108.72,105.78,106.13,8629000,SPY,HIGH
32,1998-08-17,106.0,107.5,105.5,107.44,4054500,106.0,108.94,105.5,108.38,11290000,SPY,LOWS
33,1998-08-18,109.0,109.56,108.0,109.41,2672800,109.0,110.59,108.78,110.38,7603900,SPY,NONE
34,1998-08-19,111.09,111.09,110.0,110.38,1828300,111.09,111.09,109.63,110.09,6258600,SPY,HIGH
35,1998-08-20,109.69,109.91,109.38,109.45,940300,109.69,110.41,109.16,109.44,7402800,SPY,NONE
36,1998-08-21,108.19,108.56,107.0,107.31,4714300,108.19,108.72,105.5,108.56,16685400,SPY,NONE
37,1998-08-24,109.25,109.94,109.06,109.31,2770200,109.25,109.94,108.31,109.25,7184100,SPY,HIGH
38,1998-08-25,110.38,111.25,110.0,110.97,3007100,110.38,111.25,108.63,109.5,9688300,SPY,HIGH
39,1998-08-26,108.28,108.8,107.75,108.41,2115100,108.28,109.63,107.75,108.88,9339700,SPY,LOWS
40,1998-08-27,107.0,107.56,106.0,107.16,3953300,107.0,107.84,103.47,103.75,24887008,SPY,NONE
41,1998-08-28,104.97,105.72,103.22,104.59,7137100,104.97,105.72,102.16,103.38,23735008,SPY,HIGH
