"Date","Time","Open","High","Low","Close","Vol","OI"
04/11/2003,21:00,11.12,11.12,11.08,11.08,108900,0
04/14/2003,21:00,11.14,11.22,11.14,11.22,93600,0
04/15/2003,21:00,11.29,11.39,11.29,11.36,421200,0
04/16/2003,21:00,11.48,11.53,11.48,11.49,9000,0
04/17/2003,21:00,11.55,11.57,11.53,11.57,17100,0
04/21/2003,21:00,11.58,11.58,11.56,11.56,72900,0
04/22/2003,21:00,11.56,11.60,11.53,11.60,19800,0
04/23/2003,21:00,11.61,11.66,11.57,11.66,31500,0
04/24/2003,21:00,11.57,11.57,11.40,11.43,90000,0
04/25/2003,21:00,11.27,11.27,11.22,11.24,102600,0
04/28/2003,21:00,11.27,11.42,11.27,11.42,91800,0
04/29/2003,21:00,11.60,11.76,11.60,11.75,76500,0
04/30/2003,21:00,11.72,11.73,11.69,11.72,228600,0
05/01/2003,21:00,11.68,11.73,11.67,11.67,234900,0
05/02/2003,21:00,11.71,11.85,11.71,11.85,67500,0
05/05/2003,21:00,11.89,11.98,11.89,11.98,47700,0
05/06/2003,21:00,11.98,12.05,11.97,12.04,109800,0
05/07/2003,21:00,11.99,12.02,11.98,12.02,313200,0
05/08/2003,21:00,11.94,11.95,11.90,11.91,417600,0
05/09/2003,21:00,11.93,12.06,11.93,12.05,63000,0
05/12/2003,21:00,12.11,12.22,12.10,12.22,752400,0
05/13/2003,21:00,12.18,12.18,12.12,12.15,276300,0
05/14/2003,21:00,12.15,12.15,12.07,12.09,206100,0
05/15/2003,21:00,12.11,12.11,12.08,12.11,337500,0
05/16/2003,21:00,12.12,12.17,12.09,12.12,256500,0
05/19/2003,21:00,12.04,12.04,11.79,11.83,128700,0
05/20/2003,21:00,11.86,11.91,11.83,11.89,53100,0
05/21/2003,21:00,11.87,11.91,11.81,11.90,45900,0
05/22/2003,21:00,11.91,12.01,11.91,12.01,84600,0
05/23/2003,21:00,12.09,12.16,12.09,12.13,74700,0
05/27/2003,21:00,12.16,12.58,12.16,12.57,864000,0
05/28/2003,21:00,12.57,12.64,12.57,12.62,396000,0
05/29/2003,21:00,12.61,12.66,12.59,12.64,306900,0
05/30/2003,21:00,12.67,12.79,12.64,12.79,368100,0
06/02/2003,21:00,12.82,13.02,12.82,12.88,587700,0
06/03/2003,21:00,12.89,12.89,12.67,12.78,244800,0
06/04/2003,21:00,12.78,12.95,12.78,12.94,241200,0
06/05/2003,21:00,12.99,12.99,12.87,12.96,509400,0
06/06/2003,21:00,13.03,13.21,13.03,13.08,608400,0
06/09/2003,21:00,13.10,13.10,12.93,12.97,208800,0
06/10/2003,21:00,12.97,13.10,12.97,13.10,233100,0
06/11/2003,21:00,13.09,13.12,13.00,13.11,294300,0
06/12/2003,21:00,13.13,13.21,13.12,13.21,402300,0
06/13/2003,21:00,13.18,13.22,13.17,13.21,694800,0
06/16/2003,21:00,13.24,13.35,13.23,13.35,163800,0
06/17/2003,21:00,13.48,13.63,13.48,13.62,352800,0
06/18/2003,21:00,13.59,13.65,13.54,13.57,171900,0
06/19/2003,21:00,13.68,13.71,13.56,13.57,225900,0
06/20/2003,21:00,13.61,13.63,13.53,13.57,300600,0
06/23/2003,21:00,13.53,13.53,13.24,13.24,332100,0
06/24/2003,21:00,13.18,13.18,13.07,13.14,188100,0
06/25/2003,21:00,13.17,13.33,13.17,13.25,1045800,0
06/26/2003,21:00,13.31,13.40,13.29,13.39,210600,0
06/27/2003,21:00,13.41,13.42,13.30,13.33,373500,0
06/30/2003,21:00,13.37,13.37,13.30,13.32,279900,0
07/01/2003,21:00,13.37,13.48,13.33,13.47,679500,0
07/02/2003,21:00,13.62,13.79,13.62,13.78,1129500,0
07/03/2003,21:00,13.82,13.83,13.79,13.82,110700,0
07/07/2003,21:00,13.97,14.16,13.97,14.16,569700,0
07/08/2003,21:00,14.19,14.23,14.14,14.20,347400,0
07/09/2003,21:00,14.19,14.19,14.11,14.17,472500,0
07/10/2003,21:00,14.09,14.09,13.88,13.92,1603800,0
07/11/2003,21:00,13.92,14.04,13.92,14.04,212400,0
07/14/2003,21:00,14.19,14.34,14.19,14.29,683100,0
07/15/2003,21:00,14.36,14.36,14.11,14.11,2222100,0
07/16/2003,21:00,14.08,14.16,14.04,14.12,828000,0
07/17/2003,21:00,14.03,14.03,13.75,13.75,360000,0
07/18/2003,21:00,13.77,13.93,13.77,13.93,205200,0
07/21/2003,21:00,13.88,13.88,13.73,13.75,2148300,0
07/22/2003,21:00,13.78,13.93,13.77,13.91,1022400,0
07/23/2003,21:00,13.87,13.87,13.74,13.82,904500,0
07/24/2003,21:00,13.92,14.01,13.89,13.89,749700,0
07/25/2003,21:00,13.99,14.12,13.97,14.12,212400,0
07/28/2003,21:00,14.20,14.24,14.16,14.19,1040400,0
07/29/2003,21:00,14.22,14.22,14.10,14.11,805500,0
07/30/2003,21:00,14.08,14.08,13.98,14.01,56700,0
07/31/2003,21:00,14.03,14.12,14.03,14.08,339300,0
08/01/2003,21:00,14.11,14.13,14.09,14.11,441000,0
08/04/2003,21:00,14.13,14.14,14.00,14.05,394200,0
08/05/2003,21:00,14.05,14.05,13.90,13.90,290700,0
08/06/2003,21:00,13.89,13.91,13.80,13.83,371700,0
08/07/2003,21:00,13.93,13.98,13.90,13.93,288900,0
08/08/2003,21:00,14.05,14.06,13.99,14.03,153000,0
08/11/2003,21:00,14.11,14.14,14.06,14.09,665100,0
08/12/2003,21:00,14.11,14.16,14.09,14.14,727200,0
08/13/2003,21:00,14.32,14.39,14.25,14.34,721800,0
08/14/2003,21:00,14.35,14.54,14.35,14.53,404100,0
08/15/2003,21:00,14.39,14.39,14.39,14.39,48600,0
08/18/2003,21:00,14.52,14.70,14.51,14.70,1189800,0
08/19/2003,21:00,14.78,14.78,14.68,14.77,453600,0
08/20/2003,21:00,14.73,14.77,14.68,14.77,1125000,0
08/22/2003,21:00,15.22,15.22,15.07,15.12,1008000,0
08/25/2003,21:00,15.10,15.10,14.98,15.00,391500,0
08/26/2003,21:00,14.94,14.94,14.73,14.82,1186200,0
08/27/2003,21:00,14.84,14.99,14.79,14.99,629100,0
08/28/2003,21:00,15.04,15.09,14.95,15.09,441900,0
08/29/2003,21:00,15.19,15.23,15.19,15.20,417600,0
