"Date","Time","Open","High","Low","Close","Up","Down"
04/11/2003,15:30,11.12,11.12,11.12,11.12,900,0
04/11/2003,18:30,11.09,11.09,11.09,11.09,0,90000
04/11/2003,19:30,11.08,11.08,11.08,11.08,0,18000
04/14/2003,15:30,11.14,11.17,11.14,11.17,3600,0
04/14/2003,21:00,11.22,11.22,11.22,11.22,90000,0
04/15/2003,15:30,11.29,11.33,11.29,11.33,63900,0
04/15/2003,16:30,11.33,11.34,11.33,11.34,157500,0
04/15/2003,17:30,11.35,11.37,11.35,11.37,135900,0
04/15/2003,19:30,11.38,11.38,11.38,11.38,900,2700
04/15/2003,20:30,11.39,11.39,11.36,11.36,57600,2700
04/16/2003,15:30,11.48,11.48,11.48,11.48,2700,0
04/16/2003,16:30,11.53,11.53,11.49,11.49,900,1800
04/16/2003,17:30,11.52,11.52,11.52,11.52,2700,0
04/16/2003,21:00,11.49,11.49,11.49,11.49,0,900
04/17/2003,17:30,11.55,11.55,11.55,11.55,6300,0
04/17/2003,18:30,11.57,11.57,11.57,11.57,900,0
04/17/2003,19:30,11.53,11.53,11.53,11.53,0,3600
04/17/2003,20:30,11.57,11.57,11.57,11.57,30600,0
04/17/2003,21:00,11.57,11.57,11.57,11.57,0,2700
04/21/2003,15:30,11.58,11.59,11.58,11.58,25200,11700
04/21/2003,16:30,11.57,11.57,11.56,11.56,0,24300
04/21/2003,17:30,11.58,11.58,11.58,11.58,2700,0
04/21/2003,18:30,11.56,11.57,11.56,11.57,1800,1800
04/21/2003,19:30,11.57,11.57,11.57,11.57,0,900
04/21/2003,21:00,11.56,11.56,11.56,11.56,0,4500
04/22/2003,15:30,11.56,11.56,11.53,11.53,0,10800
04/22/2003,16:30,11.53,11.53,11.53,11.53,6300,0
04/22/2003,18:30,11.57,11.57,11.57,11.57,900,0
04/22/2003,19:30,11.58,11.58,11.58,11.58,900,0
04/22/2003,21:00,11.60,11.60,11.60,11.60,900,0
04/23/2003,15:30,11.61,11.61,11.57,11.57,1800,2700
04/23/2003,16:30,11.57,11.58,11.57,11.58,900,2700
04/23/2003,19:30,11.60,11.60,11.60,11.60,8100,0
04/23/2003,20:30,11.60,11.64,11.60,11.64,13500,0
04/23/2003,21:00,11.66,11.66,11.66,11.66,1800,0
04/24/2003,15:30,11.57,11.57,11.43,11.45,3600,4500
04/24/2003,16:30,11.45,11.45,11.41,11.41,900,5400
04/24/2003,17:30,11.43,11.43,11.43,11.43,2700,0
04/24/2003,18:30,11.42,11.42,11.42,11.42,0,3600
04/24/2003,19:30,11.42,11.42,11.40,11.40,900,900
04/24/2003,20:30,11.43,11.44,11.42,11.42,30600,27000
04/24/2003,21:00,11.43,11.43,11.43,11.43,900,9000
