"Date","Time","Open","High","Low","Close","Up","Down"
05/22/2006,15:30,36.52,36.58,35.87,35.87,3100,2300
05/22/2006,16:30,36.15,36.54,35.99,36.19,26400,25100
05/22/2006,17:30,36.27,36.42,36.01,36.32,10400,14200
05/22/2006,18:30,36.37,37.09,36.36,37.09,11800,2400
05/22/2006,19:30,37.13,37.19,36.55,36.70,3900,14500
05/22/2006,20:30,36.65,37.02,36.49,37.02,21700,17700
05/22/2006,21:00,37.05,37.29,37.05,37.22,28100,13800
05/23/2006,15:30,37.75,38.98,37.75,38.97,174500,52200
05/23/2006,16:30,38.95,39.04,38.57,38.71,46100,44400
05/23/2006,17:30,38.70,38.91,38.66,38.78,50900,40300
05/23/2006,18:30,38.78,39.13,38.75,39.12,16000,37100
05/23/2006,19:30,39.13,39.22,38.95,38.95,28500,24600
05/23/2006,20:30,39.00,39.07,38.42,38.43,15000,50200
05/23/2006,21:00,38.44,38.44,37.93,37.96,15200,24900
05/24/2006,15:30,37.13,37.57,37.00,37.19,90100,88900
05/24/2006,16:30,37.30,37.30,36.51,36.51,34000,100400
05/24/2006,17:30,36.51,36.76,36.40,36.64,33500,24300
05/24/2006,18:30,36.65,36.65,36.00,36.00,13000,53600
05/24/2006,19:30,36.00,36.28,35.87,35.94,36600,43000
05/24/2006,20:30,35.94,36.44,35.94,36.30,34600,14100
05/24/2006,21:00,36.33,36.65,36.33,36.52,25800,46700
05/25/2006,15:30,37.18,37.57,36.98,37.22,44800,75500
05/25/2006,16:30,37.30,37.85,37.28,37.80,44100,18300
05/25/2006,17:30,37.81,38.17,37.81,38.03,17900,17900
05/25/2006,18:30,38.00,38.00,37.84,37.91,3700,11000
05/25/2006,19:30,37.98,38.17,37.95,38.15,42200,12600
05/25/2006,20:30,38.15,38.24,38.05,38.22,10000,14900
05/25/2006,21:00,38.22,38.32,38.13,38.32,42900,10700
05/26/2006,15:30,38.74,38.74,37.77,38.04,32700,46100
05/26/2006,16:30,38.04,38.35,37.96,38.35,31500,30200
05/26/2006,17:30,38.38,38.66,38.35,38.53,32500,23500
05/26/2006,18:30,38.54,38.55,38.41,38.48,4200,5100
05/26/2006,19:30,38.48,38.72,38.48,38.68,13200,6600
05/26/2006,20:30,38.70,38.70,38.52,38.62,4700,19900
05/26/2006,21:00,38.62,38.62,38.49,38.55,4900,14300
05/30/2006,15:30,39.50,39.72,39.06,39.66,103800,66800
05/30/2006,16:30,39.66,39.67,38.80,38.82,23500,50400
