"Date","Time","Open","High","Low","Close","Vol","OI"
10/22/2012,21:00,49.23,49.32,48.93,49.11,28428,0
10/23/2012,21:00,48.27,48.48,47.98,48.14,28161,0
10/24/2012,21:00,48.56,48.62,48.22,48.22,149458,0
10/25/2012,21:00,48.76,48.84,48.41,48.54,9769,0
10/26/2012,21:00,48.24,48.36,48.04,48.19,618619,0
10/31/2012,21:00,48.61,48.61,48.04,48.23,17446,0
11/01/2012,21:00,48.59,49.00,48.59,49.00,217104,0
11/02/2012,21:00,49.19,49.19,48.56,48.56,112532,0
11/05/2012,21:00,48.59,48.95,48.55,48.93,45509,0
11/06/2012,21:00,49.17,49.39,48.99,49.27,24702,0
11/07/2012,21:00,49.00,49.00,48.31,48.55,121127,0
11/08/2012,21:00,48.68,48.79,48.05,48.06,101708,0
11/09/2012,21:00,48.05,48.57,48.05,48.26,28095,0
11/12/2012,21:00,48.39,48.47,48.26,48.32,9373,0
11/13/2012,21:00,47.76,48.04,47.74,47.83,87258,0
11/14/2012,21:00,47.98,47.98,47.23,47.23,36066,0
11/15/2012,21:00,47.31,47.48,47.23,47.40,53359,0
11/16/2012,21:00,47.40,47.51,47.00,47.51,92425,0
11/19/2012,21:00,47.94,48.23,47.94,48.23,6928,0
11/20/2012,21:00,47.93,48.11,47.85,48.10,24844,0
11/21/2012,21:00,47.89,48.03,47.80,47.99,10966,0
11/23/2012,21:00,48.65,48.78,48.54,48.78,83078,0
11/26/2012,21:00,48.60,48.75,48.56,48.75,84781,0
11/27/2012,21:00,48.65,48.76,48.39,48.39,21427,0
11/28/2012,21:00,48.20,48.73,48.00,48.71,119150,0
11/29/2012,21:00,48.99,49.13,48.86,49.08,72659,0
11/30/2012,21:00,49.06,49.10,49.00,49.00,6925,0
12/03/2012,21:00,49.29,49.29,49.05,49.07,26858,0
12/04/2012,21:00,49.30,49.39,49.18,49.21,40491,0
12/05/2012,21:00,49.67,49.89,49.55,49.67,24945,0
12/06/2012,21:00,49.85,49.98,49.73,49.96,17481,0
12/07/2012,21:00,50.27,50.27,49.92,50.16,52694,0
12/10/2012,21:00,50.11,50.46,50.11,50.45,12025,0
12/11/2012,21:00,50.44,50.67,50.43,50.60,20263,0
12/12/2012,21:00,50.77,51.06,50.63,50.71,133116,0
12/13/2012,21:00,50.71,50.83,50.42,50.55,98979,0
12/14/2012,21:00,50.72,50.85,50.61,50.77,64532,0
12/17/2012,21:00,50.78,50.91,50.72,50.82,55257,0
12/18/2012,21:00,50.74,51.23,50.54,51.19,44453,0
12/19/2012,21:00,51.34,51.43,51.13,51.19,703188,0
12/20/2012,21:00,51.27,51.46,51.03,51.45,352845,0
12/21/2012,21:00,50.74,50.89,50.56,50.68,219722,0
12/24/2012,21:00,50.88,50.88,50.57,50.66,32537,0
12/26/2012,21:00,51.16,51.21,51.01,51.05,235929,0
12/27/2012,21:00,51.05,51.37,50.91,51.30,81243,0
12/28/2012,21:00,51.33,51.68,51.25,51.40,157021,0
12/31/2012,21:00,51.68,52.32,51.53,52.20,106869,0
01/02/2013,21:00,52.91,53.26,52.87,53.26,91756,0
01/03/2013,21:00,52.85,53.27,52.79,52.92,311856,0
01/04/2013,21:00,52.80,52.99,52.60,52.95,48654,0
01/07/2013,21:00,52.72,52.72,52.49,52.65,413201,0
01/08/2013,21:00,52.39,52.44,52.07,52.28,150042,0
01/09/2013,21:00,52.57,52.57,52.38,52.54,201182,0
01/10/2013,21:00,52.75,53.50,52.59,52.92,263701,0
01/11/2013,21:00,52.60,52.60,52.36,52.49,116981,0
01/14/2013,21:00,52.86,52.86,52.48,52.70,968034,0
01/15/2013,21:00,52.50,52.50,52.29,52.41,210300,0
01/16/2013,21:00,52.22,52.45,52.06,52.40,303637,0
01/17/2013,21:00,52.65,52.88,52.54,52.76,110438,0
01/18/2013,21:00,52.75,52.84,52.57,52.77,372668,0
01/22/2013,21:00,52.75,52.75,52.53,52.70,131565,0
01/23/2013,21:00,52.64,52.64,52.31,52.43,247309,0
01/24/2013,21:00,52.47,52.61,52.21,52.28,309722,0
01/25/2013,21:00,52.20,52.20,51.88,52.13,217574,0
01/28/2013,21:00,52.04,52.04,51.62,51.72,240997,0
01/29/2013,21:00,51.94,52.40,51.94,52.32,208806,0
01/30/2013,21:00,52.22,52.23,52.03,52.03,124062,0
01/31/2013,21:00,52.17,52.17,51.97,52.08,293490,0
02/01/2013,21:00,52.43,52.58,52.23,52.45,250977,0
02/04/2013,21:00,52.17,52.24,51.65,51.78,173064,0
02/05/2013,21:00,52.15,52.17,51.92,52.03,205209,0
02/06/2013,21:00,51.76,51.94,51.60,51.93,114366,0
02/07/2013,21:00,51.94,51.94,51.34,51.54,136505,0
02/08/2013,21:00,51.77,51.93,51.72,51.93,327302,0
02/11/2013,21:00,51.81,51.88,51.62,51.83,79119,0
02/12/2013,21:00,51.89,52.07,51.65,51.90,159413,0
02/13/2013,21:00,52.32,52.32,52.05,52.17,138015,0
02/14/2013,21:00,52.05,52.21,51.96,52.20,125004,0
02/15/2013,21:00,52.30,52.30,51.96,52.05,261057,0
02/19/2013,21:00,52.14,52.25,52.02,52.02,172506,0
02/20/2013,21:00,52.25,52.31,51.61,51.64,335893,0
02/21/2013,21:00,51.42,51.48,50.92,51.15,651268,0
02/22/2013,21:00,51.27,51.49,51.22,51.43,756648,0
