"Date","Time","Open","High","Low","Close","Up","Down"
10/22/2012,15:30,49.23,49.32,49.19,49.22,1365,1100
10/22/2012,16:30,49.18,49.20,49.18,49.18,100,1100
10/22/2012,17:30,49.12,49.12,49.11,49.11,0,3350
10/22/2012,18:30,49.11,49.11,48.98,48.98,1000,18200
10/22/2012,19:30,48.94,48.94,48.94,48.94,0,147
10/22/2012,20:30,48.95,49.03,48.93,49.00,250,916
10/22/2012,21:00,49.08,49.11,49.08,49.11,2000,0
10/23/2012,15:30,48.27,48.48,48.17,48.20,4631,4505
10/23/2012,16:30,48.05,48.05,48.00,48.05,1700,3000
10/23/2012,17:30,48.00,48.09,47.98,48.09,7875,600
10/23/2012,19:30,48.10,48.10,48.07,48.09,450,400
10/23/2012,20:30,48.07,48.17,48.07,48.14,300,1400
10/23/2012,21:00,48.13,48.14,48.04,48.14,450,1950
10/24/2012,15:30,48.56,48.62,48.35,48.37,14746,3100
10/24/2012,16:30,48.44,48.45,48.43,48.45,14225,800
10/24/2012,17:30,48.35,48.35,48.31,48.31,0,3800
10/24/2012,19:30,48.40,48.46,48.35,48.35,105400,210
10/24/2012,20:30,48.26,48.31,48.23,48.23,800,4000
10/24/2012,21:00,48.23,48.23,48.22,48.22,600,1900
10/25/2012,15:30,48.76,48.84,48.68,48.79,840,1804
10/25/2012,16:30,48.66,48.66,48.53,48.60,625,3000
10/25/2012,17:30,48.41,48.41,48.41,48.41,0,1000
10/25/2012,18:30,48.55,48.55,48.55,48.55,2000,0
10/25/2012,19:30,48.54,48.54,48.54,48.54,0,100
10/25/2012,20:30,48.51,48.54,48.50,48.54,200,400
10/26/2012,15:30,48.24,48.36,48.18,48.20,452996,7635
10/26/2012,16:30,48.17,48.22,48.04,48.08,3000,22429
10/26/2012,17:30,48.19,48.20,48.06,48.13,7200,25660
10/26/2012,18:30,48.11,48.16,48.11,48.11,300,600
10/26/2012,19:30,48.16,48.33,48.16,48.24,28580,7900
10/26/2012,20:30,48.26,48.30,48.16,48.27,15900,30269
10/26/2012,21:00,48.33,48.33,48.11,48.19,5800,10500
10/31/2012,15:30,48.61,48.61,48.20,48.22,2838,3950
10/31/2012,16:30,48.10,48.14,48.10,48.14,400,1025
10/31/2012,17:30,48.20,48.20,48.14,48.15,574,1149
10/31/2012,18:30,48.04,48.10,48.04,48.09,1036,932
10/31/2012,19:30,48.12,48.23,48.12,48.23,1299,1199
10/31/2012,20:30,48.21,48.21,48.16,48.16,0,1507
10/31/2012,21:00,48.26,48.26,48.17,48.23,757,903
11/01/2012,15:30,48.59,48.83,48.59,48.83,9705,1200
11/01/2012,16:30,48.85,48.91,48.85,48.91,7740,5800
11/01/2012,17:30,48.92,49.00,48.85,48.96,18867,173167
11/01/2012,19:30,48.94,48.94,48.94,48.94,0,925
11/01/2012,21:00,48.97,49.00,48.97,49.00,700,0
11/02/2012,15:30,49.19,49.19,48.92,48.92,3300,4170
11/02/2012,16:30,48.87,48.89,48.78,48.80,25427,76600
11/02/2012,17:30,48.84,48.84,48.82,48.82,200,200
11/02/2012,18:30,48.86,48.86,48.86,48.86,100,0
11/02/2012,20:30,48.72,48.72,48.62,48.62,0,2100
