"Date","Time","Open","High","Low","Close","Vol","OI"
06/28/2000,21:00,17.30,17.76,17.30,17.76,456000,0
06/29/2000,21:00,17.63,17.71,17.53,17.58,112200,0
06/30/2000,21:00,17.58,17.61,17.48,17.55,460800,0
07/03/2000,21:00,17.60,17.73,17.56,17.73,356400,0
07/05/2000,21:00,17.68,17.68,17.60,17.64,3600,0
07/06/2000,21:00,17.54,17.72,17.38,17.72,416400,0
07/07/2000,21:00,17.80,18.00,17.80,17.98,54000,0
07/10/2000,21:00,18.00,18.16,17.97,18.08,33000,0
07/11/2000,21:00,18.11,18.20,18.05,18.08,374400,0
07/12/2000,21:00,18.24,18.32,18.24,18.29,18600,0
07/13/2000,21:00,18.40,18.40,18.28,18.32,205200,0
07/14/2000,21:00,18.39,18.39,18.28,18.32,12600,0
07/17/2000,21:00,18.28,18.44,18.28,18.44,12600,0
07/18/2000,21:00,18.34,18.38,18.21,18.30,33600,0
07/19/2000,21:00,18.20,18.20,17.92,17.92,316200,0
07/20/2000,21:00,18.00,18.13,18.00,18.00,72000,0
07/21/2000,21:00,18.08,18.08,17.67,17.67,21000,0
07/24/2000,21:00,17.68,17.72,17.47,17.48,223800,0
07/25/2000,21:00,17.60,17.61,17.44,17.45,27000,0
07/26/2000,21:00,17.41,17.41,17.26,17.39,117000,0
07/27/2000,21:00,17.46,17.46,17.17,17.25,42000,0
07/28/2000,21:00,17.14,17.14,16.78,16.83,14400,0
07/31/2000,21:00,16.78,17.06,16.68,17.06,29400,0
08/01/2000,21:00,17.11,17.14,17.08,17.10,6600,0
08/02/2000,21:00,17.27,17.29,17.27,17.27,12600,0
08/03/2000,21:00,16.81,17.04,16.81,17.04,16200,0
08/04/2000,21:00,17.28,17.28,17.17,17.21,19200,0
08/07/2000,21:00,17.34,17.46,17.34,17.46,423000,0
08/08/2000,21:00,17.49,17.51,17.46,17.46,6000,0
08/09/2000,21:00,17.53,17.53,17.41,17.41,3600,0
08/10/2000,21:00,17.42,17.42,17.41,17.41,9600,0
08/11/2000,21:00,17.24,17.50,17.24,17.50,23400,0
08/14/2000,21:00,17.63,17.73,17.62,17.73,3600,0
08/15/2000,21:00,17.78,17.78,17.62,17.62,8400,0
08/16/2000,21:00,17.67,17.72,17.58,17.67,7200,0
08/17/2000,21:00,17.68,17.68,17.68,17.68,600,0
08/18/2000,21:00,17.96,17.96,17.86,17.87,127200,0
08/21/2000,21:00,17.94,17.97,17.88,17.88,3600,0
08/22/2000,21:00,17.95,17.99,17.92,17.92,39000,0
08/23/2000,21:00,17.82,17.95,17.79,17.95,41400,0
08/24/2000,21:00,18.00,18.10,18.00,18.10,55800,0
08/25/2000,21:00,18.22,18.25,18.22,18.25,19200,0
08/28/2000,21:00,18.34,18.34,18.21,18.22,16800,0
08/29/2000,21:00,18.27,18.40,18.27,18.40,40800,0
08/30/2000,21:00,18.41,18.47,18.40,18.45,75600,0
08/31/2000,21:00,18.54,18.69,18.54,18.65,220200,0
09/01/2000,21:00,18.73,18.73,18.59,18.71,601800,0
09/05/2000,21:00,18.74,18.74,18.54,18.55,160200,0
09/06/2000,21:00,18.52,18.52,18.40,18.49,44400,0
09/07/2000,21:00,18.57,18.80,18.57,18.80,107400,0
09/08/2000,21:00,18.71,18.71,18.58,18.60,72600,0
09/11/2000,21:00,18.53,18.66,18.47,18.48,52800,0
09/12/2000,21:00,18.57,18.57,18.55,18.55,27000,0
09/13/2000,21:00,18.40,18.52,18.40,18.46,109200,0
09/14/2000,21:00,18.64,18.77,18.64,18.71,148200,0
09/15/2000,21:00,18.64,18.64,18.51,18.51,324000,0
09/18/2000,21:00,18.58,18.58,18.06,18.07,136800,0
09/19/2000,21:00,18.08,18.12,17.99,18.12,14400,0
09/20/2000,21:00,18.18,18.18,18.05,18.15,558600,0
09/21/2000,21:00,18.04,18.06,17.84,17.84,127800,0
09/22/2000,21:00,17.64,18.06,17.56,18.06,563400,0
09/25/2000,21:00,18.11,18.13,17.90,17.90,388800,0
09/26/2000,21:00,17.92,17.95,17.72,17.76,67800,0
09/27/2000,21:00,17.88,17.92,17.69,17.73,72600,0
09/28/2000,21:00,17.69,18.25,17.69,18.25,232800,0
09/29/2000,21:00,18.17,18.24,18.11,18.11,58200,0
10/02/2000,21:00,18.17,18.17,17.86,17.92,77400,0
10/03/2000,21:00,17.83,17.97,17.69,17.69,63600,0
10/04/2000,21:00,17.56,17.80,17.53,17.80,44400,0
10/05/2000,21:00,17.82,17.84,17.65,17.65,114000,0
10/06/2000,21:00,17.60,17.60,17.20,17.23,35400,0
10/09/2000,21:00,17.21,17.21,16.97,17.21,52800,0
10/10/2000,21:00,17.20,17.26,16.99,16.99,79800,0
10/11/2000,21:00,16.83,16.95,16.68,16.88,54000,0
10/12/2000,21:00,16.76,16.85,16.55,16.58,41400,0
10/13/2000,21:00,16.63,17.09,16.63,17.09,317400,0
10/16/2000,21:00,17.24,17.29,17.15,17.20,25200,0
10/17/2000,21:00,17.27,17.27,16.74,16.83,61800,0
10/18/2000,21:00,16.40,16.76,16.36,16.64,631800,0
10/19/2000,21:00,16.94,17.22,16.94,17.22,30000,0
10/20/2000,21:00,17.23,17.49,17.22,17.45,69000,0
10/23/2000,21:00,17.44,17.57,17.42,17.57,66600,0
10/24/2000,21:00,17.57,17.59,17.54,17.59,311400,0
10/25/2000,21:00,17.11,17.31,16.97,17.08,456600,0
10/26/2000,21:00,17.14,17.31,16.86,17.31,73800,0
10/27/2000,21:00,17.40,17.42,17.28,17.33,190800,0
10/30/2000,21:00,17.28,17.47,17.23,17.42,165600,0
10/31/2000,21:00,17.52,18.20,17.52,18.20,295200,0
11/01/2000,21:00,18.13,18.13,17.96,18.02,467400,0
11/02/2000,21:00,18.10,18.35,18.10,18.34,131400,0
11/03/2000,21:00,18.33,18.42,18.29,18.42,186000,0
11/06/2000,21:00,18.43,18.43,18.23,18.25,523200,0
11/07/2000,21:00,18.20,18.34,18.17,18.34,482400,0
11/08/2000,21:00,18.30,18.31,17.96,17.96,152400,0
11/09/2000,21:00,17.79,17.97,17.67,17.90,157800,0
11/10/2000,21:00,17.78,17.78,17.50,17.50,284400,0
11/13/2000,21:00,17.21,17.42,16.96,17.42,171000,0
11/14/2000,21:00,17.63,17.78,17.61,17.78,453600,0
11/15/2000,21:00,17.74,18.03,17.74,17.99,107400,0
11/16/2000,21:00,17.89,17.94,17.61,17.61,55800,0
11/17/2000,21:00,17.79,17.87,17.66,17.76,207600,0
11/20/2000,21:00,17.58,17.58,17.30,17.30,109800,0
11/21/2000,21:00,17.38,17.38,17.15,17.15,70800,0
11/22/2000,21:00,17.05,17.11,16.85,16.91,14400,0
11/24/2000,21:00,17.01,17.32,17.01,17.32,79800,0
11/27/2000,21:00,17.53,17.60,17.40,17.42,138000,0
11/28/2000,21:00,17.39,17.39,16.82,16.82,332400,0
11/29/2000,21:00,16.92,16.92,16.61,16.61,115800,0
11/30/2000,21:00,16.47,16.59,16.22,16.38,267000,0
12/01/2000,21:00,16.60,16.93,16.58,16.79,160800,0
12/04/2000,21:00,16.81,16.84,16.67,16.73,96600,0
12/05/2000,21:00,16.92,17.39,16.92,17.39,249600,0
12/06/2000,21:00,17.46,17.48,17.13,17.13,199200,0
12/07/2000,21:00,17.09,17.17,17.09,17.16,454800,0
12/08/2000,21:00,17.41,17.66,17.41,17.42,646200,0
12/11/2000,21:00,17.70,18.10,17.70,18.10,343200,0
12/12/2000,21:00,18.01,18.03,17.84,17.85,2447400,0
12/13/2000,21:00,17.73,17.73,17.36,17.36,1388400,0
12/14/2000,21:00,17.37,17.40,17.05,17.10,105000,0
12/15/2000,21:00,17.05,17.05,16.84,17.04,382800,0
12/18/2000,21:00,17.19,17.33,17.17,17.22,757200,0
12/19/2000,21:00,17.23,17.40,17.02,17.02,186600,0
12/20/2000,21:00,16.82,16.82,16.49,16.54,468000,0
12/21/2000,21:00,16.53,16.80,16.44,16.66,404400,0
12/22/2000,21:00,16.83,17.23,16.79,17.23,534000,0
12/26/2000,21:00,17.24,17.46,17.24,17.46,520200,0
12/27/2000,21:00,17.31,17.77,17.31,17.77,197400,0
12/28/2000,21:00,18.08,18.49,18.08,18.49,643200,0
12/29/2000,21:00,18.52,18.61,18.02,18.02,1050000,0
01/02/2001,21:00,18.06,18.06,17.32,17.39,295800,0
01/03/2001,21:00,17.29,18.04,17.29,18.04,622800,0
01/04/2001,21:00,18.09,18.13,17.80,17.81,685200,0
01/05/2001,21:00,17.85,17.85,17.34,17.37,259800,0
01/08/2001,21:00,17.32,17.42,17.26,17.42,112800,0
01/09/2001,21:00,17.45,17.60,17.36,17.38,326400,0
01/10/2001,21:00,17.29,17.86,17.29,17.86,529200,0
01/11/2001,21:00,17.84,18.19,17.84,18.12,247800,0
01/12/2001,21:00,18.14,18.28,18.04,18.22,330600,0
01/16/2001,21:00,18.22,18.40,18.11,18.35,147600,0
01/17/2001,21:00,18.66,18.77,18.42,18.45,708600,0
01/18/2001,21:00,18.45,18.53,18.32,18.47,704400,0
01/19/2001,21:00,18.52,18.52,18.19,18.19,345000,0
01/22/2001,21:00,18.19,18.34,18.17,18.34,291000,0
01/23/2001,21:00,18.33,18.72,18.32,18.69,348000,0
01/24/2001,21:00,18.74,18.81,18.65,18.69,1232400,0
01/25/2001,21:00,18.64,18.73,18.58,18.63,814200,0
01/26/2001,21:00,18.47,18.69,18.42,18.65,172200,0
01/29/2001,21:00,18.63,18.92,18.62,18.92,541200,0
01/30/2001,21:00,18.97,18.97,18.85,18.97,271800,0
01/31/2001,21:00,19.01,19.15,18.87,18.87,1524000,0
02/01/2001,21:00,18.84,19.01,18.78,18.99,666600,0
02/02/2001,21:00,19.01,19.06,18.72,18.73,760200,0
02/05/2001,21:00,18.73,18.83,18.67,18.80,202200,0
02/06/2001,21:00,18.81,19.06,18.81,18.99,999600,0
02/07/2001,21:00,18.84,19.17,18.81,19.09,128400,0
02/08/2001,21:00,19.14,19.15,18.81,18.81,115200,0
02/09/2001,21:00,18.81,18.82,18.57,18.67,214200,0
02/12/2001,21:00,18.67,19.13,18.67,19.12,427200,0
02/13/2001,21:00,19.19,19.39,18.94,18.94,396000,0
02/14/2001,21:00,19.00,19.15,18.89,19.15,540000,0
02/15/2001,21:00,19.28,19.39,19.17,19.17,589800,0
02/16/2001,21:00,18.92,19.03,18.72,18.79,441600,0
02/20/2001,21:00,18.92,18.92,18.48,18.52,292200,0
02/21/2001,21:00,18.48,18.52,18.17,18.21,255600,0
02/22/2001,21:00,18.21,18.25,17.87,17.98,76800,0
02/23/2001,21:00,17.83,18.01,17.46,18.01,350400,0
02/26/2001,21:00,18.08,18.42,18.08,18.42,399000,0
02/27/2001,21:00,18.37,18.37,17.99,17.99,638400,0
02/28/2001,21:00,18.05,18.05,17.72,17.75,1326600,0
03/01/2001,21:00,17.70,17.84,17.41,17.84,284400,0
03/02/2001,21:00,17.56,18.09,17.56,17.92,676200,0
03/05/2001,21:00,18.04,18.07,17.90,17.93,394800,0
03/06/2001,21:00,18.13,18.21,18.11,18.13,429000,0
03/07/2001,21:00,18.27,18.36,18.19,18.24,402600,0
03/08/2001,21:00,18.28,18.29,18.11,18.14,441600,0
03/09/2001,21:00,17.98,17.98,17.81,17.81,651600,0
03/12/2001,21:00,17.65,17.65,17.24,17.29,113400,0
03/13/2001,21:00,17.34,17.47,17.06,17.47,358800,0
03/14/2001,21:00,17.13,17.43,17.02,17.04,259200,0
03/15/2001,21:00,17.30,17.33,16.99,16.99,243600,0
03/16/2001,21:00,16.99,17.08,16.59,16.60,1276200,0
03/19/2001,21:00,16.72,17.03,16.58,17.03,677400,0
03/20/2001,21:00,17.03,17.22,16.70,16.70,424800,0
03/21/2001,21:00,16.73,16.78,16.33,16.44,176400,0
03/22/2001,21:00,16.43,16.43,15.67,16.25,415800,0
03/23/2001,21:00,16.72,16.78,16.53,16.73,285000,0
03/26/2001,21:00,16.91,16.99,16.83,16.86,139800,0
03/27/2001,21:00,16.90,17.12,16.81,17.12,84600,0
03/28/2001,21:00,16.82,16.82,16.63,16.64,284400,0
03/29/2001,21:00,16.67,16.76,16.50,16.53,37800,0
03/30/2001,21:00,16.66,16.92,16.61,16.92,755400,0
04/02/2001,21:00,16.88,16.88,16.41,16.44,898800,0
04/03/2001,21:00,16.33,16.33,15.85,15.92,200400,0
04/04/2001,21:00,15.93,16.09,15.88,15.92,393600,0
04/05/2001,21:00,16.23,16.73,16.23,16.73,280800,0
04/06/2001,21:00,16.50,16.50,16.28,16.30,211800,0
04/09/2001,21:00,16.38,16.64,16.38,16.64,550800,0
04/10/2001,21:00,16.70,17.03,16.70,17.03,426600,0
04/11/2001,21:00,17.25,17.26,16.84,16.88,225000,0
04/12/2001,21:00,16.80,17.13,16.79,17.13,204000,0
04/16/2001,21:00,16.98,17.07,16.81,16.81,340800,0
04/17/2001,21:00,16.91,17.17,16.91,17.17,889800,0
04/18/2001,21:00,17.38,18.17,17.36,17.54,487200,0
04/19/2001,21:00,17.53,17.75,17.50,17.75,66600,0
04/20/2001,21:00,17.64,17.66,17.32,17.47,185400,0
04/23/2001,21:00,17.33,17.36,17.24,17.28,156600,0
04/24/2001,21:00,17.43,17.47,17.28,17.28,123600,0
04/25/2001,21:00,17.37,17.75,17.29,17.73,691200,0
04/26/2001,21:00,17.78,18.08,17.78,17.97,441000,0
04/27/2001,21:00,18.08,18.22,18.03,18.22,339000,0
04/30/2001,21:00,18.29,18.41,18.20,18.25,233400,0
05/01/2001,21:00,18.21,18.41,18.11,18.41,210600,0
05/02/2001,21:00,18.43,18.47,18.22,18.37,204000,0
05/03/2001,21:00,18.28,18.28,18.08,18.16,267600,0
05/04/2001,21:00,17.94,18.38,17.94,18.38,346800,0
05/07/2001,21:00,18.41,18.46,18.24,18.24,288000,0
05/08/2001,21:00,18.37,18.40,18.22,18.40,486000,0
05/09/2001,21:00,18.28,18.43,18.25,18.32,82200,0
05/10/2001,21:00,18.48,18.54,18.36,18.37,138600,0
05/11/2001,21:00,18.24,18.33,18.18,18.28,111600,0
05/14/2001,21:00,18.28,18.50,18.28,18.45,162600,0
05/15/2001,21:00,18.34,18.80,18.34,18.79,171600,0
05/16/2001,21:00,18.81,19.04,18.81,19.02,272400,0
05/17/2001,21:00,18.99,19.13,18.94,19.12,129000,0
05/18/2001,21:00,19.15,19.48,19.14,19.48,173400,0
05/21/2001,21:00,19.49,19.72,19.40,19.63,3202200,0
05/22/2001,21:00,19.50,19.52,19.11,19.11,1077600,0
05/23/2001,21:00,19.17,19.17,18.90,19.12,253800,0
05/24/2001,21:00,19.17,19.17,18.90,19.12,253800,0
05/25/2001,21:00,19.13,19.16,19.08,19.08,336000,0
05/29/2001,21:00,19.05,19.05,18.82,18.82,178200,0
05/30/2001,21:00,18.69,18.70,18.44,18.49,166200,0
05/31/2001,21:00,18.57,18.78,18.54,18.62,318600,0
06/01/2001,21:00,18.65,18.80,18.49,18.75,114600,0
06/04/2001,21:00,18.77,18.98,18.77,18.98,403800,0
06/05/2001,21:00,19.01,19.28,19.01,19.28,691800,0
06/06/2001,21:00,19.24,19.25,19.07,19.07,418200,0
06/07/2001,21:00,19.09,19.24,19.07,19.24,253800,0
06/08/2001,21:00,19.18,19.19,19.00,19.08,188400,0
06/11/2001,21:00,19.06,19.08,18.84,18.96,815400,0
06/12/2001,21:00,18.79,19.00,18.66,18.95,618000,0
06/13/2001,21:00,18.95,19.08,18.82,18.86,185400,0
06/14/2001,21:00,18.73,18.73,18.44,18.45,251400,0
06/15/2001,21:00,18.33,18.50,18.27,18.36,672600,0
06/18/2001,21:00,18.35,18.39,18.20,18.21,63600,0
06/19/2001,21:00,18.38,18.40,18.13,18.16,105600,0
06/20/2001,21:00,18.06,18.36,18.06,18.32,870000,0
06/21/2001,21:00,18.34,18.49,18.30,18.45,528600,0
06/22/2001,21:00,18.45,18.45,18.07,18.09,1061400,0
06/25/2001,21:00,18.21,18.23,17.98,18.07,786600,0
06/26/2001,21:00,17.95,18.29,17.92,18.23,976800,0
06/27/2001,21:00,18.31,18.48,18.30,18.47,519600,0
06/28/2001,21:00,18.57,18.77,18.57,18.75,651600,0
06/29/2001,21:00,18.79,19.12,18.79,19.00,667200,0
07/02/2001,21:00,19.11,19.16,18.86,18.92,423000,0
07/03/2001,21:00,18.88,18.88,18.74,18.83,516600,0
07/05/2001,21:00,18.75,18.80,18.67,18.69,488400,0
07/06/2001,21:00,18.64,18.64,18.31,18.36,144600,0
07/09/2001,21:00,18.33,18.43,18.30,18.39,295800,0
07/10/2001,21:00,18.49,18.49,18.14,18.14,417000,0
07/11/2001,21:00,18.11,18.23,17.98,18.23,308400,0
07/12/2001,21:00,18.30,18.69,18.30,18.68,811200,0
07/13/2001,21:00,18.65,18.80,18.65,18.78,164400,0
07/16/2001,21:00,18.77,18.84,18.51,18.58,786600,0
07/17/2001,21:00,18.50,18.82,18.43,18.82,751800,0
07/18/2001,21:00,18.63,18.79,18.59,18.63,369600,0
07/19/2001,21:00,18.74,18.90,18.65,18.79,982200,0
07/20/2001,21:00,18.71,18.85,18.68,18.83,168000,0
07/23/2001,21:00,18.90,18.90,18.64,18.64,1434600,0
07/24/2001,21:00,18.67,18.67,18.28,18.36,805200,0
07/25/2001,21:00,18.37,18.44,18.21,18.42,509400,0
07/26/2001,21:00,18.45,18.84,18.45,18.79,573600,0
07/27/2001,21:00,18.81,18.91,18.70,18.87,250200,0
07/30/2001,21:00,18.83,18.92,18.76,18.89,237000,0
07/31/2001,21:00,18.90,19.07,18.80,18.88,583800,0
08/01/2001,21:00,18.88,19.04,18.83,18.96,526800,0
08/02/2001,21:00,19.09,19.09,18.86,18.98,434400,0
08/03/2001,21:00,18.85,19.04,18.72,18.94,396000,0
08/06/2001,21:00,18.90,18.90,18.63,18.66,553800,0
08/07/2001,21:00,18.64,18.67,18.54,18.66,497400,0
08/08/2001,21:00,18.59,18.77,18.34,18.39,435000,0
08/09/2001,21:00,18.39,18.47,18.29,18.46,202200,0
08/10/2001,21:00,18.48,18.59,18.32,18.51,1299600,0
08/13/2001,21:00,18.61,18.69,18.53,18.64,295800,0
08/14/2001,21:00,18.70,18.84,18.70,18.76,99600,0
08/15/2001,21:00,18.83,18.83,18.68,18.80,58200,0
08/16/2001,21:00,18.76,18.96,18.68,18.96,1041600,0
08/17/2001,21:00,18.81,18.84,18.70,18.77,885600,0
08/20/2001,21:00,18.72,18.89,18.68,18.84,219000,0
08/21/2001,21:00,18.88,18.93,18.61,18.61,753000,0
08/22/2001,21:00,18.74,18.80,18.54,18.80,675600,0
08/23/2001,21:00,18.74,18.89,18.60,18.60,679800,0
08/24/2001,21:00,18.68,18.86,18.59,18.85,757800,0
08/27/2001,21:00,18.83,18.92,18.80,18.82,484800,0
08/28/2001,21:00,18.79,18.81,18.62,18.64,1005000,0
08/29/2001,21:00,18.73,18.73,18.52,18.59,739800,0
08/30/2001,21:00,18.57,18.66,18.34,18.46,315000,0
08/31/2001,21:00,18.45,18.58,18.45,18.54,158400,0
09/04/2001,21:00,18.48,18.67,18.45,18.45,715200,0
09/05/2001,21:00,18.44,18.45,18.17,18.30,351000,0
09/06/2001,21:00,18.23,18.23,17.96,17.96,119400,0
09/07/2001,21:00,17.82,17.91,17.56,17.65,604800,0
09/10/2001,21:00,17.51,17.55,17.33,17.41,744000,0
09/17/2001,21:00,16.47,16.87,16.47,16.54,1123200,0
09/18/2001,21:00,16.54,16.56,16.17,16.18,429600,0
09/19/2001,21:00,16.22,16.27,15.40,15.86,1742400,0
09/20/2001,21:00,15.58,15.67,15.23,15.25,1080600,0
09/21/2001,21:00,14.71,15.16,14.71,14.95,1240200,0
09/24/2001,21:00,15.34,15.56,15.29,15.48,2075400,0
09/25/2001,21:00,15.51,15.73,15.51,15.66,1500600,0
09/26/2001,21:00,15.75,15.75,15.37,15.41,405600,0
09/27/2001,21:00,15.42,15.58,15.23,15.58,860400,0
09/28/2001,21:00,15.67,15.98,15.67,15.92,979800,0
10/01/2001,21:00,15.87,15.87,15.47,15.63,745800,0
10/02/2001,21:00,15.56,15.81,15.56,15.80,741600,0
10/03/2001,21:00,15.64,16.38,15.64,16.32,393600,0
10/04/2001,21:00,16.40,16.57,16.32,16.36,222000,0
10/05/2001,21:00,16.27,16.41,16.04,16.37,610800,0
