"Date","Time","Open","High","Low","Close","Up","Down"
06/28/2000,15:30,17.30,17.30,17.30,17.30,3000,0
06/28/2000,20:30,17.61,17.61,17.61,17.61,3000,0
06/28/2000,21:00,17.71,17.71,17.71,17.71,300000,0
06/29/2000,15:30,17.63,17.63,17.63,17.63,12000,0
06/29/2000,16:30,17.56,17.56,17.53,17.53,60000,0
06/29/2000,19:30,17.64,17.71,17.64,17.71,2400,0
06/29/2000,20:30,17.66,17.67,17.66,17.67,13800,0
06/29/2000,21:00,17.65,17.65,17.65,17.65,12000,0
06/30/2000,15:30,17.58,17.58,17.58,17.58,600,0
06/30/2000,16:30,17.59,17.59,17.59,17.59,1200,0
06/30/2000,18:30,17.60,17.61,17.60,17.61,357000,0
06/30/2000,19:30,17.59,17.59,17.59,17.59,600,0
06/30/2000,20:30,17.58,17.58,17.55,17.55,31200,0
06/30/2000,21:00,17.48,17.59,17.48,17.56,40200,0
07/03/2000,15:30,17.60,17.60,17.56,17.56,353400,0
07/03/2000,17:30,17.73,17.73,17.73,17.73,3000,0
07/05/2000,15:30,17.68,17.68,17.68,17.68,2400,0
07/05/2000,16:30,17.60,17.60,17.60,17.60,600,0
07/05/2000,19:30,17.64,17.64,17.64,17.64,600,0
07/06/2000,15:30,17.54,17.54,17.54,17.54,6600,0
07/06/2000,16:30,17.42,17.42,17.38,17.38,248400,0
07/06/2000,17:30,17.42,17.45,17.42,17.45,121200,0
07/06/2000,20:30,17.63,17.63,17.63,17.63,600,0
07/06/2000,21:00,17.65,17.72,17.64,17.72,39600,0
07/07/2000,15:30,17.80,17.85,17.80,17.85,16200,0
07/07/2000,16:30,17.89,17.89,17.89,17.89,600,0
07/07/2000,17:30,17.92,17.92,17.92,17.92,1200,0
07/07/2000,19:30,17.91,17.96,17.91,17.96,2400,0
07/07/2000,20:30,18.00,18.00,18.00,18.00,6000,0
07/07/2000,21:00,17.98,17.98,17.98,17.98,3600,0
07/10/2000,15:30,18.00,18.04,17.97,18.04,7200,0
07/10/2000,17:30,18.04,18.08,18.04,18.06,18000,0
07/10/2000,18:30,18.10,18.11,18.10,18.11,3600,0
07/10/2000,20:30,18.16,18.16,18.11,18.11,36000,0
07/10/2000,21:00,18.08,18.11,18.08,18.11,2400,0
07/11/2000,15:30,18.11,18.16,18.11,18.16,3000,0
07/11/2000,16:30,18.18,18.20,18.18,18.18,62400,0
07/11/2000,17:30,18.18,18.20,18.18,18.20,6000,0
07/11/2000,18:30,18.15,18.15,18.13,18.13,60000,0
07/11/2000,19:30,18.10,18.10,18.05,18.05,120600,0
07/11/2000,20:30,18.08,18.08,18.08,18.08,1200,0
07/11/2000,21:00,18.09,18.09,18.09,18.09,1200,0
07/12/2000,15:30,18.24,18.24,18.24,18.24,4800,0
07/12/2000,16:30,18.24,18.28,18.24,18.28,3000,0
07/12/2000,17:30,18.26,18.26,18.25,18.25,2400,0
07/12/2000,19:30,18.28,18.30,18.28,18.30,3000,0
07/12/2000,20:30,18.32,18.32,18.30,18.30,1800,0
07/12/2000,21:00,18.30,18.30,18.29,18.29,3600,0
07/13/2000,15:30,18.40,18.40,18.33,18.33,8400,0
07/13/2000,16:30,18.36,18.36,18.36,18.36,2400,0
07/13/2000,17:30,18.32,18.32,18.30,18.30,182400,0
