"Date","Time","Open","High","Low","Close","Vol","OI"
05/19/2000,21:00,142.22,142.22,139.81,140.25,775500,0
05/22/2000,21:00,140.16,140.16,136.38,139.38,1850600,0
05/23/2000,21:00,139.78,139.78,137.25,137.25,373900,0
05/24/2000,21:00,137.31,139.63,136.22,139.31,400300,0
05/25/2000,21:00,139.59,140.50,137.44,138.03,69600,0
05/26/2000,21:00,138.05,138.31,136.56,137.41,237000,0
05/30/2000,21:00,138.84,142.00,138.84,141.94,118100,0
05/31/2000,21:00,141.44,143.19,141.44,142.34,216900,0
06/01/2000,21:00,143.47,144.63,143.19,144.63,128700,0
06/02/2000,21:00,147.88,148.34,147.03,147.50,108400,0
06/05/2000,21:00,146.56,147.22,146.25,146.53,192100,0
06/06/2000,21:00,146.00,146.75,145.25,145.78,209300,0
06/07/2000,21:00,145.78,147.06,145.22,146.75,85400,0
06/08/2000,21:00,147.38,147.38,145.50,146.22,248400,0
06/09/2000,21:00,147.08,147.08,145.44,145.69,20200,0
06/12/2000,21:00,146.19,146.19,144.42,144.42,17600,0
06/13/2000,21:00,144.56,146.81,144.06,146.31,40300,0
06/14/2000,21:00,147.31,147.94,146.69,147.22,353900,0
06/15/2000,21:00,147.25,147.81,146.17,147.22,338500,0
06/16/2000,21:00,148.19,148.19,146.03,146.63,855900,0
06/19/2000,21:00,146.13,148.59,146.06,148.08,160000,0
06/20/2000,21:00,148.19,148.20,146.86,147.27,182600,0
06/21/2000,21:00,146.44,147.72,146.44,147.42,137500,0
06/22/2000,21:00,147.00,147.00,144.56,145.00,182900,0
06/23/2000,21:00,145.06,145.44,143.56,143.95,238200,0
06/26/2000,21:00,144.59,145.63,144.38,145.63,26000,0
06/27/2000,21:00,145.38,145.86,144.81,144.81,40900,0
06/28/2000,21:00,144.88,146.47,144.88,145.48,51200,0
06/29/2000,21:00,144.20,144.81,143.13,143.72,48500,0
06/30/2000,21:00,143.55,145.05,143.55,145.05,16800,0
07/03/2000,21:00,145.06,146.70,145.03,146.70,7100,0
07/05/2000,21:00,145.83,145.92,144.19,144.66,27400,0
07/06/2000,21:00,144.44,145.69,143.78,145.38,40100,0
07/07/2000,21:00,145.94,148.06,145.94,147.53,65500,0
07/10/2000,21:00,147.22,148.22,147.22,147.55,72300,0
07/11/2000,21:00,146.81,148.56,146.81,147.84,40700,0
07/12/2000,21:00,148.81,149.50,148.44,148.66,2642100,0
07/13/2000,21:00,149.28,149.84,148.70,149.16,971600,0
07/14/2000,21:00,149.81,150.69,149.38,150.55,158800,0
07/17/2000,21:00,150.30,151.47,150.16,150.45,430100,0
07/18/2000,21:00,150.03,150.06,148.94,149.38,763600,0
07/19/2000,21:00,148.91,149.14,147.97,147.97,120000,0
07/20/2000,21:00,148.44,149.98,148.33,149.98,96500,0
07/21/2000,21:00,148.97,149.00,147.28,147.28,601300,0
07/24/2000,21:00,147.81,148.16,146.22,146.22,151700,0
07/25/2000,21:00,147.03,147.14,146.38,146.98,114000,0
07/26/2000,21:00,145.81,145.89,145.31,145.88,241300,0
07/27/2000,21:00,145.28,146.13,144.44,144.95,94200,0
07/28/2000,21:00,145.06,145.06,141.06,141.06,1145300,0
07/31/2000,21:00,142.50,143.52,141.97,142.50,332900,0
08/01/2000,21:00,142.84,143.95,142.84,143.63,481700,0
08/02/2000,21:00,144.22,144.89,143.66,143.92,505900,0
08/03/2000,21:00,142.50,145.06,142.50,144.69,111100,0
08/04/2000,21:00,145.59,145.98,145.03,145.81,132900,0
08/07/2000,21:00,146.20,147.86,146.03,147.86,6500,0
08/08/2000,21:00,147.41,148.25,147.25,148.14,175400,0
08/09/2000,21:00,148.66,148.66,147.38,147.38,123100,0
08/10/2000,21:00,147.09,147.17,145.91,145.98,66700,0
08/11/2000,21:00,146.09,149.47,145.66,147.00,129100,0
08/14/2000,21:00,147.06,148.20,147.00,148.20,52000,0
08/15/2000,21:00,148.69,149.09,148.17,148.59,343600,0
08/16/2000,21:00,148.84,149.30,147.52,147.56,155000,0
08/17/2000,21:00,148.09,149.84,148.06,149.48,96900,0
08/18/2000,21:00,149.69,149.78,148.88,149.19,269000,0
08/21/2000,21:00,149.72,150.08,149.00,149.00,43000,0
08/22/2000,21:00,149.97,150.66,149.69,150.00,380100,0
08/23/2000,21:00,149.44,150.55,149.02,150.55,239100,0
08/24/2000,21:00,150.28,150.98,150.23,150.64,53100,0
08/25/2000,21:00,150.86,151.14,150.56,150.72,136000,0
08/28/2000,21:00,150.66,152.30,150.66,151.34,354000,0
08/29/2000,21:00,151.00,151.31,150.81,151.22,20800,0
08/30/2000,21:00,150.69,150.69,149.97,149.97,260100,0
08/31/2000,21:00,150.56,152.61,150.44,151.83,843400,0
09/01/2000,21:00,152.59,153.03,151.75,151.86,278000,0
09/05/2000,21:00,151.34,151.59,150.44,150.92,140700,0
09/06/2000,21:00,150.84,151.03,149.42,149.42,153200,0
09/07/2000,21:00,149.80,150.50,149.44,150.50,84000,0
09/08/2000,21:00,149.69,149.69,149.02,149.47,62600,0
09/11/2000,21:00,149.19,150.61,148.61,149.09,62600,0
09/12/2000,21:00,149.25,149.44,148.06,148.06,109000,0
09/13/2000,21:00,147.41,148.52,147.41,148.38,197900,0
09/14/2000,21:00,149.31,149.38,147.89,148.00,99900,0
09/15/2000,21:00,147.91,147.91,146.00,146.22,298900,0
09/18/2000,21:00,146.31,146.75,144.53,144.56,144700,0
09/19/2000,21:00,145.19,146.14,144.73,145.91,128300,0
09/20/2000,21:00,145.44,145.48,143.00,144.55,127700,0
09/21/2000,21:00,144.69,144.69,143.69,144.41,284200,0
09/22/2000,21:00,141.81,144.81,141.81,144.81,124600,0
09/25/2000,21:00,145.34,145.39,143.48,143.50,49300,0
09/26/2000,21:00,144.03,144.44,142.19,142.19,10500,0
09/27/2000,21:00,143.05,143.09,141.86,142.27,155200,0
09/28/2000,21:00,142.53,145.73,142.53,145.59,99100,0
09/29/2000,21:00,144.92,145.00,143.27,143.27,60400,0
10/02/2000,21:00,144.06,144.44,143.06,143.44,223700,0
10/03/2000,21:00,144.17,145.27,142.41,142.41,120600,0
10/04/2000,21:00,142.19,143.69,141.56,143.23,90000,0
10/05/2000,21:00,143.36,144.11,142.94,143.84,114100,0
10/06/2000,21:00,143.73,143.94,139.56,140.64,103800,0
10/09/2000,21:00,140.69,140.77,139.20,139.89,29300,0
10/10/2000,21:00,139.77,140.66,137.56,137.56,123800,0
10/11/2000,21:00,137.16,138.02,134.88,136.31,350200,0
10/12/2000,21:00,136.97,137.06,132.38,132.97,155200,0
10/13/2000,21:00,132.72,137.16,132.50,136.94,322200,0
10/16/2000,21:00,137.13,137.70,136.34,137.63,349600,0
10/17/2000,21:00,137.78,137.91,134.14,134.56,157600,0
10/18/2000,21:00,130.94,135.45,130.59,134.33,81800,0
10/19/2000,21:00,136.31,138.75,136.27,138.75,73300,0
10/20/2000,21:00,138.55,140.67,138.34,139.78,177100,0
10/23/2000,21:00,139.25,140.47,138.69,140.23,30300,0
10/24/2000,21:00,140.48,141.44,138.80,139.14,51700,0
10/25/2000,21:00,137.56,138.98,135.88,136.16,68600,0
10/26/2000,21:00,136.50,137.08,134.08,136.36,47700,0
10/27/2000,21:00,137.56,138.81,136.19,138.81,60200,0
10/30/2000,21:00,138.08,140.56,138.08,139.88,52500,0
10/31/2000,21:00,140.70,143.28,140.59,142.70,124000,0
11/01/2000,21:00,142.25,142.75,141.06,142.03,199300,0
11/02/2000,21:00,142.81,143.25,142.22,142.44,117100,0
11/03/2000,21:00,142.69,143.19,142.06,142.44,157100,0
11/06/2000,21:00,142.84,143.84,142.72,143.53,148000,0
11/07/2000,21:00,142.91,143.50,142.38,143.41,36700,0
11/08/2000,21:00,143.59,143.59,140.31,140.31,40700,0
11/09/2000,21:00,139.50,140.59,137.00,139.47,95300,0
11/10/2000,21:00,138.28,138.81,136.34,136.34,47200,0
11/13/2000,21:00,135.16,136.25,132.78,134.91,74200,0
11/14/2000,21:00,136.84,138.78,136.66,138.28,55200,0
11/15/2000,21:00,138.47,139.56,137.53,138.97,751900,0
11/16/2000,21:00,138.25,139.09,137.06,137.13,265600,0
11/17/2000,21:00,137.13,138.44,135.81,136.28,218300,0
11/20/2000,21:00,135.34,135.72,134.06,134.16,152700,0
11/21/2000,21:00,134.41,135.59,133.31,135.13,159800,0
11/22/2000,21:00,133.63,134.38,131.81,131.81,36300,0
11/24/2000,21:00,133.50,134.31,133.38,134.13,41300,0
11/27/2000,21:00,135.84,136.16,134.97,135.22,68100,0
11/28/2000,21:00,134.91,135.69,133.47,133.47,53100,0
11/29/2000,21:00,133.88,135.25,133.06,133.22,437000,0
11/30/2000,21:00,131.78,132.63,129.50,131.88,226800,0
12/01/2000,21:00,132.44,133.41,131.09,131.50,71000,0
12/04/2000,21:00,131.66,133.06,131.25,132.75,93400,0
12/05/2000,21:00,134.22,137.63,134.06,137.25,187600,0
12/06/2000,21:00,137.25,137.72,135.19,135.19,214300,0
12/07/2000,21:00,134.66,135.34,133.56,133.56,76100,0
12/08/2000,21:00,136.31,138.19,134.00,134.00,115200,0
12/11/2000,21:00,136.53,138.88,136.25,138.25,140900,0
12/12/2000,21:00,137.91,137.91,137.03,137.25,43500,0
12/13/2000,21:00,138.28,138.38,135.34,135.34,91000,0
12/14/2000,21:00,135.13,135.31,133.56,133.56,97800,0
12/15/2000,21:00,132.31,132.31,130.06,130.31,53400,0
12/18/2000,21:00,132.09,132.78,131.50,131.69,141700,0
12/19/2000,21:00,131.72,134.34,129.56,129.56,115200,0
12/20/2000,21:00,127.88,128.19,125.84,125.88,369500,0
12/21/2000,21:00,125.75,128.25,125.22,126.69,241100,0
12/22/2000,21:00,128.44,130.69,128.41,130.69,75300,0
12/26/2000,21:00,130.59,131.38,130.06,131.38,186400,0
12/27/2000,21:00,131.25,133.03,131.00,133.03,166600,0
12/28/2000,21:00,132.44,133.25,132.25,132.91,157600,0
12/29/2000,21:00,133.50,133.75,130.91,130.91,250800,0
01/02/2001,21:00,131.06,131.34,127.31,128.25,174300,0
01/03/2001,21:00,127.78,134.69,127.56,134.66,194500,0
01/04/2001,21:00,134.25,134.78,132.69,133.13,153500,0
01/05/2001,21:00,133.25,133.25,129.09,129.25,68400,0
01/08/2001,21:00,128.94,129.47,127.41,129.47,167700,0
01/09/2001,21:00,130.31,130.97,129.09,129.50,128600,0
01/10/2001,21:00,128.72,131.31,128.59,131.31,53600,0
01/11/2001,21:00,130.97,132.91,130.72,132.03,295400,0
01/12/2001,21:00,132.50,133.09,130.88,131.69,103100,0
01/16/2001,21:00,131.69,132.50,131.06,132.22,100500,0
01/17/2001,21:00,134.19,134.50,132.28,132.88,100600,0
01/18/2001,21:00,133.13,135.09,132.56,134.41,69400,0
01/19/2001,21:00,135.53,135.53,133.44,133.94,39800,0
01/22/2001,21:00,133.63,135.09,133.31,134.06,39500,0
01/23/2001,21:00,134.13,136.06,133.81,135.47,35100,0
01/24/2001,21:00,135.50,136.69,135.50,136.09,204800,0
01/25/2001,21:00,135.78,136.50,135.31,135.38,137900,0
01/26/2001,21:00,134.84,135.50,134.12,135.31,131700,0
01/29/2001,21:00,134.96,136.30,134.96,136.06,105100,0
01/30/2001,21:00,136.21,137.34,135.48,137.33,61700,0
01/31/2001,21:00,137.27,138.00,136.27,136.46,307700,0
02/01/2001,21:00,136.39,137.34,135.80,137.34,65000,0
02/02/2001,21:00,137.29,137.47,134.47,134.55,48500,0
02/05/2001,21:00,134.58,134.97,134.34,134.97,29500,0
02/06/2001,21:00,135.39,136.10,134.86,135.00,18400,0
02/07/2001,21:00,134.65,134.75,133.41,134.05,52200,0
02/08/2001,21:00,134.57,134.82,132.81,132.81,129400,0
02/09/2001,21:00,132.82,132.82,130.92,131.46,61300,0
02/12/2001,21:00,131.47,132.85,131.42,132.75,20200,0
02/13/2001,21:00,132.92,133.44,131.66,132.01,33500,0
02/14/2001,21:00,131.99,131.99,130.32,131.44,29000,0
02/15/2001,21:00,132.19,132.99,132.12,132.56,54700,0
02/16/2001,21:00,130.10,130.67,129.30,130.01,231400,0
02/20/2001,21:00,130.20,130.29,127.60,127.92,43400,0
02/21/2001,21:00,127.23,128.11,125.14,125.28,68800,0
02/22/2001,21:00,125.33,125.57,122.97,125.01,294300,0
02/23/2001,21:00,123.91,125.00,121.54,124.31,247400,0
02/26/2001,21:00,125.22,126.51,124.17,126.51,58900,0
02/27/2001,21:00,126.57,127.18,125.24,126.07,437400,0
02/28/2001,21:00,126.43,126.43,122.84,123.63,94600,0
03/01/2001,21:00,123.60,124.10,121.56,124.10,63600,0
03/02/2001,21:00,122.33,125.07,122.19,123.19,38200,0
03/05/2001,21:00,123.76,124.11,123.45,124.11,462200,0
03/06/2001,21:00,125.73,126.74,125.21,125.59,1398300,0
03/07/2001,21:00,126.27,126.27,125.34,126.11,1012800,0
03/08/2001,21:00,126.26,126.67,125.83,126.48,107100,0
03/09/2001,21:00,124.85,125.06,122.70,123.03,2122400,0
03/12/2001,21:00,121.67,121.67,117.21,117.34,2014800,0
03/13/2001,21:00,118.43,119.46,116.92,119.28,121900,0
03/14/2001,21:00,116.56,118.32,115.41,116.42,148600,0
03/15/2001,21:00,117.84,118.02,116.76,116.96,153100,0
03/16/2001,21:00,116.56,116.77,114.56,114.80,119100,0
03/19/2001,21:00,115.47,117.13,114.51,116.88,73700,0
03/20/2001,21:00,117.11,117.72,113.95,114.01,49400,0
03/21/2001,21:00,113.91,114.63,111.56,112.05,170600,0
03/22/2001,21:00,111.76,111.89,107.94,111.27,194400,0
03/23/2001,21:00,112.56,114.00,111.56,114.00,107800,0
03/26/2001,21:00,115.16,115.69,114.48,115.35,44200,0
03/27/2001,21:00,115.29,118.17,115.08,117.84,117800,0
03/28/2001,21:00,116.48,116.48,114.68,114.88,130700,0
03/29/2001,21:00,114.30,115.89,113.29,114.90,78300,0
03/30/2001,21:00,115.40,116.28,114.26,116.28,881200,0
04/02/2001,21:00,115.66,116.72,113.61,113.81,299900,0
04/03/2001,21:00,113.36,113.56,109.81,109.89,136600,0
04/04/2001,21:00,109.96,111.53,109.09,110.17,897100,0
04/05/2001,21:00,112.43,114.96,112.43,114.55,807200,0
04/06/2001,21:00,113.56,113.70,111.84,112.93,139300,0
04/09/2001,21:00,113.36,114.38,112.56,113.23,397800,0
04/10/2001,21:00,115.03,117.35,114.71,116.39,786300,0
04/11/2001,21:00,117.86,118.06,115.86,116.46,110900,0
04/12/2001,21:00,115.80,118.14,115.78,118.13,692800,0
04/16/2001,21:00,117.98,118.17,116.58,117.41,590400,0
04/17/2001,21:00,116.71,119.21,116.71,118.68,1401300,0
04/18/2001,21:00,120.71,125.51,120.23,123.80,244500,0
04/19/2001,21:00,123.76,125.26,123.26,125.07,2022100,0
04/20/2001,21:00,124.51,124.84,123.43,124.41,1065800,0
04/23/2001,21:00,123.31,123.35,121.68,121.94,56400,0
04/24/2001,21:00,122.06,123.26,120.75,121.07,132700,0
04/25/2001,21:00,121.06,123.09,120.68,122.74,152200,0
04/26/2001,21:00,123.21,124.69,123.16,123.29,60700,0
04/27/2001,21:00,124.41,125.29,123.98,125.29,852200,0
04/30/2001,21:00,125.81,126.89,124.47,124.76,414500,0
05/01/2001,21:00,124.64,126.74,124.24,126.74,61600,0
05/02/2001,21:00,127.13,127.13,125.71,126.51,696300,0
05/03/2001,21:00,125.46,125.46,123.92,124.98,951900,0
05/04/2001,21:00,123.43,126.81,123.10,126.81,1281900,0
05/07/2001,21:00,126.73,126.88,125.76,125.76,97700,0
