"Date","Time","Open","High","Low","Close","Up","Down"
05/19/2000,15:30,142.22,142.22,141.25,141.25,155900,0
05/19/2000,16:30,140.84,140.84,140.50,140.50,25000,0
05/19/2000,17:30,141.19,141.19,140.59,140.63,273000,0
05/19/2000,18:30,140.72,140.75,140.47,140.64,35000,0
05/19/2000,19:30,139.84,140.13,139.81,139.94,80700,0
05/19/2000,20:30,139.97,140.97,139.97,140.50,115900,0
05/19/2000,21:00,140.59,140.59,140.06,140.06,35000,0
05/22/2000,15:30,140.16,140.16,138.44,138.44,635000,0
05/22/2000,16:30,136.91,137.81,136.91,137.47,537000,0
05/22/2000,17:30,137.38,137.69,136.94,136.94,115000,0
05/22/2000,18:30,137.50,137.50,137.31,137.31,90000,0
05/22/2000,19:30,137.00,137.56,136.38,137.56,285000,0
05/22/2000,20:30,137.72,138.94,137.56,138.94,47600,0
05/22/2000,21:00,139.06,139.63,138.84,139.63,120000,0
05/23/2000,15:30,139.78,139.78,138.44,138.44,42000,0
05/23/2000,16:30,138.38,139.28,138.38,139.28,81500,0
05/23/2000,17:30,139.63,139.63,139.44,139.44,20500,0
05/23/2000,18:30,138.81,138.94,138.81,138.94,6000,0
05/23/2000,19:30,138.97,139.31,138.94,139.00,55000,0
05/23/2000,20:30,139.06,139.06,137.31,137.31,92600,0
05/23/2000,21:00,138.09,138.19,137.25,137.25,76300,0
05/24/2000,15:30,137.31,138.56,137.13,138.38,78200,0
05/24/2000,16:30,138.81,138.81,137.44,137.81,55200,0
05/24/2000,17:30,137.44,137.44,136.94,137.00,27200,0
05/24/2000,18:30,136.75,136.75,136.22,136.22,75300,0
05/24/2000,19:30,136.38,138.41,136.38,138.41,44400,0
05/24/2000,20:30,138.44,139.13,138.44,139.13,59200,0
05/24/2000,21:00,139.19,139.63,139.19,139.38,56900,0
05/25/2000,15:30,139.59,140.44,139.59,140.06,6200,0
05/25/2000,16:30,140.50,140.50,140.50,140.50,100,0
05/25/2000,17:30,139.97,140.31,139.97,140.31,10100,0
05/25/2000,18:30,140.47,140.47,140.30,140.34,25700,0
05/25/2000,19:30,140.31,140.31,139.44,139.44,21300,0
05/25/2000,20:30,137.63,137.81,137.63,137.63,700,0
05/25/2000,21:00,137.44,138.03,137.44,138.03,4700,0
05/26/2000,15:30,138.05,138.06,136.81,136.94,3900,0
