"Date","Time","Open","High","Low","Close","Up","Down"
04/10/2006,15:30,68.25,68.50,67.98,67.99,254400,643100
04/10/2006,16:30,67.97,68.16,67.75,68.00,430600,584700
04/10/2006,17:30,68.03,68.05,67.67,67.79,167800,405700
04/10/2006,18:30,67.77,68.10,67.73,67.95,234900,528300
04/10/2006,19:30,68.00,68.05,67.77,68.04,257600,196600
04/10/2006,20:30,68.02,68.04,67.87,68.00,46600,39000
04/10/2006,21:00,67.98,68.05,67.92,68.00,51700,20200
04/11/2006,15:30,68.32,68.39,67.95,68.04,149100,120000
04/11/2006,16:30,68.01,68.27,67.33,67.40,98800,110900
04/11/2006,17:30,67.44,67.80,67.30,67.80,67200,40900
04/11/2006,18:30,67.80,68.30,67.70,68.30,181200,158200
04/11/2006,19:30,68.29,68.29,68.06,68.26,95900,54400
04/11/2006,20:30,68.23,68.28,68.16,68.26,52300,43600
04/11/2006,21:00,68.26,68.28,68.08,68.18,52100,54600
04/12/2006,15:30,68.22,68.36,68.15,68.30,59600,97000
04/12/2006,16:30,68.30,68.81,67.90,68.27,247400,248000
04/12/2006,17:30,68.21,68.50,68.00,68.00,71700,127900
04/12/2006,18:30,67.97,68.36,67.81,68.21,28900,32600
04/12/2006,19:30,68.25,68.36,67.94,67.97,19900,36000
04/12/2006,20:30,67.95,68.00,67.85,67.85,16300,27600
04/12/2006,21:00,67.85,67.88,67.81,67.85,19000,11700
04/13/2006,15:30,67.50,67.72,67.45,67.49,21700,27700
04/13/2006,16:30,67.45,67.90,67.40,67.90,25900,42300
04/13/2006,17:30,67.89,67.96,67.73,67.90,7200,6400
04/13/2006,18:30,67.89,68.36,67.84,68.36,37700,38500
04/13/2006,19:30,68.30,68.66,68.15,68.61,24400,6000
04/13/2006,20:30,68.61,68.73,68.55,68.65,60200,24700
04/13/2006,21:00,68.64,68.99,68.61,68.89,106800,126400
04/17/2006,15:30,69.20,69.21,68.68,68.85,107600,87300
04/17/2006,16:30,68.86,69.43,68.86,69.09,45900,34700
04/17/2006,17:30,69.09,69.58,69.09,69.40,97300,136000
04/17/2006,18:30,69.42,69.55,69.28,69.53,24300,10200
04/17/2006,19:30,69.53,69.90,69.48,69.85,93600,110500
04/17/2006,20:30,69.85,69.85,69.65,69.71,45300,31200
04/17/2006,21:00,69.73,69.81,69.66,69.77,50200,27800
04/18/2006,15:30,70.10,70.15,69.75,70.07,121400,209200
04/18/2006,16:30,70.06,70.12,69.58,69.74,48900,95300
04/18/2006,17:30,69.69,70.11,69.57,70.11,38500,36500
04/18/2006,18:30,70.10,70.23,70.00,70.20,24500,19200
04/18/2006,19:30,70.21,70.99,70.15,70.80,69000,43000
04/18/2006,20:30,70.97,71.05,70.74,70.82,12200,22600
04/18/2006,21:00,70.76,70.82,70.65,70.68,167200,10900
04/19/2006,15:30,70.58,70.89,70.49,70.79,52300,27500
04/19/2006,16:30,70.80,71.40,70.50,71.21,189400,109600
04/19/2006,17:30,71.14,71.21,70.70,70.83,62600,36600
04/19/2006,18:30,70.80,71.58,70.80,71.53,42300,15700
04/19/2006,19:30,71.59,72.16,71.55,71.89,47800,120600
04/19/2006,20:30,71.75,71.96,71.65,71.88,14000,12700
04/19/2006,21:00,71.82,71.88,71.74,71.87,28000,17800
04/20/2006,15:30,71.92,71.92,71.12,71.51,52400,56600
04/20/2006,16:30,71.49,71.60,70.51,70.78,47600,53400
04/20/2006,17:30,70.84,71.10,70.70,71.04,11400,33800
04/20/2006,18:30,71.08,72.16,70.97,71.75,243000,73000
04/20/2006,19:30,71.62,71.88,71.39,71.39,122100,44300
04/20/2006,20:30,71.37,71.44,71.08,71.10,7100,13700
04/20/2006,21:00,71.07,71.16,71.05,71.10,65000,18400
04/21/2006,15:30,70.89,71.34,70.80,70.97,149800,66200
04/21/2006,16:30,71.00,71.90,70.95,71.90,131900,42100
04/21/2006,17:30,71.90,72.22,71.70,71.97,106900,52000
04/21/2006,18:30,71.90,72.63,71.88,72.58,65000,17900
04/21/2006,19:30,72.56,73.10,72.48,72.96,113800,85200
04/21/2006,20:30,73.00,73.17,72.82,72.98,103900,21700
04/21/2006,21:00,72.97,73.23,72.90,73.06,65300,25500
04/24/2006,15:30,71.40,72.45,71.40,71.92,90900,102800
04/24/2006,16:30,71.92,72.16,71.40,71.59,67400,97400
04/24/2006,17:30,71.61,71.89,71.61,71.83,28700,47100
04/24/2006,18:30,71.83,72.02,71.21,71.35,32600,97800
04/24/2006,19:30,71.33,71.36,70.79,71.10,133900,118700
04/24/2006,20:30,71.13,71.28,70.96,71.04,43700,41500
04/24/2006,21:00,71.04,71.06,71.01,71.02,33000,73200
04/25/2006,15:30,71.68,71.81,70.95,71.10,284300,169200
04/25/2006,16:30,71.01,71.03,69.62,70.10,305600,527100
04/25/2006,17:30,70.06,70.42,70.00,70.22,458700,186400
04/25/2006,18:30,70.24,70.64,70.01,70.33,21200,32000
04/25/2006,19:30,70.38,70.96,70.18,70.66,130700,125700
04/25/2006,20:30,70.64,70.76,70.61,70.70,31000,12200
04/25/2006,21:00,70.70,70.79,70.54,70.56,6300,8800
04/26/2006,15:30,70.44,70.77,70.34,70.70,38800,26600
04/26/2006,16:30,70.62,70.85,69.97,70.81,243100,112000
04/26/2006,17:30,70.70,70.70,69.82,70.22,53000,91900
04/26/2006,18:30,70.17,70.21,69.80,69.93,14700,18900
04/26/2006,19:30,69.92,70.43,69.75,69.79,83900,67600
04/26/2006,20:30,69.81,69.84,69.53,69.61,7700,19700
04/26/2006,21:00,69.61,69.66,69.45,69.54,26300,52400
