"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,21:00,19.26,19.26,18.45,18.57,1186182,0
01/04/2000,21:00,18.17,18.19,17.60,17.76,886065,0
01/05/2000,21:00,17.76,17.95,17.43,17.62,717472,0
01/06/2000,21:00,17.67,18.51,17.67,18.40,416001,0
01/07/2000,21:00,18.52,18.73,18.27,18.70,468832,0
01/10/2000,21:00,18.85,19.29,18.32,18.37,460827,0
01/11/2000,21:00,18.19,18.44,18.07,18.07,476344,0
01/12/2000,21:00,18.21,18.52,18.21,18.42,143346,0
01/13/2000,21:00,18.75,19.07,18.65,18.98,1105026,0
01/14/2000,21:00,19.21,19.55,19.20,19.42,731881,0
01/18/2000,21:00,19.36,19.36,18.78,18.78,466369,0
01/19/2000,21:00,18.79,19.16,18.68,18.71,339648,0
01/20/2000,21:00,18.85,18.85,18.27,18.37,588411,0
01/21/2000,21:00,18.47,18.47,18.04,18.14,498511,0
01/24/2000,21:00,18.32,18.32,17.66,17.81,346913,0
01/25/2000,21:00,17.81,18.14,17.79,18.00,231768,0
01/26/2000,21:00,18.14,18.98,18.12,18.68,630774,0
01/27/2000,21:00,18.77,18.99,18.57,18.88,262679,0
01/28/2000,21:00,18.37,18.57,18.07,18.22,171055,0
01/31/2000,21:00,18.02,18.73,18.02,18.73,541983,0
02/01/2000,21:00,18.83,18.87,18.55,18.83,332135,0
02/02/2000,21:00,18.78,18.80,18.47,18.64,399991,0
02/03/2000,21:00,18.63,18.73,18.18,18.52,350362,0
02/04/2000,21:00,18.59,18.68,18.22,18.33,216621,0
02/07/2000,21:00,18.19,18.30,18.02,18.14,91623,0
02/08/2000,21:00,18.37,18.47,18.25,18.35,608731,0
02/09/2000,21:00,18.35,18.35,17.79,17.92,223640,0
02/10/2000,21:00,17.94,17.94,17.26,17.42,641735,0
02/11/2000,21:00,17.66,17.86,17.31,17.46,588903,0
02/14/2000,21:00,17.48,17.61,17.12,17.61,1015126,0
02/15/2000,21:00,17.28,17.70,17.15,17.64,373637,0
02/16/2000,21:00,17.59,17.66,17.17,17.27,376469,0
02/17/2000,21:00,17.56,17.56,16.87,17.05,612056,0
02/18/2000,21:00,16.98,16.98,16.29,16.44,882124,0
02/22/2000,21:00,16.62,16.72,16.24,16.60,564766,0
02/23/2000,21:00,16.65,16.74,16.37,16.53,392602,0
02/24/2000,21:00,16.37,16.49,16.01,16.19,435951,0
02/25/2000,21:00,16.32,16.62,15.69,16.09,608361,0
02/28/2000,21:00,16.49,16.76,16.24,16.61,1225836,0
02/29/2000,21:00,16.81,16.84,16.44,16.72,435335,0
03/01/2000,21:00,16.75,17.10,16.65,16.95,1579277,0
03/02/2000,21:00,16.85,16.98,16.56,16.85,600603,0
03/03/2000,21:00,17.20,17.20,16.85,17.00,418587,0
03/06/2000,21:00,16.91,17.09,16.67,16.84,1879024,0
03/07/2000,21:00,16.65,16.80,16.14,16.33,1253791,0
03/08/2000,21:00,16.06,16.24,15.83,16.14,649493,0
03/09/2000,21:00,15.95,16.32,15.89,16.23,385336,0
03/10/2000,21:00,16.19,16.44,16.19,16.28,183493,0
03/13/2000,21:00,15.81,16.62,15.81,16.44,411814,0
03/14/2000,21:00,16.37,16.68,16.34,16.38,286324,0
03/15/2000,21:00,16.47,17.46,16.24,17.38,1207117,0
03/16/2000,21:00,17.85,18.87,17.72,18.78,2121753,0
03/17/2000,21:00,18.83,19.23,18.70,18.82,1076208,0
03/20/2000,21:00,18.87,18.88,18.26,18.46,422404,0
03/21/2000,21:00,18.26,19.16,18.25,19.13,932739,0
03/22/2000,21:00,19.10,19.39,18.42,19.30,831017,0
03/23/2000,21:00,19.26,20.10,19.10,19.97,702817,0
03/24/2000,21:00,20.22,20.50,19.87,20.20,660454,0
03/27/2000,21:00,20.19,20.19,19.39,19.54,316742,0
03/28/2000,21:00,19.34,19.92,19.34,19.69,371667,0
03/29/2000,21:00,19.89,19.89,19.35,19.54,237187,0
03/30/2000,21:00,19.72,19.79,19.41,19.58,511935,0
03/31/2000,21:00,19.41,19.84,19.29,19.70,1534450,0
04/03/2000,21:00,20.12,20.66,20.02,20.66,540136,0
04/04/2000,21:00,20.71,20.81,19.07,19.83,1568686,0
04/05/2000,21:00,19.74,20.05,19.60,19.68,344943,0
04/06/2000,21:00,19.93,19.95,19.70,19.89,343219,0
04/07/2000,21:00,20.02,20.02,19.44,19.49,783727,0
04/10/2000,21:00,19.54,20.14,19.35,20.05,179183,0
04/11/2000,21:00,20.12,20.30,19.77,20.30,162927,0
04/12/2000,21:00,20.30,20.95,20.30,20.39,1093573,0
04/13/2000,21:00,20.07,20.22,19.81,19.86,790746,0
04/14/2000,21:00,18.93,19.26,17.97,18.25,1045667,0
04/17/2000,21:00,18.68,18.70,18.07,18.40,498511,0
04/18/2000,21:00,18.32,19.29,18.32,19.22,884833,0
04/19/2000,21:00,19.01,19.16,18.63,18.88,218714,0
04/20/2000,21:00,18.89,19.23,18.78,19.23,175119,0
04/24/2000,21:00,19.13,19.69,19.03,19.69,196547,0
04/25/2000,21:00,19.69,20.38,19.69,20.30,252827,0
04/26/2000,21:00,20.29,20.29,19.81,19.89,939142,0
04/27/2000,21:00,19.29,19.67,19.15,19.49,170316,0
04/28/2000,21:00,19.49,19.89,18.93,19.89,436320,0
05/01/2000,21:00,18.98,19.72,18.96,19.45,117115,0
05/02/2000,21:00,19.23,19.44,19.20,19.26,179552,0
05/03/2000,21:00,19.31,19.48,18.75,18.92,425483,0
05/04/2000,21:00,18.78,18.83,18.50,18.63,180907,0
05/05/2000,21:00,18.42,18.80,18.40,18.75,74505,0
05/08/2000,21:00,18.55,19.13,18.55,19.12,49260,0
05/09/2000,21:00,19.23,19.46,18.85,19.07,701709,0
05/10/2000,21:00,19.02,19.03,18.55,18.56,348514,0
05/11/2000,21:00,18.80,19.22,18.80,19.12,293959,0
05/12/2000,21:00,19.08,19.56,19.03,19.34,611440,0
05/15/2000,21:00,19.44,20.22,19.44,20.20,493462,0
05/16/2000,21:00,20.21,21.01,19.92,20.08,217359,0
05/17/2000,21:00,19.70,20.02,19.69,19.74,118100,0
05/18/2000,21:00,19.87,20.38,19.87,20.00,284107,0
05/19/2000,21:00,20.02,20.02,19.49,19.64,182385,0
05/22/2000,21:00,19.73,19.89,19.39,19.89,179922,0
05/23/2000,21:00,19.79,20.10,19.72,20.02,203813,0
05/24/2000,21:00,19.91,20.45,19.91,20.28,332751,0
05/25/2000,21:00,20.24,20.33,19.54,19.77,532993,0
05/26/2000,21:00,19.59,19.87,19.49,19.69,644937,0
05/30/2000,21:00,20.06,20.15,19.84,20.10,315510,0
05/31/2000,21:00,20.12,20.38,20.00,20.34,152090,0
06/01/2000,21:00,20.44,21.05,20.40,21.01,581268,0
06/02/2000,21:00,22.03,22.05,21.57,21.87,1362902,0
06/05/2000,21:00,21.82,21.82,21.16,21.38,214281,0
06/06/2000,21:00,21.21,21.63,20.71,20.91,292851,0
06/07/2000,21:00,20.85,21.37,20.85,21.21,116007,0
06/08/2000,21:00,21.24,21.24,20.73,20.86,305658,0
06/09/2000,21:00,21.06,21.11,20.40,20.50,279550,0
06/12/2000,21:00,20.55,20.73,20.53,20.68,104677,0
06/13/2000,21:00,20.50,20.91,20.40,20.66,689517,0
06/14/2000,21:00,20.86,21.24,20.76,21.01,289156,0
06/15/2000,21:00,20.71,20.81,20.17,20.52,1172758,0
06/16/2000,21:00,20.15,20.22,19.34,19.49,1356498,0
06/19/2000,21:00,19.39,20.10,19.39,20.00,846164,0
06/20/2000,21:00,20.08,20.10,19.69,19.74,785451,0
06/21/2000,21:00,19.59,19.77,19.39,19.59,457256,0
06/22/2000,21:00,19.39,19.58,19.18,19.58,470679,0
06/23/2000,21:00,19.59,19.84,19.41,19.44,556515,0
06/26/2000,21:00,19.64,19.87,19.54,19.74,216128,0
06/27/2000,21:00,19.95,20.05,19.77,19.93,270930,0
06/28/2000,21:00,20.02,20.10,19.74,19.78,389031,0
06/29/2000,21:00,19.55,19.84,19.49,19.77,92732,0
06/30/2000,21:00,19.56,19.69,19.01,19.29,776338,0
07/03/2000,21:00,19.29,19.64,19.13,19.64,514767,0
07/05/2000,21:00,19.81,20.10,19.59,19.86,681882,0
07/06/2000,21:00,19.69,20.10,19.55,20.01,460827,0
07/07/2000,21:00,20.21,20.48,20.06,20.35,370189,0
07/10/2000,21:00,20.45,20.63,20.35,20.54,424005,0
07/11/2000,21:00,20.53,20.76,20.41,20.50,219207,0
07/12/2000,21:00,20.93,21.04,20.71,20.80,230044,0
07/13/2000,21:00,20.90,20.90,20.50,20.59,553929,0
07/14/2000,21:00,20.68,21.06,20.68,20.93,149011,0
07/17/2000,21:00,20.91,21.01,20.53,20.54,169454,0
07/18/2000,21:00,20.41,20.58,20.28,20.58,84973,0
07/19/2000,21:00,20.43,20.63,20.38,20.50,85958,0
07/20/2000,21:00,20.53,21.16,20.53,21.02,124874,0
07/21/2000,21:00,21.06,21.29,20.88,21.01,197902,0
07/24/2000,21:00,21.06,21.32,20.88,21.09,255290,0
07/25/2000,21:00,21.10,21.21,20.93,21.13,311446,0
07/26/2000,21:00,21.06,21.24,20.86,21.02,179060,0
07/27/2000,21:00,20.99,21.39,20.99,21.09,160834,0
07/28/2000,21:00,21.06,21.21,20.63,20.63,245930,0
07/31/2000,21:00,20.93,21.19,20.68,20.99,190390,0
08/01/2000,21:00,21.10,21.25,21.01,21.13,87682,0
08/02/2000,21:00,21.24,21.39,21.04,21.10,73643,0
08/03/2000,21:00,21.19,21.72,21.14,21.62,90638,0
08/04/2000,21:00,21.92,22.46,21.86,22.44,353194,0
08/07/2000,21:00,22.38,22.56,22.05,22.56,691611,0
08/08/2000,21:00,22.56,22.56,22.28,22.56,153321,0
08/09/2000,21:00,22.36,22.66,21.98,22.41,432010,0
08/10/2000,21:00,22.56,22.61,22.18,22.29,174996,0
08/11/2000,21:00,22.38,22.63,22.18,22.60,148765,0
08/14/2000,21:00,22.55,22.93,22.33,22.90,138667,0
08/15/2000,21:00,22.79,22.79,22.41,22.50,66254,0
08/16/2000,21:00,22.66,22.71,22.05,22.23,160957,0
08/17/2000,21:00,22.15,22.53,22.15,22.52,355534,0
08/18/2000,21:00,22.48,22.48,22.25,22.36,184478,0
08/21/2000,21:00,22.27,22.61,22.24,22.53,94579,0
08/22/2000,21:00,22.46,22.91,22.46,22.77,241251,0
08/23/2000,21:00,22.66,22.89,22.43,22.48,432256,0
08/24/2000,21:00,22.46,22.63,22.28,22.44,181892,0
08/25/2000,21:00,22.52,22.52,22.14,22.14,105170,0
08/28/2000,21:00,22.32,22.71,22.23,22.56,142484,0
08/29/2000,21:00,22.61,22.61,22.13,22.34,91007,0
08/30/2000,21:00,22.33,22.77,22.33,22.53,173149,0
08/31/2000,21:00,22.51,23.24,22.51,23.12,538042,0
09/01/2000,21:00,23.14,23.14,22.74,22.81,920300,0
09/05/2000,21:00,22.86,23.09,22.72,23.02,566367,0
09/06/2000,21:00,23.12,23.40,23.04,23.19,131524,0
09/07/2000,21:00,23.04,23.17,22.89,23.00,177582,0
09/08/2000,21:00,22.94,23.55,22.94,23.52,2608812,0
09/11/2000,21:00,23.73,24.16,23.65,23.87,1598858,0
09/12/2000,21:00,24.06,24.06,23.80,23.95,1632478,0
09/13/2000,21:00,23.80,24.04,23.60,23.80,420680,0
09/14/2000,21:00,23.81,23.90,23.68,23.71,273023,0
09/15/2000,21:00,23.73,23.73,23.17,23.26,213296,0
09/18/2000,21:00,22.99,23.03,22.39,22.48,529915,0
09/19/2000,21:00,22.52,22.98,22.48,22.96,239157,0
09/20/2000,21:00,22.86,22.86,22.20,22.63,221054,0
09/21/2000,21:00,22.53,22.53,22.03,22.38,179552,0
09/22/2000,21:00,22.31,22.89,22.31,22.75,69087,0
09/25/2000,21:00,22.94,23.33,22.89,23.18,115884,0
09/26/2000,21:00,23.04,23.32,22.89,22.91,66993,0
09/27/2000,21:00,23.04,23.07,22.75,23.04,411075,0
09/28/2000,21:00,22.91,23.74,22.91,23.62,440508,0
09/29/2000,21:00,23.52,23.88,23.50,23.55,118470,0
10/02/2000,21:00,23.52,23.90,23.14,23.88,381642,0
10/03/2000,21:00,23.80,24.06,23.76,23.85,155292,0
10/04/2000,21:00,23.65,23.80,23.41,23.55,519200,0
10/05/2000,21:00,23.60,23.94,23.60,23.78,306397,0
10/06/2000,21:00,23.60,23.70,22.53,22.79,2007839,0
10/09/2000,21:00,22.58,22.72,22.38,22.43,156277,0
10/10/2000,21:00,22.56,22.56,21.57,21.78,3846963,0
10/11/2000,21:00,21.49,21.82,21.11,21.82,4428478,0
10/12/2000,21:00,21.65,21.65,20.47,20.55,1123129,0
10/13/2000,21:00,20.73,21.72,20.73,21.62,1250220,0
10/16/2000,21:00,21.58,21.89,21.43,21.81,167607,0
10/17/2000,21:00,22.00,22.00,21.01,21.21,572894,0
10/18/2000,21:00,20.20,21.48,20.20,20.97,1687279,0
10/19/2000,21:00,21.54,22.13,21.54,21.96,488906,0
10/20/2000,21:00,22.03,22.23,21.92,22.05,466492,0
10/23/2000,21:00,21.98,22.03,21.59,21.68,321421,0
10/24/2000,21:00,21.87,22.51,21.87,22.23,309229,0
10/25/2000,21:00,22.43,22.72,22.13,22.36,533240,0
10/26/2000,21:00,22.15,22.37,21.28,21.63,869563,0
10/27/2000,21:00,22.03,22.43,21.29,22.34,1361794,0
10/30/2000,21:00,22.55,23.37,22.55,23.16,1245540,0
10/31/2000,21:00,23.37,23.50,22.95,23.35,227335,0
11/01/2000,21:00,23.14,23.35,23.04,23.24,614026,0
11/02/2000,21:00,23.47,23.62,23.24,23.35,71057,0
11/03/2000,21:00,23.40,23.50,23.19,23.29,139036,0
11/06/2000,21:00,23.52,23.65,23.29,23.60,137435,0
11/07/2000,21:00,23.60,23.73,23.40,23.52,166868,0
11/08/2000,21:00,23.50,23.50,22.94,23.12,626341,0
11/09/2000,21:00,23.04,23.50,22.84,23.27,601711,0
11/10/2000,21:00,23.14,23.37,22.91,23.02,519816,0
11/13/2000,21:00,22.86,22.94,22.13,22.48,4904946,0
11/14/2000,21:00,22.96,23.14,22.53,22.61,4579583,0
11/15/2000,21:00,22.43,22.69,22.18,22.43,1102809,0
11/16/2000,21:00,22.33,22.63,22.20,22.36,153075,0
11/17/2000,21:00,22.33,22.69,21.98,22.18,939881,0
11/20/2000,21:00,21.77,21.92,21.37,21.52,373514,0
11/21/2000,21:00,21.52,21.70,21.11,21.57,682251,0
11/22/2000,21:00,21.34,21.49,20.91,21.04,257014,0
11/24/2000,21:00,21.26,21.37,21.16,21.19,103938,0
11/27/2000,21:00,21.32,21.54,21.32,21.49,271176,0
11/28/2000,21:00,21.42,21.90,21.42,21.72,1526199,0
11/29/2000,21:00,21.80,22.25,21.72,22.25,1482111,0
11/30/2000,21:00,22.13,22.51,21.62,22.15,2073848,0
12/01/2000,21:00,22.31,22.43,21.95,22.03,503191,0
12/04/2000,21:00,21.92,22.71,21.62,21.92,1993061,0
12/05/2000,21:00,21.98,23.04,21.90,22.84,1343198,0
12/06/2000,21:00,23.24,23.62,22.33,22.74,1399724,0
12/07/2000,21:00,22.79,23.04,22.56,22.79,1007244,0
12/08/2000,21:00,23.29,23.55,23.09,23.45,3374559,0
12/11/2000,21:00,23.50,23.83,23.37,23.62,936926,0
12/12/2000,21:00,23.45,23.52,23.27,23.35,348638,0
12/13/2000,21:00,23.75,23.75,23.19,23.37,244822,0
12/14/2000,21:00,22.74,22.89,22.43,22.69,643213,0
12/15/2000,21:00,22.38,22.71,22.18,22.51,597154,0
12/18/2000,21:00,22.86,23.35,22.76,23.17,1624350,0
12/19/2000,21:00,23.19,23.60,22.79,22.91,3552758,0
12/20/2000,21:00,22.63,22.91,22.51,22.71,1652674,0
12/21/2000,21:00,22.63,23.24,22.46,23.24,2454628,0
12/22/2000,21:00,23.52,23.57,23.22,23.42,792347,0
12/26/2000,21:00,23.60,23.85,23.45,23.85,1927915,0
12/27/2000,21:00,23.62,24.03,23.62,24.01,372775,0
12/28/2000,21:00,23.95,24.31,23.95,24.23,459226,0
12/29/2000,21:00,24.16,24.41,23.83,23.95,846410,0
01/02/2001,21:00,24.03,24.03,23.04,23.27,1552061,0
01/03/2001,21:00,23.45,24.87,22.94,24.54,1574474,0
01/04/2001,21:00,24.39,24.89,24.06,24.11,1037786,0
01/05/2001,21:00,23.52,24.01,22.94,23.60,2139610,0
01/08/2001,21:00,23.40,23.60,23.19,23.35,518585,0
01/09/2001,21:00,23.62,23.62,22.96,22.96,266004,0
01/10/2001,21:00,23.02,23.50,22.86,23.35,495679,0
01/11/2001,21:00,23.55,23.85,23.29,23.40,662055,0
01/12/2001,21:00,23.45,23.45,22.79,22.94,549249,0
01/16/2001,21:00,23.04,24.16,22.86,23.35,867223,0
01/17/2001,21:00,23.68,23.70,23.24,23.40,544569,0
01/18/2001,21:00,23.32,23.32,22.89,23.04,480408,0
01/19/2001,21:00,23.14,23.14,22.74,22.89,667104,0
01/22/2001,21:00,22.94,23.52,22.94,23.29,291865,0
01/23/2001,21:00,23.29,23.70,23.22,23.52,418833,0
01/24/2001,21:00,23.65,23.93,23.57,23.65,4037353,0
01/25/2001,21:00,23.93,23.95,23.55,23.88,1695038,0
01/26/2001,21:00,23.78,24.00,23.65,23.95,980028,0
01/29/2001,21:00,24.24,24.28,23.94,23.99,273393,0
01/30/2001,21:00,24.12,24.23,23.75,24.20,386321,0
01/31/2001,21:00,24.24,24.28,23.79,23.90,464152,0
02/01/2001,21:00,24.00,24.12,23.84,23.93,229921,0
02/02/2001,21:00,24.13,24.26,23.92,24.00,223640,0
02/05/2001,21:00,24.16,24.20,23.89,24.16,258368,0
02/06/2001,21:00,24.13,24.13,23.65,23.69,622277,0
02/07/2001,21:00,23.84,23.91,23.48,23.63,313540,0
02/08/2001,21:00,23.79,23.86,23.44,23.56,2848708,0
02/09/2001,21:00,23.39,23.78,23.35,23.66,357135,0
02/12/2001,21:00,23.76,24.05,23.69,24.00,2499085,0
02/13/2001,21:00,24.14,24.14,23.76,23.86,791855,0
02/14/2001,21:00,23.87,23.87,23.46,23.58,138420,0
02/15/2001,21:00,23.51,23.65,23.30,23.58,616489,0
02/16/2001,21:00,23.30,23.80,23.30,23.59,842223,0
02/20/2001,21:00,23.63,23.63,22.66,22.72,407134,0
02/21/2001,21:00,22.53,22.86,22.05,22.05,570677,0
02/22/2001,21:00,21.92,22.20,21.26,22.20,660946,0
02/23/2001,21:00,22.01,22.27,21.44,22.09,685330,0
02/26/2001,21:00,22.30,22.58,21.91,22.58,252088,0
02/27/2001,21:00,22.60,23.04,22.43,22.83,434719,0
02/28/2001,21:00,22.66,22.85,22.04,22.29,1071036,0
03/01/2001,21:00,22.13,22.32,21.86,22.31,826214,0
03/02/2001,21:00,22.07,22.66,22.07,22.35,661685,0
03/05/2001,21:00,22.53,22.53,21.93,22.23,924364,0
03/06/2001,21:00,22.44,22.72,22.25,22.30,395558,0
03/07/2001,21:00,22.49,22.83,22.34,22.77,628065,0
03/08/2001,21:00,22.83,23.09,22.70,22.86,535210,0
03/09/2001,21:00,22.45,22.68,22.20,22.33,447527,0
03/12/2001,21:00,21.81,21.96,20.71,21.23,973132,0
03/13/2001,21:00,21.47,21.81,21.18,21.80,1515485,0
03/14/2001,21:00,20.80,21.30,20.54,20.80,2521745,0
03/15/2001,21:00,21.32,21.52,20.91,21.42,635454,0
03/16/2001,21:00,21.53,21.53,20.95,21.07,856509,0
03/19/2001,21:00,21.07,21.42,20.71,21.32,428316,0
03/20/2001,21:00,21.48,21.51,20.66,20.72,1915107,0
03/21/2001,21:00,20.54,20.89,19.98,20.12,1576198,0
03/22/2001,21:00,19.77,19.89,18.98,19.60,2003898,0
