"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,21:00,55.63,55.63,53.50,55.44,938100,0
01/04/2000,21:00,54.00,54.75,52.31,52.63,545500,0
01/05/2000,21:00,51.75,53.06,50.13,51.84,1906000,0
01/06/2000,21:00,51.25,52.09,49.63,50.13,1670000,0
01/07/2000,21:00,49.63,51.00,49.13,51.00,686000,0
01/10/2000,21:00,53.00,53.44,52.06,52.94,1020500,0
01/11/2000,21:00,53.00,53.56,51.19,51.44,1411300,0
01/12/2000,21:00,52.38,52.38,50.63,51.22,1983200,0
01/13/2000,21:00,51.88,52.00,50.88,51.69,1193000,0
01/14/2000,21:00,53.25,53.72,52.78,52.88,1383900,0
01/18/2000,21:00,52.75,53.72,52.61,53.16,550800,0
01/19/2000,21:00,52.94,53.47,52.56,53.25,790400,0
01/20/2000,21:00,54.25,54.44,53.13,53.56,1095600,0
01/21/2000,21:00,53.88,53.88,53.14,53.63,1434700,0
01/24/2000,21:00,53.94,54.34,51.59,51.88,568900,0
01/25/2000,21:00,51.77,53.03,51.06,52.98,2982400,0
01/26/2000,21:00,52.69,52.75,50.94,51.25,839300,0
01/27/2000,21:00,51.88,52.13,49.72,50.75,1238100,0
01/28/2000,21:00,50.13,51.13,48.13,48.94,2457000,0
01/31/2000,21:00,48.94,50.56,47.88,50.56,1312300,0
02/01/2000,21:00,50.52,51.75,50.03,51.63,474900,0
02/02/2000,21:00,51.44,52.66,51.44,52.00,534700,0
02/03/2000,21:00,52.25,53.50,51.77,53.50,1244600,0
02/04/2000,21:00,53.75,54.63,53.63,54.13,691700,0
02/07/2000,21:00,54.25,54.88,53.81,54.75,655300,0
02/08/2000,21:00,55.19,55.75,55.08,55.25,886000,0
02/09/2000,21:00,55.75,56.13,54.13,54.56,1623300,0
02/10/2000,21:00,54.69,55.88,54.50,55.86,1157600,0
02/11/2000,21:00,55.86,55.88,53.88,54.38,1002100,0
02/14/2000,21:00,54.75,54.75,53.75,54.41,351500,0
02/15/2000,21:00,54.33,54.98,52.97,54.56,300600,0
02/16/2000,21:00,54.38,55.00,54.19,54.28,172100,0
02/17/2000,21:00,54.98,55.63,54.19,55.50,231200,0
02/18/2000,21:00,55.56,55.56,53.50,53.63,362700,0
02/22/2000,21:00,53.38,54.00,52.00,53.50,1233900,0
02/23/2000,21:00,53.63,55.50,53.48,55.13,183300,0
02/24/2000,21:00,55.48,56.06,54.50,55.81,319900,0
02/25/2000,21:00,55.88,56.50,54.88,55.28,937200,0
02/28/2000,21:00,54.75,55.63,53.25,54.63,1508300,0
02/29/2000,21:00,55.75,56.00,55.38,55.88,474100,0
03/01/2000,21:00,56.00,57.25,56.00,56.44,963500,0
03/02/2000,21:00,56.88,57.31,56.09,57.00,1097600,0
03/03/2000,21:00,58.00,58.81,57.38,58.58,401600,0
03/06/2000,21:00,58.58,59.41,58.00,58.48,667500,0
03/07/2000,21:00,59.16,59.50,56.88,56.88,1304800,0
03/08/2000,21:00,57.56,58.13,56.50,57.88,1089600,0
03/09/2000,21:00,57.94,59.75,57.38,59.63,285900,0
03/10/2000,21:00,60.00,60.66,59.50,59.75,265000,0
03/13/2000,21:00,58.50,60.25,58.00,58.88,2011200,0
03/14/2000,21:00,59.63,60.13,57.31,57.53,469200,0
03/15/2000,21:00,58.00,58.19,56.25,56.53,619300,0
03/16/2000,21:00,57.25,58.44,55.88,58.19,2405300,0
03/17/2000,21:00,58.75,60.00,58.69,59.88,441000,0
03/20/2000,21:00,60.13,60.63,59.13,59.63,395400,0
03/21/2000,21:00,59.47,61.63,58.64,61.19,649200,0
03/22/2000,21:00,61.56,62.75,61.25,62.25,668500,0
03/23/2000,21:00,62.31,64.00,62.13,63.44,472500,0
03/24/2000,21:00,64.06,65.44,63.00,63.98,1103100,0
03/27/2000,21:00,64.25,64.94,64.06,64.50,783100,0
03/28/2000,21:00,64.50,64.50,62.94,62.94,625600,0
03/29/2000,21:00,63.00,63.06,60.41,61.09,3382700,0
03/30/2000,21:00,60.69,61.84,57.75,59.44,4635800,0
03/31/2000,21:00,60.25,61.19,58.63,60.56,319600,0
04/03/2000,21:00,59.81,59.81,56.31,58.00,2645000,0
04/04/2000,21:00,57.72,58.75,52.28,57.44,2211500,0
04/05/2000,21:00,56.63,59.19,56.13,57.81,587900,0
04/06/2000,21:00,58.75,59.44,57.75,58.56,173000,0
04/07/2000,21:00,59.31,60.63,58.88,60.56,233000,0
04/10/2000,21:00,60.56,60.75,58.38,58.38,665100,0
04/11/2000,21:00,57.48,58.13,56.00,56.94,1479200,0
04/12/2000,21:00,56.81,56.81,53.13,53.25,1338100,0
04/13/2000,21:00,54.00,55.25,52.22,52.23,2182100,0
04/14/2000,21:00,50.75,52.03,47.25,49.50,1908000,0
04/17/2000,21:00,48.75,52.19,48.63,52.19,905400,0
04/18/2000,21:00,52.63,54.69,51.69,54.69,552600,0
04/19/2000,21:00,54.25,55.13,53.25,53.34,355300,0
04/20/2000,21:00,53.50,53.88,52.25,52.88,241400,0
04/24/2000,21:00,50.63,51.38,49.38,51.25,611100,0
04/25/2000,21:00,52.75,54.22,52.27,54.22,357900,0
04/26/2000,21:00,54.38,55.19,53.19,53.19,1462000,0
04/27/2000,21:00,52.38,55.00,52.38,54.84,481700,0
04/28/2000,21:00,55.44,55.69,54.50,55.00,646500,0
05/01/2000,21:00,55.81,56.25,55.25,55.78,195800,0
05/02/2000,21:00,55.31,55.44,53.63,53.63,593700,0
05/03/2000,21:00,52.81,53.31,51.00,52.38,766600,0
05/04/2000,21:00,52.28,53.00,51.69,52.00,178600,0
05/05/2000,21:00,52.56,53.63,52.38,53.42,300000,0
05/08/2000,21:00,52.19,53.38,51.41,51.53,155400,0
05/09/2000,21:00,51.88,51.94,50.00,50.58,1236200,0
05/10/2000,21:00,49.63,49.81,47.75,48.13,1019800,0
05/11/2000,21:00,48.44,49.63,47.81,49.48,431200,0
05/12/2000,21:00,50.50,51.41,50.13,50.13,221500,0
05/15/2000,21:00,50.50,51.19,49.13,51.06,157600,0
05/16/2000,21:00,52.25,52.75,51.28,52.59,408000,0
05/17/2000,21:00,52.06,52.34,51.13,51.84,368600,0
05/18/2000,21:00,51.88,51.88,50.38,50.53,206800,0
05/19/2000,21:00,50.13,50.19,48.28,48.56,777500,0
05/22/2000,21:00,48.13,48.44,46.00,48.34,452600,0
05/23/2000,21:00,48.50,48.50,45.94,46.00,334300,0
05/24/2000,21:00,46.50,48.00,44.69,47.81,713600,0
05/25/2000,21:00,48.69,49.16,46.69,47.03,606100,0
05/26/2000,21:00,47.56,47.72,46.25,47.19,143500,0
05/30/2000,21:00,48.38,50.25,48.13,50.25,821100,0
05/31/2000,21:00,50.00,50.69,49.22,49.28,252800,0
06/01/2000,21:00,50.25,51.50,49.94,51.50,540200,0
06/02/2000,21:00,53.75,54.22,53.13,53.84,858100,0
06/05/2000,21:00,53.50,54.75,53.50,54.00,391900,0
06/06/2000,21:00,54.00,54.75,53.25,53.25,447200,0
06/07/2000,21:00,53.56,54.34,52.78,54.25,238300,0
06/08/2000,21:00,54.69,54.98,53.56,54.00,277100,0
06/09/2000,21:00,54.69,54.69,53.81,54.13,130900,0
06/12/2000,21:00,54.03,54.16,52.81,52.81,369300,0
06/13/2000,21:00,53.19,54.13,52.38,54.13,362200,0
06/14/2000,21:00,54.25,54.56,53.09,53.13,222600,0
06/15/2000,21:00,53.50,54.63,53.25,54.19,124800,0
06/16/2000,21:00,54.38,54.78,53.84,54.38,470500,0
06/19/2000,21:00,54.44,56.31,54.25,56.09,512500,0
06/20/2000,21:00,56.34,56.98,55.84,56.25,202100,0
06/21/2000,21:00,55.75,56.91,55.69,56.75,341000,0
06/22/2000,21:00,56.31,56.53,54.81,55.00,622200,0
06/23/2000,21:00,55.00,55.16,53.56,53.83,113900,0
06/26/2000,21:00,54.31,54.75,53.75,54.19,192000,0
06/27/2000,21:00,54.25,54.78,53.56,53.66,147900,0
06/28/2000,21:00,53.50,54.91,53.50,54.19,159500,0
06/29/2000,21:00,53.50,53.88,52.81,53.13,462900,0
06/30/2000,21:00,53.13,54.19,53.13,54.19,263600,0
07/03/2000,21:00,54.06,54.56,53.88,54.56,39400,0
07/05/2000,21:00,53.69,53.81,52.47,52.81,148900,0
07/06/2000,21:00,52.63,53.69,51.97,53.63,127400,0
07/07/2000,21:00,53.81,54.97,53.81,54.50,191500,0
07/10/2000,21:00,54.25,54.56,53.69,53.91,103400,0
07/11/2000,21:00,53.66,54.41,53.00,53.47,95200,0
07/12/2000,21:00,54.13,55.16,53.88,54.84,347100,0
07/13/2000,21:00,55.22,56.38,55.09,55.91,198100,0
