"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2000,15:30,55.63,55.63,55.00,55.13,201600,0
01/03/2000,16:30,55.31,55.31,53.50,54.19,96800,0
01/03/2000,17:30,54.19,54.56,54.06,54.44,30400,0
01/03/2000,18:30,54.44,54.50,54.03,54.50,12500,0
01/03/2000,19:30,54.38,54.84,54.34,54.41,29200,0
01/03/2000,20:30,54.50,54.91,54.38,54.88,47100,0
01/03/2000,21:00,54.88,55.41,54.75,55.38,517800,0
01/04/2000,15:30,54.00,54.75,54.00,54.69,81900,0
01/04/2000,16:30,54.63,54.75,54.02,54.38,88900,0
01/04/2000,17:30,54.38,54.38,53.84,54.02,51700,0
01/04/2000,18:30,54.02,54.28,53.00,53.13,61400,0
01/04/2000,19:30,53.25,53.75,53.16,53.50,33400,0
01/04/2000,20:30,53.41,53.75,52.75,53.00,137600,0
01/04/2000,21:00,53.00,53.25,52.31,52.39,88900,0
01/05/2000,15:30,51.75,52.00,50.13,51.13,613100,0
01/05/2000,16:30,51.25,52.00,50.75,51.47,549800,0
01/05/2000,17:30,51.50,51.63,51.00,51.25,108100,0
01/05/2000,18:30,51.25,51.63,51.00,51.38,114400,0
01/05/2000,19:30,51.38,52.56,51.31,52.56,89200,0
01/05/2000,20:30,52.56,53.06,52.19,52.66,183900,0
01/05/2000,21:00,52.56,52.81,51.88,52.00,234800,0
01/06/2000,15:30,51.25,52.09,50.63,50.88,513700,0
01/06/2000,16:30,50.75,51.34,50.63,50.78,192100,0
01/06/2000,17:30,51.00,51.19,50.72,51.19,20400,0
01/06/2000,18:30,51.19,51.41,50.94,51.19,128600,0
01/06/2000,19:30,51.16,51.16,50.69,50.94,389700,0
01/06/2000,20:30,50.88,51.00,49.63,50.06,394800,0
01/06/2000,21:00,50.13,50.81,50.13,50.38,30400,0
01/07/2000,15:30,49.63,50.56,49.13,50.50,203800,0
01/07/2000,16:30,50.19,50.59,50.06,50.31,149100,0
01/07/2000,17:30,50.31,50.38,49.81,50.00,85500,0
01/07/2000,18:30,49.88,50.06,49.56,49.91,49900,0
01/07/2000,19:30,50.19,50.19,49.77,50.16,22000,0
01/07/2000,20:30,50.16,50.59,50.02,50.39,104300,0
01/07/2000,21:00,50.56,51.00,50.38,51.00,63300,0
01/10/2000,15:30,53.00,53.13,52.48,52.50,233000,0
01/10/2000,16:30,52.66,52.73,52.06,52.38,136600,0
01/10/2000,17:30,52.31,52.81,52.28,52.75,104100,0
01/10/2000,18:30,52.78,52.94,52.50,52.69,91700,0
01/10/2000,19:30,52.72,53.00,52.59,53.00,10900,0
01/10/2000,20:30,52.91,53.31,52.81,53.27,49600,0
01/10/2000,21:00,53.25,53.44,52.75,52.94,378700,0
01/11/2000,15:30,53.00,53.47,52.63,52.69,419600,0
01/11/2000,16:30,52.69,53.22,52.69,53.11,25900,0
01/11/2000,17:30,53.13,53.13,52.59,52.94,27400,0
01/11/2000,18:30,52.94,52.94,52.20,52.47,32800,0
01/11/2000,19:30,52.44,52.81,52.31,52.63,18500,0
01/11/2000,20:30,52.50,52.59,51.81,51.91,627900,0
01/11/2000,21:00,51.81,51.84,51.19,51.63,233100,0
01/12/2000,15:30,52.38,52.38,50.63,50.63,687600,0
01/12/2000,16:30,50.63,51.69,50.63,51.63,473500,0
01/12/2000,17:30,51.38,52.00,51.31,51.50,77800,0
01/12/2000,18:30,51.50,51.81,51.31,51.75,224800,0
01/12/2000,19:30,51.88,51.88,51.00,51.44,417200,0
01/12/2000,20:30,51.31,51.56,50.84,51.09,18800,0
01/12/2000,21:00,51.13,51.56,50.77,50.97,78100,0
01/13/2000,15:30,51.88,51.88,50.94,51.13,297500,0
01/13/2000,16:30,51.25,51.56,51.13,51.13,247200,0
01/13/2000,17:30,51.03,51.25,50.91,51.11,22500,0
01/13/2000,18:30,51.13,51.19,50.88,51.16,8700,0
01/13/2000,19:30,51.09,51.50,50.94,51.50,18000,0
01/13/2000,20:30,51.59,52.00,51.16,51.63,428200,0
01/13/2000,21:00,51.59,52.00,51.59,52.00,47600,0
01/14/2000,15:30,53.25,53.50,52.94,53.50,157500,0
01/14/2000,16:30,53.50,53.72,53.31,53.41,33000,0
01/14/2000,17:30,53.41,53.56,52.91,53.22,260800,0
01/14/2000,18:30,53.22,53.50,53.03,53.50,241200,0
01/14/2000,19:30,53.50,53.50,53.22,53.25,116600,0
01/14/2000,20:30,53.47,53.50,52.78,53.22,347100,0
01/14/2000,21:00,53.06,53.47,53.00,53.00,30400,0
01/18/2000,15:30,52.75,53.25,52.61,53.19,66000,0
01/18/2000,16:30,53.25,53.50,52.97,53.22,39600,0
01/18/2000,17:30,53.22,53.34,53.00,53.28,260700,0
01/18/2000,18:30,53.25,53.38,53.03,53.31,14700,0
01/18/2000,19:30,53.34,53.44,53.03,53.31,29700,0
01/18/2000,20:30,53.34,53.72,53.31,53.31,111500,0
01/18/2000,21:00,53.50,53.50,53.13,53.16,25500,0
01/19/2000,15:30,52.94,53.13,52.56,53.03,62800,0
01/19/2000,16:30,53.09,53.34,52.94,53.28,269400,0
01/19/2000,17:30,53.13,53.31,52.88,53.31,69700,0
01/19/2000,18:30,53.13,53.38,53.13,53.31,23200,0
01/19/2000,19:30,53.23,53.47,53.09,53.38,17900,0
01/19/2000,20:30,53.28,53.44,52.81,53.00,304500,0
01/19/2000,21:00,52.94,53.25,52.94,53.25,17300,0
01/20/2000,15:30,54.25,54.38,54.00,54.13,162100,0
01/20/2000,16:30,54.31,54.44,54.06,54.23,51100,0
01/20/2000,17:30,54.23,54.23,53.50,53.69,30000,0
01/20/2000,18:30,53.63,53.63,53.13,53.59,619900,0
01/20/2000,19:30,53.63,53.91,53.38,53.78,119200,0
01/20/2000,20:30,53.63,53.91,53.53,53.78,49000,0
01/20/2000,21:00,53.59,53.75,53.47,53.59,19000,0
01/21/2000,15:30,53.88,53.88,53.14,53.25,81700,0
01/21/2000,16:30,53.50,53.80,53.16,53.75,242500,0
01/21/2000,17:30,53.72,53.72,53.16,53.69,536300,0
01/21/2000,18:30,53.72,53.84,53.53,53.53,201600,0
01/21/2000,19:30,53.78,53.86,53.59,53.63,13800,0
01/21/2000,20:30,53.50,53.72,53.41,53.53,216800,0
01/21/2000,21:00,53.56,53.69,53.31,53.44,136800,0
01/24/2000,15:30,53.94,54.34,53.94,53.97,57000,0
01/24/2000,16:30,53.97,54.09,53.53,53.72,58600,0
01/24/2000,17:30,53.53,53.97,53.50,53.78,37500,0
01/24/2000,18:30,53.75,53.94,53.53,53.75,19000,0
01/24/2000,19:30,53.81,53.81,52.94,53.09,61800,0
01/24/2000,20:30,53.00,53.06,51.94,51.94,75600,0
01/24/2000,21:00,51.94,52.13,51.59,52.13,258300,0
01/25/2000,15:30,51.77,52.47,51.25,52.25,269400,0
01/25/2000,16:30,52.25,52.50,51.64,52.31,41700,0
01/25/2000,17:30,52.31,52.34,51.81,51.81,44600,0
01/25/2000,18:30,51.94,52.00,51.56,51.88,856100,0
01/25/2000,19:30,51.97,51.97,51.06,51.72,1228800,0
01/25/2000,20:30,51.75,52.75,51.75,52.75,496900,0
01/25/2000,21:00,52.66,53.03,52.63,53.00,15000,0
01/26/2000,15:30,52.69,52.75,52.20,52.44,129900,0
01/26/2000,16:30,52.19,52.25,51.69,51.91,39500,0
01/26/2000,17:30,51.88,52.06,51.78,51.92,24200,0
01/26/2000,18:30,51.81,52.06,51.75,52.06,7200,0
01/26/2000,19:30,51.97,52.25,51.97,52.25,142300,0
01/26/2000,20:30,52.25,52.25,51.50,51.63,24900,0
01/26/2000,21:00,51.56,51.66,51.02,51.38,253200,0
01/27/2000,15:30,51.88,52.06,51.63,51.63,50300,0
01/27/2000,16:30,51.64,52.13,51.63,51.63,19800,0
01/27/2000,17:30,51.63,51.69,51.25,51.25,129900,0
01/27/2000,18:30,51.25,51.31,50.69,51.19,319500,0
01/27/2000,19:30,51.25,51.25,50.63,51.00,45400,0
01/27/2000,20:30,50.63,50.88,49.72,50.03,605000,0
01/27/2000,21:00,50.25,50.75,50.25,50.75,48100,0
01/28/2000,15:30,50.13,51.13,50.00,50.81,1175900,0
01/28/2000,16:30,51.00,51.00,50.19,50.31,78600,0
01/28/2000,17:30,50.31,50.50,49.38,49.81,594400,0
01/28/2000,18:30,49.63,49.88,49.03,49.63,91600,0
01/28/2000,19:30,49.50,49.88,49.25,49.63,113100,0
01/28/2000,20:30,49.63,49.81,49.03,49.19,64700,0
01/28/2000,21:00,49.03,49.16,48.31,48.94,202200,0
01/31/2000,15:30,48.94,49.34,48.56,48.94,808700,0
01/31/2000,16:30,49.00,49.06,48.31,48.34,111600,0
01/31/2000,17:30,48.25,48.63,47.88,48.44,84600,0
01/31/2000,18:30,48.50,49.00,48.28,48.88,159700,0
01/31/2000,19:30,48.88,48.91,48.38,48.84,22300,0
01/31/2000,20:30,48.81,50.00,48.78,50.00,27700,0
01/31/2000,21:00,50.03,50.53,49.88,50.53,93700,0
02/01/2000,15:30,50.52,50.78,50.03,50.44,78200,0
02/01/2000,16:30,50.78,51.06,50.52,51.06,63300,0
02/01/2000,17:30,51.00,51.09,50.69,50.94,66000,0
02/01/2000,18:30,51.16,51.31,51.00,51.31,4900,0
02/01/2000,19:30,51.06,51.19,50.88,51.00,19000,0
02/01/2000,20:30,51.00,51.44,50.94,51.41,149400,0
02/01/2000,21:00,51.44,51.75,51.41,51.69,87900,0
02/02/2000,15:30,51.44,52.00,51.44,51.75,94900,0
02/02/2000,16:30,51.84,52.13,51.66,52.02,46600,0
02/02/2000,17:30,52.19,52.34,51.88,52.06,185000,0
02/02/2000,18:30,52.06,52.16,51.69,52.00,123500,0
02/02/2000,19:30,52.00,52.38,51.50,51.50,37000,0
02/02/2000,20:30,51.88,52.66,51.81,52.50,19100,0
02/02/2000,21:00,52.38,52.50,51.75,52.00,16100,0
02/03/2000,15:30,52.25,52.88,52.25,52.56,278800,0
02/03/2000,16:30,52.69,53.00,52.50,52.94,54300,0
02/03/2000,17:30,52.77,52.88,52.00,52.00,494600,0
02/03/2000,18:30,51.81,52.88,51.77,52.75,329500,0
02/03/2000,19:30,52.86,53.00,52.63,52.81,17800,0
02/03/2000,20:30,52.94,53.38,52.88,53.25,37300,0
02/03/2000,21:00,53.06,53.48,53.00,53.48,25900,0
02/04/2000,15:30,53.75,54.28,53.63,54.16,71100,0
02/04/2000,16:30,53.94,54.31,53.81,54.13,53300,0
02/04/2000,17:30,54.13,54.44,54.00,54.19,69500,0
02/04/2000,18:30,54.25,54.50,54.22,54.44,18400,0
02/04/2000,19:30,54.44,54.50,54.13,54.42,36200,0
02/04/2000,20:30,54.31,54.63,53.88,53.88,370100,0
02/04/2000,21:00,53.88,54.19,53.75,54.06,73000,0
02/07/2000,15:30,54.25,54.38,53.81,54.38,38400,0
02/07/2000,16:30,54.31,54.41,54.00,54.34,34000,0
02/07/2000,17:30,54.25,54.25,53.84,54.09,18600,0
02/07/2000,18:30,54.09,54.16,53.84,53.88,8400,0
02/07/2000,19:30,54.13,54.19,53.88,53.91,20800,0
02/07/2000,20:30,53.94,54.25,53.88,54.06,260400,0
02/07/2000,21:00,54.34,54.88,54.34,54.88,274600,0
02/08/2000,15:30,55.19,55.63,55.16,55.50,234600,0
02/08/2000,16:30,55.56,55.63,55.08,55.38,54600,0
02/08/2000,17:30,55.41,55.44,55.09,55.36,29600,0
02/08/2000,18:30,55.36,55.44,55.19,55.42,30200,0
02/08/2000,19:30,55.38,55.59,55.22,55.38,65000,0
02/08/2000,20:30,55.50,55.59,55.31,55.59,47900,0
02/08/2000,21:00,55.44,55.69,55.31,55.63,203100,0
02/09/2000,15:30,55.75,56.13,55.63,56.00,272400,0
02/09/2000,16:30,56.00,56.13,55.75,55.75,29400,0
02/09/2000,17:30,55.88,55.88,54.88,55.00,233700,0
02/09/2000,18:30,55.31,55.50,55.13,55.19,237100,0
02/09/2000,19:30,55.31,55.50,55.00,55.38,28300,0
02/09/2000,20:30,55.48,55.48,54.88,55.06,18900,0
02/09/2000,21:00,55.00,55.13,54.56,54.66,494400,0
02/10/2000,15:30,54.69,55.22,54.50,54.88,784800,0
