,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label,previous_day
0,2003-04-11,11.12,11.12,11.12,11.12,900,11.12,11.12,11.08,11.08,108900.0,EEM,HIGHS,NONE
1,2003-04-14,11.14,11.17,11.14,11.17,3600,11.14,11.22,11.14,11.22,93600.0,EEM,LOWS,HIGHS
2,2003-04-15,11.29,11.33,11.29,11.33,63900,11.29,11.39,11.29,11.36,421200.0,EEM,LOWS,LOWS
3,2003-04-16,11.48,11.48,11.48,11.48,2700,11.48,11.53,11.48,11.49,9000.0,EEM,LOWS,LOWS
4,2003-04-21,11.58,11.59,11.58,11.58,36900,11.58,11.58,11.56,11.56,72900.0,EEM,NONE,LOWS
5,2003-04-22,11.56,11.56,11.53,11.53,10800,11.56,11.6,11.53,11.6,19800.0,EEM,LOWS,NONE
6,2003-04-23,11.61,11.61,11.57,11.57,4500,11.61,11.66,11.57,11.66,31500.0,EEM,LOWS,LOWS
7,2003-04-24,11.57,11.57,11.43,11.45,8100,11.57,11.57,11.4,11.43,90000.0,EEM,HIGHS,LOWS
8,2003-04-25,11.27,11.27,11.27,11.27,900,11.27,11.27,11.22,11.24,102600.0,EEM,HIGHS,HIGHS
9,2003-04-28,11.27,11.33,11.27,11.33,83700,11.27,11.42,11.27,11.42,91800.0,EEM,LOWS,HIGHS
10,2003-04-29,11.6,11.6,11.6,11.6,3600,11.6,11.76,11.6,11.75,76500.0,EEM,LOWS,LOWS
11,2003-04-30,11.72,11.72,11.69,11.72,51300,11.72,11.73,11.69,11.72,228600.0,EEM,LOWS,LOWS
12,2003-05-01,11.68,11.69,11.68,11.68,46800,11.68,11.73,11.67,11.67,234900.0,EEM,NONE,LOWS
13,2003-05-02,11.71,11.71,11.71,11.71,5400,11.71,11.85,11.71,11.85,67500.0,EEM,LOWS,NONE
14,2003-05-05,11.89,11.97,11.89,11.97,18900,11.89,11.98,11.89,11.98,47700.0,EEM,LOWS,LOWS
15,2003-05-06,11.98,11.98,11.98,11.98,25200,11.98,12.05,11.97,12.04,109800.0,EEM,NONE,LOWS
16,2003-05-07,11.99,11.99,11.99,11.99,17100,11.99,12.02,11.98,12.02,313200.0,EEM,NONE,NONE
17,2003-05-08,11.94,11.94,11.9,11.9,74700,11.94,11.95,11.9,11.91,417600.0,EEM,LOWS,NONE
18,2003-05-09,11.93,11.99,11.93,11.99,5400,11.93,12.06,11.93,12.05,63000.0,EEM,LOWS,LOWS
