,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2006-05-22,36.52,36.58,35.87,35.87,5400,36.52,37.29,35.87,37.23,197100.0,GDX,LOWS
1,2006-05-23,37.75,38.98,37.75,38.97,226700,37.75,39.22,37.75,37.96,620900.0,GDX,LOWS
2,2006-05-24,37.13,37.57,37.0,37.19,179000,37.13,37.57,35.87,36.52,638600.0,GDX,HIGHS
3,2006-05-25,37.18,37.57,36.98,37.22,120300,37.18,38.32,36.98,38.32,367000.0,GDX,LOWS
4,2006-05-26,38.74,38.74,37.77,38.04,78800,38.74,38.74,37.77,38.55,269400.0,GDX,BOTH
5,2006-05-30,39.5,39.72,39.06,39.66,170600,39.5,39.72,38.11,38.17,559100.0,GDX,HIGHS
6,2006-05-31,38.9,39.13,38.12,38.14,109100,38.9,39.13,38.12,38.85,350700.0,GDX,BOTH
7,2006-06-01,37.2,37.56,37.17,37.4,148500,37.2,38.58,37.17,38.53,641300.0,GDX,LOWS
8,2006-06-02,39.31,39.31,38.8,39.09,59100,39.31,39.39,38.8,39.13,277300.0,GDX,LOWS
9,2006-06-05,40.27,40.27,39.46,39.57,108800,40.27,40.27,38.1,38.13,436000.0,GDX,HIGHS
10,2006-06-06,38.03,38.03,37.21,37.63,167400,38.03,38.03,36.72,37.01,663600.0,GDX,HIGHS
11,2006-06-07,36.31,36.51,35.82,36.44,178000,36.31,37.55,35.82,36.14,484100.0,GDX,LOWS
12,2006-06-08,35.27,35.3,34.8,34.81,169200,35.27,35.38,33.62,35.27,812800.0,GDX,NONE
13,2006-06-09,35.75,36.1,35.61,36.1,193500,35.75,36.19,34.86,35.07,542200.0,GDX,NONE
14,2006-06-12,35.48,35.63,34.73,35.03,183100,35.48,35.63,33.76,33.78,584700.0,GDX,HIGHS
15,2006-06-13,32.66,33.0,32.36,32.63,323300,32.66,33.15,31.82,32.2,1580900.0,GDX,NONE
16,2006-06-14,32.85,33.5,32.85,33.18,231200,32.85,33.5,32.25,33.03,646800.0,GDX,HIGHS
17,2006-06-15,34.4,34.4,34.0,34.3,217000,34.4,35.05,34.0,34.94,882200.0,GDX,LOWS
18,2006-06-16,35.0,35.0,34.39,34.52,116400,35.0,35.0,34.3,34.57,602300.0,GDX,HIGHS
19,2006-06-19,34.17,34.4,33.8,33.87,116700,34.17,34.47,33.57,33.6,366100.0,GDX,NONE
20,2006-06-20,33.91,33.98,33.6,33.76,81400,33.91,34.73,33.6,34.34,388500.0,GDX,LOWS
21,2006-06-21,34.6,35.25,34.6,35.17,73700,34.6,36.04,34.6,35.86,551000.0,GDX,LOWS
22,2006-06-22,36.0,36.1,35.2,35.21,193300,36.0,36.21,35.17,35.64,590000.0,GDX,NONE
23,2006-06-23,35.17,35.94,35.15,35.94,87900,35.17,36.5,35.15,36.28,467800.0,GDX,LOWS
24,2006-06-26,36.62,36.8,36.15,36.22,67700,36.62,36.8,36.15,36.63,301500.0,GDX,BOTH
25,2006-06-27,36.97,37.0,36.7,36.97,98700,36.97,37.05,35.48,35.48,470200.0,GDX,NONE
26,2006-06-28,35.7,35.93,35.65,35.81,68500,35.7,35.93,35.0,35.31,415200.0,GDX,HIGHS
27,2006-06-29,35.95,36.32,35.94,36.31,65800,35.95,37.96,35.94,37.96,588500.0,GDX,LOWS
28,2006-06-30,38.7,39.06,38.32,38.41,472100,38.7,39.06,38.32,38.7,1069400.0,GDX,BOTH
29,2006-07-03,39.4,39.73,39.32,39.73,236000,39.4,40.23,39.32,40.23,561200.0,GDX,LOWS
30,2006-07-05,40.1,40.36,38.99,39.23,276100,40.1,40.46,38.85,39.37,685600.0,GDX,NONE
31,2006-07-06,39.5,39.78,39.04,39.73,87900,39.5,39.99,39.04,39.73,411100.0,GDX,LOWS
32,2006-07-07,39.68,39.7,39.19,39.54,138600,39.68,39.88,38.95,39.03,500500.0,GDX,NONE
33,2006-07-10,38.39,38.71,38.25,38.67,206900,38.39,39.13,38.25,38.67,401400.0,GDX,LOWS
34,2006-07-11,39.03,39.23,38.8,39.01,42400,39.03,39.76,38.79,39.76,512700.0,GDX,NONE
35,2006-07-12,40.11,40.28,39.91,40.2,160300,40.11,40.46,39.37,39.49,519500.0,GDX,NONE
36,2006-07-13,39.48,39.5,38.6,38.88,119000,39.48,39.5,38.28,38.33,647900.0,GDX,HIGHS
37,2006-07-14,38.9,39.13,38.5,38.79,150600,38.9,39.13,38.34,38.97,459500.0,GDX,HIGHS
38,2006-07-17,38.32,38.67,38.14,38.14,166100,38.32,38.67,37.4,37.4,777700.0,GDX,HIGHS
39,2006-07-18,37.89,37.96,37.25,37.25,154300,37.89,37.96,36.43,37.0,800200.0,GDX,HIGHS
40,2006-07-19,36.9,38.19,36.9,38.06,241600,36.9,38.51,36.9,38.44,517600.0,GDX,LOWS
41,2006-07-20,38.21,38.33,37.89,38.16,60700,38.21,38.33,36.83,36.83,415200.0,GDX,HIGHS
42,2006-07-21,37.08,37.3,36.49,36.53,193000,37.08,37.3,35.81,35.81,646200.0,GDX,HIGHS
43,2006-07-24,35.5,35.74,35.19,35.58,627600,35.5,36.82,35.19,36.69,1086500.0,GDX,LOWS
44,2006-07-25,36.83,37.23,36.49,37.01,148900,35.5,36.82,35.19,36.69,1088600.0,GDX,NONE
45,2006-07-26,37.49,37.55,37.18,37.34,63100,36.83,37.79,36.42,37.69,949400.0,GDX,NONE
