,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2012-10-22,49.23,49.32,49.19,49.22,2465,49.23,49.32,48.93,49.11,28428,IEMG,HIGHS
1,2012-10-23,48.27,48.48,48.17,48.2,9136,48.27,48.48,47.98,48.14,28161,IEMG,HIGHS
2,2012-10-24,48.56,48.62,48.35,48.37,17846,48.56,48.62,48.22,48.22,149458,IEMG,HIGHS
3,2012-10-25,48.76,48.84,48.68,48.79,2644,48.76,48.84,48.41,48.54,9769,IEMG,HIGHS
4,2012-10-26,48.24,48.36,48.18,48.2,460631,48.24,48.36,48.04,48.19,618619,IEMG,HIGHS
5,2012-10-31,48.61,48.61,48.2,48.22,6788,48.61,48.61,48.04,48.23,17446,IEMG,HIGHS
6,2012-11-01,48.59,48.83,48.59,48.83,10905,48.59,49.0,48.59,49.0,217104,IEMG,LOWS
7,2012-11-02,49.19,49.19,48.92,48.92,7470,49.19,49.19,48.56,48.56,112532,IEMG,HIGHS
8,2012-11-05,48.59,48.68,48.55,48.66,7343,48.59,48.95,48.55,48.93,45509,IEMG,LOWS
9,2012-11-06,49.17,49.17,48.99,49.0,1509,49.17,49.39,48.99,49.27,24702,IEMG,LOWS
10,2012-11-07,49.0,49.0,48.66,48.66,2404,49.0,49.0,48.31,48.55,121127,IEMG,HIGHS
11,2012-11-08,48.68,48.79,48.5,48.51,73922,48.68,48.79,48.05,48.06,101708,IEMG,HIGHS
12,2012-11-09,48.05,48.33,48.05,48.31,7950,48.05,48.57,48.05,48.26,28095,IEMG,LOWS
13,2012-11-12,48.39,48.47,48.29,48.29,3730,48.39,48.47,48.26,48.32,9373,IEMG,HIGHS
14,2012-11-13,47.76,47.87,47.74,47.79,5169,47.76,48.04,47.74,47.83,87258,IEMG,LOWS
15,2012-11-14,47.98,47.98,47.79,47.79,2068,47.98,47.98,47.23,47.23,36066,IEMG,HIGHS
16,2012-11-15,47.31,47.48,47.23,47.39,3130,47.31,47.48,47.23,47.4,53359,IEMG,BOTH
17,2012-11-16,47.4,47.4,47.09,47.21,20053,47.4,47.51,47.0,47.51,92425,IEMG,NONE
18,2012-11-19,47.94,48.05,47.94,48.03,2060,47.94,48.23,47.94,48.23,6928,IEMG,LOWS
19,2012-11-20,47.93,47.96,47.88,47.96,3350,47.93,48.11,47.85,48.1,24844,IEMG,NONE
20,2012-11-21,47.89,47.89,47.8,47.8,1055,47.89,48.03,47.8,47.99,10966,IEMG,LOWS
21,2012-11-23,48.65,48.76,48.54,48.76,18455,48.65,48.78,48.54,48.78,83078,IEMG,LOWS
22,2012-11-26,48.6,48.65,48.6,48.64,3100,48.6,48.75,48.56,48.75,84781,IEMG,NONE
23,2012-11-28,48.2,48.2,48.0,48.14,6290,48.2,48.73,48.0,48.71,119150,IEMG,LOWS
24,2012-11-29,48.99,49.03,48.87,48.87,9667,48.99,49.13,48.86,49.08,72659,IEMG,NONE
25,2012-11-30,49.06,49.06,49.06,49.06,840,49.06,49.1,49.0,49.0,6925,IEMG,NONE
26,2012-12-03,49.29,49.29,49.13,49.2,7199,49.29,49.29,49.05,49.07,26858,IEMG,HIGHS
27,2012-12-04,49.3,49.39,49.3,49.39,4370,49.3,49.39,49.18,49.21,40491,IEMG,HIGHS
28,2012-12-05,49.67,49.73,49.65,49.65,4491,49.67,49.89,49.55,49.67,24945,IEMG,NONE
29,2012-12-06,49.85,49.85,49.73,49.73,2740,49.85,49.98,49.73,49.96,17481,IEMG,LOWS
30,2012-12-07,50.27,50.27,50.03,50.03,42340,50.27,50.27,49.92,50.16,52694,IEMG,HIGHS
31,2012-12-10,50.11,50.17,50.11,50.17,1418,50.11,50.46,50.11,50.45,12025,IEMG,LOWS
32,2012-12-11,50.44,50.6,50.43,50.56,6320,50.44,50.67,50.43,50.6,20263,IEMG,LOWS
33,2012-12-12,50.77,50.77,50.77,50.77,100,50.77,51.06,50.63,50.71,133116,IEMG,NONE
34,2012-12-13,50.71,50.83,50.65,50.83,47620,50.71,50.83,50.42,50.55,98979,IEMG,HIGHS
35,2012-12-14,50.72,50.72,50.61,50.61,1381,50.72,50.85,50.61,50.77,64532,IEMG,LOWS
36,2012-12-17,50.78,50.82,50.72,50.75,2895,50.78,50.91,50.72,50.82,55257,IEMG,LOWS
37,2012-12-18,50.74,50.74,50.54,50.68,5593,50.74,51.23,50.54,51.19,44453,IEMG,LOWS
38,2012-12-19,51.34,51.34,51.13,51.19,40180,51.34,51.43,51.13,51.19,703188,IEMG,LOWS
39,2012-12-20,51.27,51.27,51.03,51.22,52452,51.27,51.46,51.03,51.45,352845,IEMG,LOWS
40,2012-12-21,50.74,50.87,50.68,50.83,36653,50.74,50.89,50.56,50.68,219722,IEMG,NONE
41,2012-12-24,50.88,50.88,50.57,50.68,8403,50.88,50.88,50.57,50.66,32537,IEMG,BOTH
42,2012-12-26,51.16,51.21,51.11,51.17,3230,51.16,51.21,51.01,51.05,235929,IEMG,HIGHS
43,2012-12-27,51.05,51.33,51.0,51.07,27340,51.05,51.37,50.91,51.3,81243,IEMG,NONE
44,2012-12-28,51.33,51.39,51.25,51.37,33920,51.33,51.68,51.25,51.4,157021,IEMG,LOWS
45,2012-12-31,51.68,51.76,51.53,51.7,6714,51.68,52.32,51.53,52.2,106869,IEMG,LOWS
46,2013-01-02,52.91,53.13,52.87,53.01,25904,52.91,53.26,52.87,53.26,91756,IEMG,LOWS
47,2013-01-03,52.85,53.02,52.79,53.0,127576,52.85,53.27,52.79,52.92,311856,IEMG,LOWS
48,2013-01-04,52.8,52.82,52.65,52.76,12180,52.8,52.99,52.6,52.95,48654,IEMG,NONE
49,2013-01-07,52.72,52.72,52.51,52.64,10095,52.72,52.72,52.49,52.65,413201,IEMG,HIGHS
50,2013-01-08,52.39,52.44,52.12,52.17,6709,52.39,52.44,52.07,52.28,150042,IEMG,HIGHS
51,2013-01-09,52.57,52.57,52.38,52.48,53211,52.57,52.57,52.38,52.54,201182,IEMG,BOTH
52,2013-01-10,52.75,52.76,52.68,52.74,9245,52.75,53.5,52.59,52.92,263701,IEMG,NONE
53,2013-01-11,52.6,52.6,52.37,52.37,42119,52.6,52.6,52.36,52.49,116981,IEMG,HIGHS
54,2013-01-14,52.86,52.86,52.48,52.48,20637,52.86,52.86,52.48,52.7,968034,IEMG,BOTH
55,2013-01-15,52.5,52.5,52.31,52.33,13689,52.5,52.5,52.29,52.41,210300,IEMG,HIGHS
56,2013-01-16,52.22,52.25,52.06,52.25,15282,52.22,52.45,52.06,52.4,303637,IEMG,LOWS
57,2013-01-17,52.65,52.71,52.54,52.68,13770,52.65,52.88,52.54,52.76,110438,IEMG,LOWS
58,2013-01-18,52.75,52.75,52.6,52.68,30535,52.75,52.84,52.57,52.77,372668,IEMG,NONE
59,2013-01-22,52.75,52.76,52.53,52.59,52164,52.75,52.75,52.53,52.7,131565,IEMG,LOWS
