,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label,previous_day
0,2000-06-28,17.3,17.3,17.3,17.3,3000,17.3,17.76,17.3,17.76,456000,IJR,LOWS,NONE
1,2000-06-29,17.63,17.63,17.63,17.63,12000,17.63,17.71,17.53,17.58,112200,IJR,NONE,LOWS
2,2000-06-30,17.58,17.58,17.58,17.58,600,17.58,17.61,17.48,17.55,460800,IJR,NONE,NONE
3,2000-07-03,17.6,17.6,17.56,17.56,353400,17.6,17.73,17.56,17.73,356400,IJR,LOWS,NONE
4,2000-07-05,17.68,17.68,17.68,17.68,2400,17.68,17.68,17.6,17.64,3600,IJR,HIGHS,LOWS
5,2000-07-06,17.54,17.54,17.54,17.54,6600,17.54,17.72,17.38,17.72,416400,IJR,NONE,HIGHS
6,2000-07-07,17.8,17.85,17.8,17.85,16200,17.8,18.0,17.8,17.98,54000,IJR,LOWS,NONE
7,2000-07-10,18.0,18.04,17.97,18.04,7200,18.0,18.16,17.97,18.08,33000,IJR,LOWS,LOWS
8,2000-07-11,18.11,18.16,18.11,18.16,3000,18.11,18.2,18.05,18.08,374400,IJR,NONE,LOWS
9,2000-07-12,18.24,18.24,18.24,18.24,4800,18.24,18.32,18.24,18.29,18600,IJR,LOWS,NONE
10,2000-07-13,18.4,18.4,18.33,18.33,8400,18.4,18.4,18.28,18.32,205200,IJR,HIGHS,LOWS
11,2000-07-14,18.39,18.39,18.36,18.36,4800,18.39,18.39,18.28,18.32,12600,IJR,HIGHS,HIGHS
12,2000-07-17,18.28,18.28,18.28,18.28,2400,18.28,18.44,18.28,18.44,12600,IJR,LOWS,HIGHS
13,2000-07-18,18.34,18.38,18.26,18.26,13800,18.34,18.38,18.21,18.3,33600,IJR,HIGHS,LOWS
14,2000-07-19,18.2,18.2,18.04,18.07,7200,18.2,18.2,17.92,17.92,316200,IJR,HIGHS,HIGHS
15,2000-07-20,18.0,18.07,18.0,18.07,49200,18.0,18.13,18.0,18.0,72000,IJR,LOWS,HIGHS
16,2000-07-21,18.08,18.08,17.9,17.9,12000,18.08,18.08,17.67,17.67,21000,IJR,HIGHS,LOWS
