,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label,previous_day
0,2000-05-19,142.22,142.22,141.25,141.25,155900,142.22,142.22,139.81,140.25,775500.0,IVV,HIGHS,NONE
1,2000-05-22,140.16,140.16,138.44,138.44,635000,140.16,140.16,136.38,139.38,1850600.0,IVV,HIGHS,HIGHS
2,2000-05-23,139.78,139.78,138.44,138.44,42000,139.78,139.78,137.25,137.25,373900.0,IVV,HIGHS,HIGHS
3,2000-05-24,137.31,138.56,137.13,138.38,78200,137.31,139.63,136.22,139.31,400300.0,IVV,NONE,HIGHS
4,2000-05-25,139.59,140.44,139.59,140.06,6200,139.59,140.5,137.44,138.03,69600.0,IVV,NONE,NONE
5,2000-05-26,138.05,138.06,136.81,136.94,3900,138.05,138.31,136.56,137.41,237000.0,IVV,NONE,NONE
6,2000-05-30,138.84,139.22,138.84,138.97,2600,138.84,142.0,138.84,141.94,118100.0,IVV,LOWS,NONE
7,2000-05-31,141.44,143.0,141.44,143.0,6800,141.44,143.19,141.44,142.34,216900.0,IVV,LOWS,LOWS
8,2000-06-01,143.47,143.47,143.47,143.47,3000,143.47,144.63,143.19,144.63,128700.0,IVV,NONE,LOWS
9,2000-06-02,147.88,148.34,147.69,147.78,12400,147.88,148.34,147.03,147.5,108400.0,IVV,HIGHS,NONE
10,2000-06-05,146.56,147.06,146.56,147.06,2900,146.56,147.22,146.25,146.53,192100.0,IVV,NONE,HIGHS
11,2000-06-06,146.0,146.28,146.0,146.16,50600,146.0,146.75,145.25,145.78,209300.0,IVV,NONE,NONE
12,2000-06-07,145.78,145.97,145.22,145.22,2200,145.78,147.06,145.22,146.75,85400.0,IVV,LOWS,NONE
13,2000-06-08,147.38,147.38,146.16,146.16,201300,147.38,147.38,145.5,146.22,248400.0,IVV,HIGHS,LOWS
14,2000-06-09,147.08,147.08,146.66,146.66,300,147.08,147.08,145.44,145.69,20200.0,IVV,HIGHS,HIGHS
15,2000-06-12,146.19,146.19,146.06,146.06,5200,146.19,146.19,144.42,144.42,17600.0,IVV,HIGHS,HIGHS
16,2000-06-13,144.56,144.58,144.06,144.41,2000,144.56,146.81,144.06,146.31,40300.0,IVV,LOWS,HIGHS
17,2000-06-14,147.31,147.81,147.22,147.81,1100,147.31,147.94,146.69,147.22,353900.0,IVV,NONE,LOWS
18,2000-06-15,147.25,147.31,147.0,147.0,23000,147.25,147.81,146.17,147.22,338500.0,IVV,NONE,NONE
19,2000-06-16,148.19,148.19,146.69,146.88,564300,148.19,148.19,146.03,146.63,855900.0,IVV,HIGHS,NONE
20,2000-06-19,146.13,146.47,146.06,146.47,2700,146.13,148.59,146.06,148.08,160000.0,IVV,LOWS,HIGHS
21,2000-06-21,146.44,147.06,146.44,146.97,30800,146.44,147.72,146.44,147.42,137500.0,IVV,LOWS,LOWS
22,2000-06-22,147.0,147.0,146.25,146.25,100200,147.0,147.0,144.56,145.0,182900.0,IVV,HIGHS,LOWS
23,2000-06-23,145.06,145.44,144.44,144.44,4100,145.06,145.44,143.56,143.95,238200.0,IVV,HIGHS,HIGHS
24,2000-06-26,144.69,145.0,144.38,145.0,12500,144.59,145.63,144.38,145.63,26000.0,IVV,LOWS,HIGHS
