,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label,previous_day
0,2000-05-19,75.41,75.41,74.67,74.67,6000,75.41,75.41,74.31,74.31,8100.0,IWB,HIGHS,NONE
1,2000-05-22,74.61,74.61,73.58,73.58,220100,74.61,74.61,72.08,74.09,751300.0,IWB,HIGHS,HIGHS
2,2000-05-23,74.13,74.13,73.64,73.64,200300,74.13,74.13,72.84,72.84,271200.0,IWB,HIGHS,HIGHS
3,2000-05-24,72.89,72.89,72.44,72.44,16900,72.89,73.47,72.0,73.47,17900.0,IWB,NONE,HIGHS
4,2000-05-26,73.13,73.13,73.13,73.13,100,73.13,73.13,72.48,72.48,1800.0,IWB,HIGHS,NONE
5,2000-05-30,73.58,73.58,73.58,73.58,600,73.58,73.95,73.58,73.95,600.0,IWB,LOWS,HIGHS
6,2000-06-01,75.66,75.66,75.66,75.66,100,75.66,76.69,75.66,76.27,400.0,IWB,LOWS,LOWS
7,2000-06-05,78.08,78.08,78.08,78.08,1300,78.08,78.34,78.0,78.0,21000.0,IWB,NONE,LOWS
8,2000-06-06,77.5,77.5,77.5,77.5,100,77.95,78.05,77.53,77.53,3200.0,IWB,NONE,NONE
9,2000-06-07,77.5,77.5,77.5,77.5,200,77.5,78.28,77.5,78.09,2700.0,IWB,LOWS,NONE
10,2000-06-09,78.08,78.08,78.02,78.02,300,78.08,78.08,77.75,77.77,1300.0,IWB,HIGHS,LOWS
11,2000-06-12,77.83,77.84,77.48,77.48,900,77.83,77.84,77.45,77.45,1100.0,IWB,HIGHS,HIGHS
12,2000-06-16,78.31,78.31,78.27,78.27,20000,78.31,78.31,78.16,78.16,20200.0,IWB,HIGHS,HIGHS
13,2000-06-19,78.72,78.72,78.72,78.72,300,78.72,78.72,77.92,77.92,500.0,IWB,HIGHS,HIGHS
14,2000-06-20,78.61,78.8,78.61,78.8,200,78.61,78.89,78.44,78.44,500.0,IWB,NONE,HIGHS
15,2000-06-22,78.33,78.33,78.0,78.0,700,78.33,78.33,77.0,77.0,13600.0,IWB,HIGHS,NONE
16,2000-06-23,77.25,77.25,77.25,77.25,500,77.25,77.25,76.47,76.47,13500.0,IWB,HIGHS,HIGHS
