,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2002-07-26,81.28,81.3,81.24,81.28,12000,81.28,81.37,81.24,81.31,246200.0,SHY,LOWS
1,2002-07-29,81.22,81.22,81.15,81.17,8000,81.22,81.22,81.04,81.04,40200.0,SHY,HIGHS
2,2002-07-30,81.12,81.13,81.09,81.11,20900,81.12,81.13,81.0,81.01,95300.0,SHY,HIGHS
3,2002-07-31,81.17,81.22,81.15,81.2,7100,81.17,81.31,81.15,81.26,38800.0,SHY,LOWS
4,2002-08-01,81.33,81.45,81.33,81.43,30800,81.33,81.45,81.33,81.42,86800.0,SHY,BOTH
5,2002-08-02,81.46,81.46,81.42,81.44,10700,81.46,81.64,81.4,81.58,83400.0,SHY,NONE
6,2002-08-05,81.63,81.66,81.57,81.62,23800,81.63,81.73,81.57,81.71,93100.0,SHY,LOWS
7,2002-08-06,81.55,81.6,81.55,81.58,18800,81.55,81.61,81.45,81.51,58200.0,SHY,NONE
8,2002-08-07,81.59,81.62,81.55,81.62,38800,81.59,81.69,81.54,81.63,127000.0,SHY,NONE
9,2002-08-08,81.61,81.62,81.53,81.59,20200,81.61,81.62,81.47,81.51,111800.0,SHY,HIGHS
10,2002-08-09,81.48,81.51,81.48,81.51,5200,81.48,81.56,81.46,81.53,50900.0,SHY,NONE
11,2002-08-12,81.51,81.54,81.48,81.48,22400,81.51,81.57,81.47,81.52,52300.0,SHY,NONE
12,2002-08-13,81.59,81.59,81.55,81.56,7500,81.59,81.68,81.48,81.66,36200.0,SHY,NONE
13,2002-08-14,81.69,81.71,81.65,81.71,13900,81.69,81.71,81.46,81.48,108700.0,SHY,HIGHS
14,2002-08-15,81.38,81.4,81.3,81.34,29000,81.38,81.54,81.3,81.41,87700.0,SHY,LOWS
15,2002-08-16,81.54,81.55,81.39,81.39,10200,81.54,81.55,81.31,81.36,274500.0,SHY,HIGHS
16,2002-08-19,81.41,81.43,81.35,81.39,5500,81.41,81.43,81.31,81.37,36000.0,SHY,HIGHS
17,2002-08-20,81.51,81.51,81.46,81.51,6800,81.51,81.57,81.46,81.56,51400.0,SHY,LOWS
18,2002-08-21,81.46,81.49,81.42,81.49,5000,81.46,81.54,81.42,81.49,43100.0,SHY,LOWS
19,2002-08-22,81.5,81.5,81.48,81.49,800,81.5,81.5,81.38,81.4,47700.0,SHY,HIGHS
20,2002-08-23,81.48,81.48,81.44,81.47,14400,81.48,81.52,81.44,81.5,60900.0,SHY,LOWS
21,2002-08-26,81.49,81.49,81.45,81.48,7600,81.49,81.55,81.45,81.49,49700.0,SHY,LOWS
22,2002-08-27,81.4,81.45,81.35,81.45,7300,81.4,81.45,81.35,81.43,54700.0,SHY,BOTH
23,2002-08-28,81.51,81.51,81.48,81.48,2400,81.51,81.53,81.46,81.49,50600.0,SHY,NONE
24,2002-08-29,81.64,81.64,81.6,81.6,3900,81.64,81.64,81.55,81.58,53700.0,SHY,HIGHS
25,2002-08-30,81.63,81.63,81.53,81.53,12900,81.63,81.63,81.52,81.61,143800.0,SHY,HIGHS
26,2002-09-03,81.62,81.76,81.62,81.76,30000,81.62,81.78,81.61,81.67,83000.0,SHY,NONE
27,2002-09-04,81.67,81.67,81.6,81.66,25600,81.67,81.73,81.6,81.64,49500.0,SHY,LOWS
28,2002-09-05,81.69,81.72,81.66,81.7,3100,81.69,81.73,81.64,81.73,49000.0,SHY,NONE
29,2002-09-06,81.55,81.61,81.55,81.61,15700,81.55,81.61,81.53,81.57,33700.0,SHY,HIGHS
30,2002-09-09,81.52,81.57,81.47,81.56,38800,81.52,81.57,81.45,81.46,65200.0,SHY,HIGHS
31,2002-09-10,81.44,81.47,81.44,81.47,24900,81.44,81.54,81.42,81.51,51000.0,SHY,NONE
32,2002-09-12,81.48,81.54,81.46,81.54,7200,81.48,81.55,81.46,81.52,50100.0,SHY,LOWS
33,2002-09-13,81.55,81.57,81.53,81.55,7700,81.55,81.59,81.52,81.58,95100.0,SHY,NONE
34,2002-09-16,81.61,81.61,81.56,81.6,6300,81.61,81.61,81.54,81.55,39000.0,SHY,HIGHS
35,2002-09-17,81.52,81.56,81.48,81.56,7200,81.52,81.62,81.48,81.61,28800.0,SHY,LOWS
36,2002-09-18,81.7,81.7,81.66,81.66,16900,81.7,81.7,81.6,81.6,173700.0,SHY,HIGHS
37,2002-09-19,81.76,81.76,81.74,81.76,91800,81.76,81.77,81.66,81.77,191100.0,SHY,NONE
38,2002-09-20,81.74,81.75,81.7,81.73,4500,81.74,81.79,81.7,81.78,360800.0,SHY,LOWS
39,2002-09-23,81.82,81.82,81.78,81.79,96400,81.82,81.85,81.75,81.8,263600.0,SHY,NONE
40,2002-09-24,81.87,81.88,81.84,81.86,14400,81.87,81.94,81.78,81.84,659400.0,SHY,NONE
41,2002-09-25,81.79,81.83,81.72,81.79,5600,81.79,81.83,81.7,81.76,240400.0,SHY,HIGHS
42,2002-09-26,81.76,81.78,81.73,81.73,4200,81.76,81.82,81.69,81.79,81100.0,SHY,NONE
43,2002-09-27,81.85,81.86,81.81,81.85,5000,81.85,81.96,81.81,81.96,136200.0,SHY,LOWS
44,2002-09-30,82.03,82.11,82.0,82.11,46700,82.03,82.13,82.0,82.08,216900.0,SHY,LOWS
45,2002-10-01,81.91,82.0,81.89,81.98,36500,81.91,82.0,81.84,81.86,94100.0,SHY,HIGHS
46,2002-10-02,81.89,81.92,81.89,81.91,5300,81.89,81.95,81.83,81.93,79400.0,SHY,NONE
47,2002-10-03,81.9,81.94,81.8,81.88,44800,81.9,81.97,81.8,81.94,196500.0,SHY,LOWS
48,2002-10-04,81.77,81.84,81.76,81.79,18500,81.77,81.93,81.76,81.87,205600.0,SHY,LOWS
49,2002-10-07,81.97,81.97,81.88,81.95,22200,81.97,81.97,81.88,81.97,171600.0,SHY,BOTH
50,2002-10-08,81.85,81.9,81.85,81.9,7100,81.85,82.0,81.85,81.89,167100.0,SHY,LOWS
51,2002-10-09,81.99,82.0,81.96,81.96,25400,81.99,82.06,81.92,82.06,332800.0,SHY,NONE
52,2002-10-10,82.03,82.08,82.03,82.06,10600,82.03,82.08,81.93,81.98,166200.0,SHY,HIGHS
53,2002-10-11,81.95,81.95,81.89,81.93,61300,81.95,81.95,81.8,81.85,407000.0,SHY,HIGHS
54,2002-10-14,81.82,81.88,81.82,81.88,9600,81.82,81.88,81.82,81.87,54500.0,SHY,BOTH
55,2002-10-15,81.67,81.7,81.62,81.69,46900,81.67,81.7,81.54,81.56,100800.0,SHY,HIGHS
56,2002-10-16,81.65,81.65,81.55,81.6,6800,81.65,81.67,81.55,81.59,51300.0,SHY,LOWS
57,2002-10-17,81.52,81.56,81.48,81.5,35800,81.52,81.57,81.48,81.52,239200.0,SHY,LOWS
58,2002-10-18,81.49,81.54,81.45,81.46,17500,81.49,81.59,81.41,81.59,100600.0,SHY,NONE
59,2002-10-21,81.56,81.57,81.54,81.54,5000,81.56,81.57,81.37,81.41,595800.0,SHY,HIGHS
60,2002-10-22,81.47,81.48,81.39,81.39,218200,81.47,81.48,81.37,81.4,325800.0,SHY,HIGHS
61,2002-10-23,81.5,81.51,81.43,81.51,4500,81.5,81.58,81.43,81.46,126700.0,SHY,LOWS
62,2002-10-24,81.51,81.54,81.5,81.54,3400,81.51,81.64,81.5,81.6,69400.0,SHY,LOWS
63,2002-10-25,81.71,81.73,81.67,81.7,1600,81.71,81.78,81.66,81.74,56000.0,SHY,NONE
64,2002-10-28,81.89,81.9,81.84,81.9,6700,81.89,81.9,81.83,81.85,31100.0,SHY,HIGHS
65,2002-10-29,81.94,82.05,81.93,82.03,10600,81.94,82.09,81.93,82.03,25000.0,SHY,LOWS
66,2002-10-30,82.01,82.02,81.97,82.02,5100,82.01,82.1,81.97,82.02,28800.0,SHY,LOWS
67,2002-10-31,82.03,82.1,81.99,82.06,17500,82.03,82.17,81.99,82.16,153700.0,SHY,LOWS
68,2002-11-01,81.97,82.02,81.92,81.92,6400,81.97,82.02,81.86,81.94,50300.0,SHY,HIGHS
69,2002-11-04,81.85,81.88,81.83,81.86,6100,81.85,81.9,81.83,81.86,255200.0,SHY,LOWS
70,2002-11-05,81.89,81.89,81.82,81.82,6800,81.89,81.89,81.78,81.85,342100.0,SHY,HIGHS
71,2002-11-06,81.84,81.85,81.8,81.84,10100,81.84,81.99,81.8,81.88,176100.0,SHY,LOWS
72,2002-11-07,81.9,81.9,81.84,81.84,9800,81.9,81.92,81.84,81.92,39900.0,SHY,LOWS
73,2002-11-08,81.86,81.87,81.83,81.86,10100,81.86,81.91,81.83,81.89,27800.0,SHY,LOWS
74,2002-11-11,81.87,81.92,81.86,81.86,2800,81.87,81.97,81.86,81.97,83800.0,SHY,LOWS
75,2002-11-12,81.94,81.95,81.93,81.95,2400,81.94,82.0,81.93,81.99,50300.0,SHY,LOWS
76,2002-11-13,81.94,82.04,81.94,82.03,7400,81.94,82.04,81.94,82.0,46400.0,SHY,BOTH
77,2002-11-14,81.94,81.94,81.88,81.92,9200,81.94,81.94,81.8,81.8,30900.0,SHY,HIGHS
78,2002-11-15,81.8,81.81,81.75,81.81,5700,81.8,81.84,81.75,81.84,27500.0,SHY,LOWS
79,2002-11-18,81.8,81.82,81.77,81.77,8200,81.8,81.86,81.77,81.84,27300.0,SHY,LOWS
80,2002-11-19,81.83,81.83,81.83,81.83,200,81.85,81.86,81.78,81.82,22400.0,SHY,NONE
81,2002-11-20,81.88,81.88,81.82,81.84,3500,81.88,81.88,81.7,81.75,19400.0,SHY,HIGHS
82,2002-11-21,81.68,81.72,81.66,81.7,9000,81.68,81.72,81.63,81.64,72500.0,SHY,HIGHS
83,2002-11-22,81.68,81.68,81.63,81.63,2300,81.66,81.68,81.61,81.61,43400.0,SHY,HIGHS
84,2002-11-25,81.62,81.67,81.62,81.62,1900,81.62,81.71,81.61,81.66,49100.0,SHY,NONE
85,2002-11-26,81.72,81.74,81.69,81.72,4000,81.72,81.82,81.69,81.81,28500.0,SHY,LOWS
86,2002-11-27,81.73,81.73,81.64,81.64,9800,81.73,81.73,81.61,81.67,542100.0,SHY,HIGHS
87,2002-11-29,81.72,81.72,81.67,81.67,28600,81.72,81.72,81.67,81.71,69100.0,SHY,BOTH
88,2002-12-02,81.5,81.58,81.42,81.58,12700,81.5,81.64,81.42,81.62,74100.0,SHY,LOWS
89,2002-12-03,81.66,81.66,81.64,81.64,11700,81.66,81.66,81.58,81.65,88900.0,SHY,HIGHS
90,2002-12-04,81.71,81.71,81.64,81.64,2800,81.71,81.75,81.62,81.7,220000.0,SHY,NONE
91,2002-12-05,81.67,81.75,81.63,81.74,2100,81.67,81.79,81.63,81.77,122300.0,SHY,LOWS
92,2002-12-06,81.91,81.91,81.81,81.82,26200,81.91,81.91,81.78,81.85,470600.0,SHY,HIGHS
93,2002-12-09,81.9,81.9,81.84,81.88,29500,81.9,81.92,81.84,81.87,83500.0,SHY,LOWS
94,2002-12-10,81.9,81.9,81.85,81.87,4300,81.9,81.91,81.82,81.86,32500.0,SHY,NONE
95,2002-12-11,81.89,81.93,81.88,81.92,29300,81.89,81.96,81.88,81.93,108700.0,SHY,LOWS
96,2002-12-12,81.88,81.94,81.87,81.91,9100,81.88,82.0,81.87,81.96,41200.0,SHY,LOWS
97,2002-12-13,81.92,81.96,81.91,81.95,14000,81.92,81.96,81.88,81.9,91600.0,SHY,HIGHS
98,2002-12-16,81.93,81.93,81.89,81.9,5700,81.93,81.93,81.83,81.86,36500.0,SHY,HIGHS
99,2002-12-17,81.92,81.92,81.87,81.87,4100,81.92,81.94,81.87,81.94,47200.0,SHY,LOWS
100,2002-12-18,82.03,82.06,81.99,82.06,3800,82.03,82.07,81.99,82.07,275400.0,SHY,LOWS
101,2002-12-19,82.06,82.08,82.04,82.06,53400,82.06,82.16,82.04,82.16,419200.0,SHY,LOWS
102,2002-12-20,82.12,82.12,82.08,82.08,7700,82.12,82.15,82.07,82.12,46800.0,SHY,NONE
103,2002-12-23,82.11,82.11,82.07,82.08,6200,82.11,82.13,82.07,82.13,49100.0,SHY,LOWS
104,2002-12-24,82.24,82.24,82.2,82.24,6300,82.24,82.25,82.2,82.22,73300.0,SHY,LOWS
