,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2002-07-26,82.67,82.67,82.42,82.56,3100,82.67,82.8,82.42,82.51,316300,TLT,LOWS
1,2002-07-29,82.06,82.16,82.0,82.0,3900,82.06,82.16,81.32,81.42,8400,TLT,HIGHS
2,2002-07-30,81.75,81.83,81.75,81.8,700,81.75,81.9,81.52,81.52,6100,TLT,NONE
3,2002-07-31,81.95,82.38,81.9,82.38,2800,81.95,82.8,81.9,82.53,29400,TLT,LOWS
4,2002-08-01,82.54,82.92,82.54,82.92,1900,82.54,83.02,82.54,83.0,25000,TLT,LOWS
5,2002-08-02,83.16,83.16,82.88,83.0,5900,83.16,84.1,82.88,83.85,52800,TLT,LOWS
6,2002-08-05,84.04,84.16,83.85,83.85,5800,84.04,84.44,83.85,84.22,61100,TLT,LOWS
7,2002-08-06,83.8,83.9,83.58,83.64,9700,83.8,83.9,83.22,83.5,64900,TLT,HIGHS
8,2002-08-07,83.6,83.81,83.36,83.81,7900,83.6,84.14,83.36,83.7,40300,TLT,LOWS
9,2002-08-08,83.58,83.7,83.44,83.57,8400,83.58,83.77,83.36,83.7,40900,TLT,NONE
10,2002-08-09,84.0,84.25,84.0,84.25,10000,84.0,84.88,84.0,84.88,35900,TLT,LOWS
11,2002-08-12,85.3,85.34,85.14,85.17,18300,85.3,86.7,85.14,85.4,32100,TLT,LOWS
12,2002-08-13,85.78,85.78,85.63,85.64,5900,85.78,86.47,85.37,86.45,74300,TLT,NONE
13,2002-08-14,87.46,87.9,87.15,87.75,20100,87.46,87.9,86.75,86.78,130000,TLT,HIGHS
14,2002-08-15,86.38,86.38,86.0,86.0,21400,86.38,86.5,85.85,86.02,87100,TLT,NONE
15,2002-08-16,86.44,86.52,85.9,85.9,16900,86.44,86.52,84.82,85.06,85000,TLT,HIGHS
16,2002-08-19,85.05,85.11,84.9,85.0,13200,85.05,85.34,84.71,85.32,47300,TLT,NONE
17,2002-08-20,85.62,85.87,85.6,85.83,15200,85.62,86.29,85.6,86.27,40800,TLT,LOWS
18,2002-08-21,85.68,85.98,85.63,85.9,17900,85.68,86.1,85.63,85.81,40000,TLT,LOWS
19,2002-08-22,85.55,85.55,85.25,85.25,10200,85.55,85.55,85.06,85.06,34400,TLT,HIGHS
20,2002-08-23,85.2,85.3,85.2,85.25,2500,85.2,85.95,85.2,85.9,20100,TLT,LOWS
21,2002-08-26,85.7,85.93,85.67,85.93,2000,85.7,86.21,85.67,85.98,23900,TLT,LOWS
22,2002-08-27,85.4,85.62,85.34,85.62,136500,85.4,85.68,85.2,85.44,301800,TLT,NONE
23,2002-08-28,86.04,86.04,85.84,85.92,3400,86.04,86.18,85.84,85.87,18100,TLT,LOWS
24,2002-08-29,86.76,86.86,86.61,86.61,21900,86.76,86.86,86.35,86.56,135700,TLT,HIGHS
25,2002-08-30,86.75,86.91,86.69,86.69,6300,86.75,87.13,86.45,87.08,78100,TLT,NONE
