,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2004-09-29,48.89,48.94,48.89,48.89,105022,48.89,49.02,48.88,48.89,209852,VNQ,NONE
1,2004-09-30,49.03,49.03,49.02,49.02,21411,49.03,49.36,49.02,49.28,28449,VNQ,LOWS
2,2004-10-01,49.38,49.6,49.28,49.57,103393,49.38,50.26,49.28,50.19,132355,VNQ,LOWS
3,2004-10-04,50.4,50.4,50.4,50.4,101,50.4,50.55,50.4,50.41,8259,VNQ,LOWS
4,2004-10-05,50.41,50.41,50.41,50.41,4282,50.41,50.51,50.36,50.4,12134,VNQ,NONE
5,2004-10-06,50.51,50.62,50.51,50.62,1323,50.51,50.63,50.5,50.63,9483,VNQ,NONE
6,2004-10-07,50.65,50.65,50.33,50.33,5299,50.65,50.65,50.11,50.11,8055,VNQ,HIGHS
7,2004-10-08,50.57,50.57,50.51,50.51,10196,50.57,50.57,50.26,50.36,16722,VNQ,HIGHS
8,2004-10-11,50.51,50.51,50.36,50.36,1322,50.51,50.51,50.11,50.16,4588,VNQ,HIGHS
9,2004-10-12,50.21,50.21,50.02,50.06,2241,50.21,50.33,50.02,50.33,3670,VNQ,LOWS
10,2004-10-14,50.46,50.62,50.46,50.62,609,50.46,50.86,50.46,50.85,19578,VNQ,LOWS
11,2004-10-15,51.09,51.09,51.09,51.09,713,51.09,51.37,51.07,51.37,9992,VNQ,NONE
12,2004-10-18,51.34,51.34,51.34,51.34,305,51.34,51.78,51.28,51.64,4078,VNQ,NONE
13,2004-10-19,51.78,51.98,51.78,51.98,2241,51.78,51.98,51.37,51.37,6322,VNQ,HIGHS
14,2004-10-20,51.29,51.29,50.64,50.64,1423,51.29,51.29,50.64,51.12,5608,VNQ,BOTH
15,2004-10-21,51.03,51.03,51.03,51.03,305,51.03,51.64,51.03,51.64,7545,VNQ,LOWS
16,2004-10-22,51.63,51.88,51.63,51.84,32218,51.63,51.88,51.23,51.23,71276,VNQ,HIGHS
17,2004-10-25,51.19,51.19,51.09,51.09,1018,51.19,51.19,50.81,50.99,14275,VNQ,HIGHS
18,2004-10-26,51.12,51.12,51.02,51.02,5301,51.12,51.47,51.02,51.47,9177,VNQ,LOWS
19,2004-10-27,51.84,51.84,51.82,51.82,1222,51.84,52.07,51.72,52.07,9279,VNQ,NONE
20,2004-10-28,51.99,51.99,51.99,51.99,814,51.99,52.22,51.95,52.1,13052,VNQ,NONE
21,2004-10-29,52.4,52.4,52.36,52.36,12947,52.4,52.4,51.96,52.07,51188,VNQ,HIGHS
22,2004-11-01,52.17,52.2,52.15,52.2,609,52.17,52.58,52.15,52.58,5506,VNQ,LOWS
23,2004-11-02,52.68,52.68,52.68,52.68,1121,52.68,52.68,52.07,52.07,14377,VNQ,HIGHS
24,2004-11-03,52.85,52.85,52.62,52.64,1728,52.85,52.85,52.53,52.6,13052,VNQ,HIGHS
25,2004-11-04,52.56,52.71,52.56,52.71,915,52.56,53.4,52.56,53.4,5302,VNQ,LOWS
26,2004-11-05,53.24,53.24,52.37,52.37,19774,53.24,53.24,51.88,51.96,52921,VNQ,HIGHS
27,2004-11-08,52.12,52.12,51.87,51.97,809,52.12,52.18,51.87,52.09,32222,VNQ,LOWS
28,2004-11-09,52.1,52.23,52.07,52.13,8562,52.1,52.29,52.02,52.29,22739,VNQ,NONE
29,2004-11-10,52.37,52.37,52.23,52.24,7638,52.37,52.8,52.23,52.66,13867,VNQ,LOWS
30,2004-11-11,52.69,52.74,52.66,52.74,5198,52.69,53.09,52.66,53.09,13867,VNQ,LOWS
31,2004-11-12,53.22,53.22,53.14,53.14,8358,53.22,54.13,53.14,54.13,15193,VNQ,LOWS
32,2004-11-15,54.46,54.88,54.38,54.88,6214,54.46,54.88,54.38,54.82,40685,VNQ,BOTH
33,2004-11-16,55.13,55.13,54.78,54.8,11007,55.13,55.13,54.49,54.49,26511,VNQ,HIGHS
34,2004-11-17,54.67,54.72,54.66,54.72,1523,54.67,54.72,53.04,53.22,21923,VNQ,HIGHS
35,2004-11-18,53.73,53.73,52.69,52.69,57398,53.73,53.73,52.69,53.13,81779,VNQ,BOTH
36,2004-11-19,53.22,53.39,52.76,52.76,63111,53.22,53.39,52.58,52.58,76272,VNQ,HIGHS
37,2004-11-22,52.8,52.8,52.47,52.56,3463,52.8,52.98,52.47,52.95,85857,VNQ,LOWS
38,2004-11-23,52.91,53.09,52.73,53.09,1730,52.91,53.36,52.73,53.17,9279,VNQ,LOWS
39,2004-11-24,53.69,54.01,53.69,54.01,2240,53.69,54.23,53.69,54.09,10808,VNQ,LOWS
40,2004-11-26,54.33,54.42,54.23,54.23,9886,54.33,54.42,53.99,54.04,12032,VNQ,HIGHS
41,2004-11-29,54.18,54.18,53.84,53.88,5092,54.18,54.18,53.58,53.84,88611,VNQ,HIGHS
42,2004-11-30,54.04,54.04,53.72,53.81,9172,54.04,54.13,53.66,54.13,33445,VNQ,NONE
43,2004-12-01,54.28,54.32,54.26,54.28,10293,54.28,55.28,54.26,55.18,24064,VNQ,LOWS
44,2004-12-02,55.18,55.18,54.71,54.71,26915,55.18,55.18,54.47,54.71,37626,VNQ,HIGHS
45,2004-12-03,54.92,55.28,54.92,55.21,10290,54.92,55.47,54.92,55.45,36504,VNQ,LOWS
46,2004-12-06,55.56,55.57,55.37,55.57,1832,55.56,55.96,55.37,55.71,54859,VNQ,LOWS
47,2004-12-07,55.83,55.83,55.51,55.51,6521,55.83,55.83,54.93,55.01,48843,VNQ,HIGHS
48,2004-12-08,55.12,55.41,55.12,55.22,4274,55.12,55.41,54.92,55.15,77496,VNQ,HIGHS
49,2004-12-09,55.2,55.2,54.86,55.04,4682,55.2,55.56,54.86,55.56,25390,VNQ,LOWS
50,2004-12-10,55.51,55.68,55.49,55.68,2241,55.51,56.03,55.49,56.03,13969,VNQ,LOWS
51,2004-12-13,56.19,56.19,55.94,55.97,9884,56.19,56.19,55.81,55.87,15193,VNQ,HIGHS
52,2004-12-14,55.8,55.8,55.53,55.61,4787,55.8,55.89,55.53,55.82,13052,VNQ,LOWS
53,2004-12-15,56.06,56.08,55.88,56.04,7234,56.06,56.08,55.6,55.93,22127,VNQ,HIGHS
54,2004-12-16,56.02,56.02,55.8,55.8,3975,56.02,56.02,55.42,55.42,11216,VNQ,HIGHS
55,2004-12-17,55.56,55.56,55.07,55.08,1321,55.56,56.05,54.97,56.05,28857,VNQ,NONE
56,2004-12-20,56.0,56.0,55.7,55.7,3768,56.0,56.0,55.61,55.85,10706,VNQ,HIGHS
57,2004-12-21,56.05,56.27,56.05,56.27,508,56.05,56.49,56.05,56.49,12746,VNQ,LOWS
58,2004-12-22,55.31,55.41,55.21,55.41,2546,55.31,55.65,55.21,55.65,21617,VNQ,LOWS
59,2004-12-23,55.46,55.61,55.42,55.51,2849,55.46,55.61,55.02,55.23,27633,VNQ,HIGHS
60,2004-12-27,55.23,55.26,54.92,54.92,4482,55.23,55.26,54.67,54.82,25390,VNQ,HIGHS
61,2004-12-28,54.92,55.12,54.92,55.12,711,54.92,55.12,54.91,55.03,15091,VNQ,HIGHS
62,2004-12-29,55.16,55.2,55.11,55.2,5298,55.16,55.36,55.11,55.34,29978,VNQ,LOWS
63,2004-12-30,55.5,55.5,55.26,55.33,20695,55.5,55.64,55.26,55.61,34363,VNQ,LOWS
64,2004-12-31,55.77,55.77,55.62,55.69,27318,55.77,55.82,55.46,55.46,37218,VNQ,NONE
65,2005-01-03,55.65,55.65,55.33,55.33,4886,55.65,55.65,54.43,54.81,32528,VNQ,HIGHS
66,2005-01-04,54.81,55.19,54.81,55.07,5197,54.81,55.19,53.99,53.99,53533,VNQ,HIGHS
67,2005-01-05,54.1,54.1,53.3,53.61,28942,54.1,54.1,51.81,52.19,78822,VNQ,HIGHS
68,2005-01-06,52.12,52.78,52.12,52.78,7540,52.12,52.78,52.12,52.59,43030,VNQ,BOTH
69,2005-01-07,52.83,52.84,52.62,52.68,2953,52.83,52.84,52.24,52.48,24676,VNQ,HIGHS
70,2005-01-10,52.42,52.42,52.17,52.17,3465,52.42,52.61,52.17,52.31,12746,VNQ,LOWS
71,2005-01-11,52.34,52.37,51.71,51.71,11103,52.34,52.37,51.63,51.78,25798,VNQ,HIGHS
72,2005-01-12,51.88,51.88,50.74,50.95,8957,51.88,51.88,50.74,51.54,84430,VNQ,BOTH
73,2005-01-13,51.53,51.97,51.53,51.93,11417,51.53,52.37,51.46,51.54,34873,VNQ,NONE
74,2005-01-14,52.02,52.11,51.86,52.01,37313,52.02,52.22,51.78,52.17,224229,VNQ,NONE
75,2005-01-18,52.12,52.19,51.97,52.17,5603,52.12,52.74,51.97,52.68,26511,VNQ,LOWS
76,2005-01-19,52.86,52.99,52.74,52.94,2442,52.86,53.44,52.59,52.73,30182,VNQ,NONE
77,2005-01-20,52.81,52.81,52.36,52.47,16919,52.81,52.97,52.36,52.56,33139,VNQ,LOWS
78,2005-01-21,52.52,52.8,52.33,52.8,3460,52.52,52.98,52.33,52.61,62405,VNQ,LOWS
79,2005-01-24,52.71,52.76,52.17,52.17,4482,52.71,52.76,52.17,52.19,18456,VNQ,BOTH
80,2005-01-25,52.47,52.47,51.98,52.01,4581,52.47,52.47,51.2,51.21,31610,VNQ,HIGHS
81,2005-01-26,51.42,51.42,51.09,51.18,3361,51.42,51.42,50.91,51.05,26919,VNQ,HIGHS
82,2005-01-27,51.23,51.23,51.0,51.0,6215,51.23,51.23,50.4,50.69,17538,VNQ,HIGHS
83,2005-01-28,50.85,50.99,50.83,50.99,4586,50.85,51.01,50.55,50.77,67197,VNQ,NONE
84,2005-01-31,51.15,51.24,50.82,50.82,6315,51.15,51.24,50.28,50.71,41297,VNQ,HIGHS
85,2005-02-01,50.9,50.93,50.7,50.93,2950,50.9,51.16,50.7,51.08,26104,VNQ,LOWS
86,2005-02-02,51.29,51.39,51.07,51.39,5603,51.29,51.65,51.07,51.65,24982,VNQ,LOWS
87,2005-02-03,51.73,51.98,51.66,51.98,4786,51.73,51.98,51.66,51.81,14173,VNQ,BOTH
88,2005-02-04,51.96,52.45,51.96,52.44,7643,51.96,52.52,51.96,52.52,20393,VNQ,LOWS
89,2005-02-07,52.56,52.6,52.5,52.57,8457,52.56,52.74,52.25,52.34,41705,VNQ,NONE
