,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2000-01-03,19.26,19.26,18.88,18.88,287052,19.26,19.26,18.45,18.57,1186182.0,XLF,HIGHS
1,2000-01-04,18.17,18.18,17.92,17.97,364634,18.17,18.19,17.6,17.76,886065.0,XLF,NONE
2,2000-01-05,17.76,17.81,17.43,17.66,147646,17.76,17.95,17.43,17.62,717472.0,XLF,LOWS
3,2000-01-06,17.67,17.86,17.67,17.86,78071,17.67,18.51,17.67,18.4,416001.0,XLF,LOWS
4,2000-01-07,18.52,18.52,18.32,18.45,143703,18.52,18.73,18.27,18.7,468832.0,XLF,NONE
5,2000-01-10,18.85,18.85,18.57,18.57,60091,18.85,19.29,18.32,18.37,460827.0,XLF,NONE
6,2000-01-11,18.19,18.32,18.18,18.18,163781,18.19,18.44,18.07,18.07,476344.0,XLF,NONE
7,2000-01-12,18.21,18.42,18.21,18.32,37557,18.21,18.52,18.21,18.42,143346.0,XLF,LOWS
8,2000-01-13,18.75,18.83,18.68,18.73,389516,18.75,19.07,18.65,18.98,1105026.0,XLF,NONE
9,2000-01-14,19.21,19.51,19.21,19.35,218205,19.21,19.55,19.2,19.42,731881.0,XLF,NONE
10,2000-01-18,19.36,19.36,19.13,19.22,139028,19.36,19.36,18.78,18.78,466369.0,XLF,HIGHS
11,2000-01-19,18.79,19.16,18.79,19.13,116736,18.79,19.16,18.68,18.71,339648.0,XLF,HIGHS
12,2000-01-20,18.85,18.85,17.92,18.7,154056,18.85,18.85,18.27,18.37,588411.0,XLF,HIGHS
13,2000-01-21,18.47,18.47,18.14,18.21,75608,18.47,18.47,18.04,18.14,498511.0,XLF,HIGHS
14,2000-01-24,18.32,18.32,18.02,18.02,113164,18.32,18.32,17.66,17.81,346913.0,XLF,HIGHS
15,2000-01-25,17.81,18.02,17.79,17.93,54545,17.81,18.14,17.79,18.0,231768.0,XLF,LOWS
16,2000-01-26,18.14,18.32,18.12,18.31,32379,18.14,18.98,18.12,18.68,630774.0,XLF,LOWS
17,2000-01-27,18.77,18.99,18.65,18.98,55533,18.77,18.99,18.57,18.88,262679.0,XLF,HIGHS
18,2000-01-28,18.37,18.57,18.37,18.56,25117,18.37,18.57,18.07,18.22,171055.0,XLF,HIGHS
19,2000-01-31,18.02,18.27,18.02,18.17,227326,18.02,18.73,18.02,18.73,541983.0,XLF,LOWS
20,2000-02-01,18.83,18.83,18.55,18.59,224369,18.83,18.87,18.55,18.83,332135.0,XLF,LOWS
21,2000-02-02,18.78,18.78,17.86,18.63,42477,18.78,18.8,18.47,18.64,399991.0,XLF,NONE
22,2000-02-03,18.63,18.73,18.49,18.61,130527,18.63,18.73,18.18,18.52,350362.0,XLF,HIGHS
23,2000-02-04,18.59,18.68,17.86,18.52,46915,18.59,18.68,18.22,18.33,216621.0,XLF,HIGHS
24,2000-02-07,18.19,18.3,18.17,18.17,13296,18.19,18.3,18.02,18.14,91623.0,XLF,HIGHS
25,2000-02-08,18.37,18.45,18.33,18.33,273012,18.37,18.47,18.25,18.35,608731.0,XLF,NONE
26,2000-02-09,18.35,18.35,18.07,18.14,49869,18.35,18.35,17.79,17.92,223640.0,XLF,HIGHS
27,2000-02-10,17.94,17.94,17.05,17.86,73145,17.94,17.94,17.26,17.42,641735.0,XLF,HIGHS
28,2000-02-11,17.66,17.66,17.46,17.56,157255,17.66,17.86,17.31,17.46,588903.0,XLF,NONE
29,2000-02-14,17.48,17.61,17.46,17.51,46173,17.48,17.61,17.12,17.61,1015126.0,XLF,HIGHS
30,2000-02-15,17.28,17.28,17.15,17.17,24625,17.28,17.7,17.15,17.64,373637.0,XLF,LOWS
31,2000-02-16,17.59,17.66,17.55,17.55,58369,17.59,17.66,17.17,17.27,376469.0,XLF,HIGHS
32,2000-02-17,17.56,17.56,17.17,17.19,66125,17.56,17.56,16.87,17.05,612056.0,XLF,HIGHS
33,2000-02-18,16.98,16.98,16.75,16.87,126094,16.98,16.98,16.29,16.44,882124.0,XLF,HIGHS
34,2000-02-22,16.62,16.7,16.3,16.3,157870,16.62,16.72,16.24,16.6,564766.0,XLF,NONE
35,2000-02-23,16.65,16.65,16.39,16.48,118830,16.65,16.74,16.37,16.53,392602.0,XLF,NONE
36,2000-02-24,16.37,16.49,16.16,16.16,144079,16.37,16.49,16.01,16.19,435951.0,XLF,HIGHS
37,2000-02-25,16.32,16.62,16.29,16.49,117970,16.32,16.62,15.69,16.09,608361.0,XLF,HIGHS
38,2000-02-28,16.49,16.54,16.29,16.54,295795,16.49,16.76,16.24,16.61,1225836.0,XLF,NONE
39,2000-02-29,16.81,16.81,16.62,16.68,55041,16.81,16.84,16.44,16.72,435335.0,XLF,NONE
40,2000-03-01,16.75,16.85,16.68,16.77,182864,16.75,17.1,16.65,16.95,1579277.0,XLF,NONE
41,2000-03-02,16.85,16.91,16.71,16.71,251465,16.85,16.98,16.56,16.85,600603.0,XLF,NONE
42,2000-03-03,17.2,17.2,16.95,17.0,54915,17.2,17.2,16.85,17.0,418587.0,XLF,HIGHS
43,2000-03-06,16.91,17.08,16.85,16.94,276089,16.91,17.09,16.67,16.84,1879024.0,XLF,NONE
44,2000-03-07,16.65,16.76,16.39,16.47,274491,16.65,16.8,16.14,16.33,1253791.0,XLF,NONE
