,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2000-01-03,55.63,55.63,55.0,55.13,201600,55.63,55.63,53.5,55.44,938100.0,XLK,HIGHS
1,2000-01-04,54.0,54.75,54.0,54.69,81900,54.0,54.75,52.31,52.63,545500.0,XLK,HIGHS
2,2000-01-05,51.75,52.0,50.13,51.13,613100,51.75,53.06,50.13,51.84,1906000.0,XLK,LOWS
3,2000-01-06,51.25,52.09,50.63,50.88,513700,51.25,52.09,49.63,50.13,1670000.0,XLK,HIGHS
4,2000-01-07,49.63,50.56,49.13,50.5,203800,49.63,51.0,49.13,51.0,686000.0,XLK,LOWS
5,2000-01-10,53.0,53.13,52.48,52.5,233000,53.0,53.44,52.06,52.94,1020500.0,XLK,NONE
6,2000-01-11,53.0,53.47,52.63,52.69,419600,53.0,53.56,51.19,51.44,1411300.0,XLK,NONE
7,2000-01-12,52.38,52.38,50.63,50.63,687600,52.38,52.38,50.63,51.22,1983200.0,XLK,BOTH
8,2000-01-13,51.88,51.88,50.94,51.13,297500,51.88,52.0,50.88,51.69,1193000.0,XLK,NONE
9,2000-01-14,53.25,53.5,52.94,53.5,157500,53.25,53.72,52.78,52.88,1383900.0,XLK,NONE
10,2000-01-18,52.75,53.25,52.61,53.19,66000,52.75,53.72,52.61,53.16,550800.0,XLK,LOWS
11,2000-01-19,52.94,53.13,52.56,53.03,62800,52.94,53.47,52.56,53.25,790400.0,XLK,LOWS
12,2000-01-20,54.25,54.38,54.0,54.13,162100,54.25,54.44,53.13,53.56,1095600.0,XLK,NONE
13,2000-01-21,53.88,53.88,53.14,53.25,81700,53.88,53.88,53.14,53.63,1434700.0,XLK,BOTH
14,2000-01-24,53.94,54.34,53.94,53.97,57000,53.94,54.34,51.59,51.88,568900.0,XLK,HIGHS
15,2000-01-25,51.77,52.47,51.25,52.25,269400,51.77,53.03,51.06,52.98,2982400.0,XLK,NONE
16,2000-01-26,52.69,52.75,52.2,52.44,129900,52.69,52.75,50.94,51.25,839300.0,XLK,HIGHS
17,2000-01-27,51.88,52.06,51.63,51.63,50300,51.88,52.13,49.72,50.75,1238100.0,XLK,NONE
18,2000-01-28,50.13,51.13,50.0,50.81,1175900,50.13,51.13,48.13,48.94,2457000.0,XLK,HIGHS
19,2000-01-31,48.94,49.34,48.56,48.94,808700,48.94,50.56,47.88,50.56,1312300.0,XLK,NONE
20,2000-02-01,50.52,50.78,50.03,50.44,78200,50.52,51.75,50.03,51.63,474900.0,XLK,LOWS
21,2000-02-02,51.44,52.0,51.44,51.75,94900,51.44,52.66,51.44,52.0,534700.0,XLK,LOWS
22,2000-02-03,52.25,52.88,52.25,52.56,278800,52.25,53.5,51.77,53.5,1244600.0,XLK,NONE
23,2000-02-04,53.75,54.28,53.63,54.16,71100,53.75,54.63,53.63,54.13,691700.0,XLK,LOWS
24,2000-02-07,54.25,54.38,53.81,54.38,38400,54.25,54.88,53.81,54.75,655300.0,XLK,LOWS
25,2000-02-08,55.19,55.63,55.16,55.5,234600,55.19,55.75,55.08,55.25,886000.0,XLK,NONE
26,2000-02-09,55.75,56.13,55.63,56.0,272400,55.75,56.13,54.13,54.56,1623300.0,XLK,HIGHS
27,2000-02-10,54.69,55.22,54.5,54.88,784800,54.69,55.88,54.5,55.86,1157600.0,XLK,LOWS
28,2000-02-11,55.86,55.88,54.77,55.19,76200,55.86,55.88,53.88,54.38,1002100.0,XLK,HIGHS
29,2000-02-14,54.75,54.75,54.0,54.19,61900,54.75,54.75,53.75,54.41,351500.0,XLK,HIGHS
30,2000-02-15,54.33,54.5,53.63,53.63,42600,54.33,54.98,52.97,54.56,300600.0,XLK,NONE
31,2000-02-16,54.38,54.88,54.3,54.81,25200,54.38,55.0,54.19,54.28,172100.0,XLK,NONE
32,2000-02-17,54.38,54.92,54.19,54.69,47500,54.98,55.63,54.19,55.5,231200.0,XLK,LOWS
33,2000-02-18,55.56,55.56,54.81,55.06,45600,55.56,55.56,53.5,53.63,362700.0,XLK,HIGHS
34,2000-02-22,53.38,54.0,52.5,52.88,110000,53.38,54.0,52.0,53.5,1233900.0,XLK,HIGHS
35,2000-02-23,53.63,54.0,53.5,53.81,32500,53.63,55.5,53.48,55.13,183300.0,XLK,NONE
36,2000-02-24,55.48,56.0,55.38,55.73,55600,55.48,56.06,54.5,55.81,319900.0,XLK,NONE
37,2000-02-25,55.88,56.5,55.63,56.06,216800,55.88,56.5,54.88,55.28,937200.0,XLK,HIGHS
38,2000-02-28,54.75,55.25,54.06,54.47,102200,54.75,55.63,53.25,54.63,1508300.0,XLK,NONE
39,2000-02-29,55.75,55.75,55.38,55.61,314200,55.75,56.0,55.38,55.88,474100.0,XLK,LOWS
40,2000-03-01,56.0,57.25,56.0,57.19,133300,56.0,57.25,56.0,56.44,963500.0,XLK,BOTH
41,2000-03-02,56.88,56.91,56.22,56.84,28000,56.88,57.31,56.09,57.0,1097600.0,XLK,NONE
42,2000-03-03,58.0,58.0,57.5,57.59,148700,58.0,58.81,57.38,58.58,401600.0,XLK,NONE
43,2000-03-06,58.58,59.13,58.58,58.94,93100,58.58,59.41,58.0,58.48,667500.0,XLK,NONE
44,2000-03-07,59.16,59.5,58.0,58.31,98300,59.16,59.5,56.88,56.88,1304800.0,XLK,HIGHS
45,2000-03-08,57.44,58.13,57.13,57.25,390300,57.56,58.13,56.5,57.88,1089600.0,XLK,HIGHS
46,2000-03-09,57.94,58.13,57.38,57.83,155500,57.94,59.75,57.38,59.63,285900.0,XLK,LOWS
47,2000-03-10,60.0,60.38,60.0,60.38,72600,60.0,60.66,59.5,59.75,265000.0,XLK,NONE
48,2000-03-13,58.5,59.06,58.0,58.81,566700,58.5,60.25,58.0,58.88,2011200.0,XLK,LOWS
49,2000-03-14,59.63,60.13,59.63,59.81,75500,59.63,60.13,57.31,57.53,469200.0,XLK,HIGHS
50,2000-03-15,58.0,58.19,57.0,57.5,143600,58.0,58.19,56.25,56.53,619300.0,XLK,HIGHS
51,2000-03-16,57.25,57.38,56.5,56.5,40300,57.25,58.44,55.88,58.19,2405300.0,XLK,NONE
52,2000-03-17,58.75,59.44,58.69,59.44,165900,58.75,60.0,58.69,59.88,441000.0,XLK,LOWS
53,2000-03-20,60.13,60.5,59.91,60.47,71700,60.13,60.63,59.13,59.63,395400.0,XLK,NONE
54,2000-03-21,59.47,59.75,58.64,59.75,252700,59.47,61.63,58.64,61.19,649200.0,XLK,LOWS
55,2000-03-22,61.56,62.0,61.25,62.0,116300,61.56,62.75,61.25,62.25,668500.0,XLK,LOWS
56,2000-03-23,62.31,62.81,62.13,62.38,45800,62.31,64.0,62.13,63.44,472500.0,XLK,LOWS
57,2000-03-24,64.06,64.88,64.0,64.88,173200,64.06,65.44,63.0,63.98,1103100.0,XLK,NONE
58,2000-03-27,64.25,64.94,64.06,64.78,47900,64.25,64.94,64.06,64.5,783100.0,XLK,BOTH
59,2000-03-28,64.5,64.5,63.13,63.38,82500,64.5,64.5,62.94,62.94,625600.0,XLK,HIGHS
60,2000-03-29,63.0,63.06,62.19,62.63,147900,63.0,63.06,60.41,61.09,3382700.0,XLK,HIGHS
61,2000-03-30,60.69,61.84,60.69,61.36,743900,60.69,61.84,57.75,59.44,4635800.0,XLK,HIGHS
62,2000-03-31,60.25,60.5,59.5,60.0,110600,60.25,61.19,58.63,60.56,319600.0,XLK,NONE
63,2000-04-03,59.81,59.81,57.88,58.25,657800,59.81,59.81,56.31,58.0,2645000.0,XLK,HIGHS
64,2000-04-04,57.72,58.75,57.38,57.66,177100,57.72,58.75,52.28,57.44,2211500.0,XLK,HIGHS
65,2000-04-05,56.63,57.69,56.13,57.13,189700,56.63,59.19,56.13,57.81,587900.0,XLK,LOWS
66,2000-04-06,58.75,59.31,58.44,59.13,73400,58.75,59.44,57.75,58.56,173000.0,XLK,NONE
67,2000-04-07,59.31,59.5,58.88,59.38,46100,59.31,60.63,58.88,60.56,233000.0,XLK,LOWS
68,2000-04-10,60.56,60.75,60.0,60.02,55200,60.56,60.75,58.38,58.38,665100.0,XLK,HIGHS
69,2000-04-11,57.48,57.48,56.0,56.84,535800,57.48,58.13,56.0,56.94,1479200.0,XLK,LOWS
70,2000-04-12,56.81,56.81,55.0,55.25,243300,56.81,56.81,53.13,53.25,1338100.0,XLK,HIGHS
